"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","DFID","Corporate Performance","A2","A1 (G6)","61381","70290","Operational Manager","1.00","Policy"
"Department for International Development","DFID","Corporate Performance","A2","A1 (G6)","61381","70290","Policy Adviser","1.00","Policy"
"Department for International Development","DFID","Corporate Performance","A2","A1 (G6)","61381","70290","Senior Operational Manager","1.00","Policy"
"Department for International Development","DFID","Corporate Performance","A2","A2 (G7)","49410","58160","Policy Adviser","3.80","Policy"
"Department for International Development","DFID","Corporate Performance","A2","A2L (SEO)","41218","45380","Finance Officer","1.00","Policy"
"Department for International Development","DFID","Corporate Performance","A2","B1 (HEO)","31320","35680","Finance Officer","3.00","Policy"
"Department for International Development","DFID","Corporate Performance","A25","A2L (SEO)","41218","45380","Operational Manager","1.00","Finance"
"Department for International Development","DFID","Corporate Performance","A27","A1 (G6)","61381","70290","HR Officer","8.60","Human Resources"
"Department for International Development","DFID","Corporate Performance","A27","A1 (G6)","61381","70290","Senior Operational Manager","1.00","Human Resources"
"Department for International Development","DFID","Corporate Performance","A27","A2 (G7)","49410","58160","HR Officer","8.10","Human Resources"
"Department for International Development","DFID","Corporate Performance","A27","A2 (G7)","49410","58160","Operational Manager","1.00","Human Resources"
"Department for International Development","DFID","Corporate Performance","A27","A2L (SEO)","41218","45380","HR Officer","4.80","Human Resources"
"Department for International Development","DFID","Corporate Performance","A27","B2 (EO)","23615","28210","Diary Manager","3.00","Human Resources"
"Department for International Development","DFID","Corporate Performance","A27","B2 (EO)","23615","28210","Operational Manager","1.00","Human Resources"
"Department for International Development","DFID","Corporate Performance","A27","B1D (Faststream)","26800","37195","HR Officer","1.00","Human Resources"
"Department for International Development","DFID","Corporate Performance","A44","B2 (EO)","23615","28210","Diary Manager","1.00","Finance"
"Department for International Development","DFID","Corporate Performance","B38","A1 (G6)","61381","70290","Communications Manager","4.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","A1 (G6)","61381","70290","Programme Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","A2 (G7)","49410","58160","Communications Manager","7.60","Communications"
"Department for International Development","DFID","Corporate Performance","B38","A2 (G7)","49410","58160","Operational Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","A2 (G7)","49410","58160","Policy Adviser","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","A2 (G7)","49410","58160","Programme Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","A2L (SEO)","41218","45380","Communications Manager","10.80","Communications"
"Department for International Development","DFID","Corporate Performance","B38","A2L (SEO)","41218","45380","Programme Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","B1 (HEO)","31320","35680","Communications Manager","5.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","B1 (HEO)","31320","35680","Operational Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","B1 (HEO)","31320","35680","Programme Manager","2.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","B2 (EO)","23615","28210","Diary Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","B2 (EO)","23615","28210","Operational Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B38","B1D (Faststream)","26800","37195","Operational Manager","1.00","Communications"
"Department for International Development","DFID","Corporate Performance","B41","A1 (G6)","61381","70290","IT Manager","5.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","A1 (G6)","61381","70290","Operational Manager","1.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","A2 (G7)","49410","58160","IT Manager","13.80","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","A2 (G7)","49410","58160","Knowledge Information Management Manager","1.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","A2 (G7)","49410","58160","Operational Manager","2.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","A2L (SEO)","41218","45380","IT Manager","20.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","A2L (SEO)","41218","45380","Knowledge Information Management Manager","1.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","A2L (SEO)","41218","45380","Operational Manager","2.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","B1 (HEO)","31320","35680","IT Manager","17.10","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","B1 (HEO)","31320","35680","Knowledge Information Management Manager","1.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","B1 (HEO)","31320","35680","Operational Manager","3.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","B2 (EO)","23615","28210","Diary Manager","1.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","B2 (EO)","23615","28210","IT Manager","15.40","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","B2 (EO)","23615","28210","Operational Manager","7.30","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","C1 (AO)","19500","23276","Operational Manager","1.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B41","B1D (Faststream)","26800","37195","IT Manager","4.00","Information Technology"
"Department for International Development","DFID","Corporate Performance","B47","A1 (G6)","61381","70290","Operational Manager","3.00","Policy"
"Department for International Development","DFID","Corporate Performance","B47","A1 (G6)","61381","70290","Senior Operational Manager","1.00","Policy"
"Department for International Development","DFID","Corporate Performance","B47","A2 (G7)","49410","58160","Operational Manager","6.70","Policy"
