Geo_Name,Geo_Code,Projection_Code,Projection_Name,Mid_Year_Ending,Gender,Age,Population_Projection
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,0,24486
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,1,24498
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,2,24656
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,3,25155
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,4,25974
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,5,25781
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,6,25462
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,7,25809
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,8,25830
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,9,24643
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,10,23470
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,11,22860
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,12,22619
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,13,22146
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,14,22216
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,15,22396
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,16,23263
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,17,24303
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,18,24526
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,19,23885
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,20,23387
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,21,23223
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,22,23785
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,23,23815
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,24,24534
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,25,24714
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,26,24620
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,27,24657
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,28,24980
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,29,25075
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,30,25211
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,31,25022
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,32,24675
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,33,24432
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,34,24489
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,35,25000
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,36,24967
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,37,23987
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,38,22884
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,39,22723
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,40,22787
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,41,23294
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,42,23960
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,43,24860
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,44,25254
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,45,25761
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,46,25740
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,47,26037
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,48,26551
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,49,26458
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,50,26483
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,51,26941
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,52,26462
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,53,25805
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,54,25151
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,55,24736
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,56,23691
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,57,22987
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,58,22655
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,59,21691
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,60,20744
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,61,19739
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,62,19347
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,63,18921
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,64,18169
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,65,18122
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,66,18119
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,67,17844
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,68,17738
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,69,17670
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,70,16272
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,71,16013
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,72,15776
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,73,15105
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,74,13400
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,75,11920
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,76,11432
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,77,11373
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,78,10599
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,79,10168
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,80,9270
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,81,8600
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,82,7790
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,83,7418
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,84,6665
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,85,6081
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,86,5359
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,87,4782
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,88,3986
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,89,3522
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,90,2946
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,91,2476
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,92,1884
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,93,1615
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,94,1179
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,95,878
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,96,661
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,97,373
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,98,271
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,99,170
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,100,109
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,101,73
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,102,43
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,103,30
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,104,12
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,105,8
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,106,2
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,107,1
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,108,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,109,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,110,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,111,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,112,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,113,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,114,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,115,0
Northern Ireland,N92000002,PPT,Medium High Migration,2016,All People,116,0
