CPS outcomes by principal offence category Wiltshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,95,74.20%,33,25.80%
C Sexual Offences,9,75.00%,3,25.00%
D Burglary,17,81.00%,4,19.00%
E Robbery,1,33.30%,2,66.70%
F Theft And Handling,90,92.80%,7,7.20%
G Fraud And Forgery,9,90.00%,1,10.00%
H Criminal Damage,27,100.00%,0,0.00%
I Drugs Offences,36,92.30%,3,7.70%
J Public Order Offences,27,73.00%,10,27.00%
K All Other Offences (excluding Motoring),17,58.60%,12,41.40%
L Motoring Offences,194,87.00%,29,13.00%
Admin Finalisations,0,0.00%,2,100.00%
TOTAL,522,83.10%,106,16.90%
