Company,Transaction Date,Amount,VAT,Supplier (and Location),Cost Centre,Account Code,MCC,Description
Health & Safety Executive,18/11/2016,£500.00,£0.00,WWW.ICO.GOV.UK,282631,52241006,9399,Training Event
Health & Safety Executive,25/11/2016,£570.00,£95.00,LLOYDS REGISTER EMEA,285832,52113000,8244,Training Event
Health & Safety Executive,08/12/2016,"£1,146.13",£191.02,CAPITA BUSINESS SERVS,282591,52113000,9399,Training Event
Health & Safety Executive,06/12/2016,"£1,506.60",£251.10,CHARTERED INST OF,288458,52113000,8999,Training Event
Health & Safety Executive,24/11/2016,"£2,095.00",£349.17,WWW.ICSLEARN.CO.UK,283621,52113000,8299,Training Event
Health & Safety Executive,14/12/2016,"£2,340.00",£390.00,WWW.THEKNOWLEDGEACADEM,288456,52113000,8249,Training Event
Health & Safety Executive,24/11/2016,"£3,695.00",£0.00,LANCASTER UNIVERSI,287191,52113000,8220,Training Event
Health & Safety Executive,30/11/2016,"£8,578.08","£1,429.68",CAPITA BUSINESS SERVS,287622,52113000,9399,Training Event
Health & Safety Executive,19/12/2016,£714.00,£119.00,CIVIL SERVICE COLLEGE,284292,52113000,8244,Training Event
Health & Safety Executive,06/12/2016,£900.00,£0.00,WWW.MAERSKTRAINING.COM,285832,52113000,8249,Training Event
Health & Safety Executive,07/12/2016,"£1,560.00",£260.00,INSTITUTION OF CHEMICA,285832,52113000,8398,Training Event
Health & Safety Executive,06/12/2016,"£1,920.00",£320.00,EXVERITAS LIMITED,283269,52113000,8299,Training Event
Health & Safety Executive,15/12/2016,£944.40,£0.00,ROYAL MAIL GROUP,285351,52171002,9402,Postal Charges
Health & Safety Executive,24/11/2016,£944.40,£0.00,ROYAL MAIL GROUP,285351,52171002,9402,Postal Charges
Health & Safety Executive,22/11/2016,£534.00,£89.00,IET EVENTS,285472,52113000,2741,Training Event
Health & Safety Executive,15/12/2016,"£1,275.00",£0.00,WEBSTORE,283621,52113000,8220,Training Event
Health & Safety Executive,23/11/2016,"£1,320.00",£220.00,CERTSURE LLP,285472,52113000,5999,Training Event
Health & Safety Executive,05/12/2016,"£1,405.00",£0.00,CITB,283269,52113000,8220,Training Event
Health & Safety Executive,05/12/2016,"£1,455.00",£0.00,CITB,285473,52113000,8220,Training Event
