Quarter Year,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017
Antrim and Newtownabbey,108,126,147,89,121,146,114,127,133,108
Ards and North Down,87,113,125,135,161,149,223,165,195,235
"Armagh City, Banbridge and Craigavon",190,210,207,211,213,178,248,209,234,198
Belfast,124,119,166,177,212,168,165,162,142,156
Causeway Coast and Glens,123,117,165,138,152,116,137,103,170,133
Derry City and Strabane,89,90,112,113,125,74,141,106,118,137
Fermanagh and Omagh,78,68,78,71,57,69,78,65,74,93
Lisburn and Castlereagh,184,150,198,202,205,173,226,147,196,165
Mid and East Antrim,98,92,71,82,62,118,88,85,69,70
Mid Ulster,148,146,181,148,182,200,208,179,154,168
"Newry, Mourne and Down",109,144,132,127,185,158,124,143,151,153
Total New Dwelling Completions,"1,338","1,375","1,582","1,493","1,675","1,549",1752,1491,1636,1616
