"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","M4","57902","74902","N/A","7.10","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R5","43285","52739","N/A","11.00","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R4A","32239","39275","N/A","15.92","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R4B","37084","44298","N/A","23.40","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R3A","26476","32251","N/A","20.60","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R3B","30746","36722","N/A","18.60","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R2A","20724","26775","N/A","13.00","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R2B","23801","30756","N/A","3.60","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","R1B","20961","24543","N/A","0.56","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","S4","27263","33210","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","S3","23330","29570","N/A","7.00","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","S2","18793","22001","N/A","17.00","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","C3C","26820","32669","N/A","4.00","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","C5C","42567","55034","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Income Generation and Administration","2281","Transfer Grade","21000","50000","N/A","13.60","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","M4","57902","74902","N/A","10.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","M3","35585","44220","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","R4A","32239","39275","N/A","5.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","R4B","37084","44298","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","R3A","26476","32251","N/A","23.26","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","R2B","23801","30756","N/A","2.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","R2A","20724","26775","N/A","4.20","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","S4","27263","33210","N/A","3.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","S3","23330","29570","N/A","12.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","S2","18793","22001","N/A","30.53","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","S1","16373","19167","N/A","5.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C5B","36146","44917","N/A","9.02","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C5C","42567","55034","N/A","29.43","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C5C+","60082","60082","N/A","2.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C4B","29103","36163","N/A","17.03","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C4C","33282","43020","N/A","32.15","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C3A","24246","30133","N/A","15.00","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C3B","24381","29114","N/A","30.10","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C3C","26820","32669","N/A","55.30","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C2A","18056","22423","N/A","79.60","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C2B","21670","25371","N/A","1.60","Other"
"Department for Culture, Media and Sport","British Museum","Collections","3643","C2C","22907","27900","N/A","17.70","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","M4","57902","74902","N/A","5.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","M2","23393","27935","N/A","5.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","M2A","30915","33464","N/A","9.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","M1","19599","23402","N/A","30.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R5","43285","52739","N/A","14.60","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R4A","32239","39275","N/A","11.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R4B","37084","44298","N/A","4.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R3A","26476","32251","N/A","19.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R3B","30746","36722","N/A","2.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R2A","20724","26775","N/A","17.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R2B","23801","30756","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","R1B","20961","24543","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","S4","27263","33210","N/A","2.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","S3","23330","29570","N/A","4.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","S2","18793","22001","N/A","6.50","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","S1","16373","19167","N/A","7.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","SD3","18703","20243","N/A","13.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","SD2","15669","18703","N/A","273.25","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","C5C","42567","55034","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","C3C","26820","32669","N/A","7.00","Other"
"Department for Culture, Media and Sport","British Museum","Operations and Projects","3444","C2C","22907","27900","N/A","1.00","Other"
"Department for Culture, Media and Sport","British Museum","Public Engagement","2260","M4","57902","74902","N/A","4.00","Other"
"Department for Culture, Media and Sport","British Museum","Public Engagement","2260","R5","43285","52739","N/A","6.00","Other"
"Department for Culture, Media and Sport","British Museum","Public Engagement","2260","R4A","32239","39275","N/A","18.00","Other"
"Department for Culture, Media and Sport","British Museum","Public Engagement","2260","R4B","37084","44298","N/A","2.00","Other"
"Department for Culture, Media and Sport","British Museum","Public Engagement","2260","R3A","26476","32251","N/A","33.97","Other"
"Department for Culture, Media and Sport","British Museum","Public Engagement","2260","R3B","30746","36722","N/A","7.00","Other"
"Department for Culture, Media and Sport","British Museum","Public Engagement","2260","R2A","20724","26775","N/A","17.79","Other"
