"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band G","44217","59823","Head of Internal Compliance","1.00","Knowledge and Information Management (KIM)"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band E","28299","38287","Internal Compliance Manager","2.00","Knowledge and Information Management (KIM)"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band D","22330","30211","Lead Internal Compliance Officer","6.80","Knowledge and Information Management (KIM)"
"Ministry of Justice","Information Commissioner's Office","Chief Executive","CEO","Band D","22330","30211","Personal Assistant","1.00","Law"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band G","44217","59823","Head of IT","1.00","Information Technology"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band F","35816","48547","Senior IT Manager","2.00","Information Technology"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band D","22330","30211","IT Service Manager","1.50","Information Technology"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band C","17687","23929","IT Service Support","1.00","Information Technology"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band E","28299","38287","IT Projects Manager","1.00","Information Technology"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band D","22330","30211","IT Development Manager","3.00","Information Technology"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band G","44217","59823","Head of Finance","1.00","Finance"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band F","35816","48547","Solicitor","1.00","Law"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band D","22330","30211","Finance Manager","1.00","Finance"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band C","17687","23929","Finance Officer","2.00","Finance"
"Ministry of Justice","Information Commissioner's Office","Corporate Services","DCS","Band C","17687","23929","Income Officer","1.00","Finance"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band G","44217","59823","Head of Strategic Liaison","1.00","Policy"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band F","35816","48547","Principal Policy Adviser","1.00","Policy"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band F","35816","48547","Group Manager","4.00","Policy"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band E","28299","38287","Senior Policy Officer","7.10","Policy"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band D","22330","30211","Lead Policy Officer","5.00","Policy"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band C","17687","23929","Policy Officer","2.50","Policy"
"Ministry of Justice","Information Commissioner's Office","Strategic Liaison","DSL","Band C","17687","23929","Executive Assistant","1.00","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band G","44217","59823","Head of Policy Delivery","1.00","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band F","35816","48547","Principal Policy Adviser","1.00","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band F","35816","48547","Solicitior","8.20","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band F","35816","48547","Group Manager","3.50","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band E","28299","38287","Senior Policy Officer","4.60","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band D","22330","30211","Lead Policy Officer","4.80","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band C","17687","23929","Policy Officer","0.10","Policy"
"Ministry of Justice","Information Commissioner's Office","Policy Delivery","DPD","Band B","14149","19143","Admin Support","2.00","Policy"
