"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"UK Export Finance","UK Export Finance","BIC","FCD048","HEO","30189","36491","Analyst","2.00","Statisticians"
"UK Export Finance","UK Export Finance","BIC","FCD048","GRADE 6","59580","75285","Principal Analyst","1.00","Statisticians"
"UK Export Finance","UK Export Finance","BIC","FCD048","GRADE 7","48965","61893","Principal Analyst","1.00","Statisticians"
"UK Export Finance","UK Export Finance","BIC","FCD048","SEO","37794","47278","Senior Analyst","1.00","Statisticians"
"UK Export Finance","UK Export Finance","Compliance","COO001","GRADE 7","48965","61893","Internal Auditor","1.00","Internal Audit"
"UK Export Finance","UK Export Finance","CRAD","CRD001","HEO","30189","36491","Economist","2.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CRAD","CRD001","GRADE 7","48965","61893","Senior Economist","2.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CRAD","CRD001","SEO","37794","47278","Senior Economist","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CRAD","CRD001","GRADE 7","48965","61893","Principal Analyst","1.00","Operational Research"
"UK Export Finance","UK Export Finance","CRAD","CRD001","SEO","37794","47278","Senior Analyst","2.00","Operational Research"
"UK Export Finance","UK Export Finance","CXO","CXO005","AA","20220","20220","Administrative Assistant","0.60","Operational Delivery"
"UK Export Finance","UK Export Finance","CXO","CXO001","HEO","30189","36491","Team Leader","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CXO","CXO005","HEO","30189","36491","Communications Support Officer","2.00","Communications"
"UK Export Finance","UK Export Finance","CXO","CXO005","GRADE 6","59580","75285","Marketing Director","1.00","Communications"
"UK Export Finance","UK Export Finance","CXO","CXO005","GRADE 7","48965","61893","Strategic Analyst","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CXO","CXO005","GRADE 7","48965","61893","Communications Manager","1.00","Communications"
"UK Export Finance","UK Export Finance","CXO","CXO005","GRADE 7","48965","61893","Stakeholder Management Communication","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CXO","CXO005","SEO","37794","47278","Communications Manager","3.00","Communications"
"UK Export Finance","UK Export Finance","CXO","CXO005","SEO","37794","47278","Senior Policy Adviser","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CXO","CXO005","SEO","37794","47278","Design Control Lead","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","CXO","CXO005","EO","26290","29209","Communications Support Officer","1.00","Communications"
"UK Export Finance","UK Export Finance","EFM","UD054","AO","21937","23897","Administrative Officer","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","EFM","UD054","GRADE 6","59580","75285","Senior Operational Manager","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","EFM","UD054","GRADE 7","48965","61893","Senior Business Manager","7.00","Operational Delivery"
"UK Export Finance","UK Export Finance","EFM","UD054","SEO","37794","47278","Business Manager","14.80","Operational Delivery"
"UK Export Finance","UK Export Finance","EFM","UD054","SEO","37794","47278","Senior Business Analyst","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","EFM","UD054","HEO","30189","36491","Analyst","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","EFM","UD054","GRADE 7","48965","61893","Communications Manager","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","EFM","UD054","HEO","30189","36491","Communications Support Officer","1.00","Operational Delivery"
"UK Export Finance","UK Export Finance","FCD","FCD048","HEO","30189","36491","Finance Officer","1.00","Finance"
"UK Export Finance","UK Export Finance","FCD","FCD048","GRADE 7","48965","61893","Senior Finance Manager","4.00","Finance"
"UK Export Finance","UK Export Finance","FCD","FCD048","SEO","37794","47278","Finance Manager","1.00","Finance"
"UK Export Finance","UK Export Finance","FCD","FCD048","HEO","30189","36491","Finance Support Officer","3.00","Finance"
"UK Export Finance","UK Export Finance","HRD","HRD001","AO","21937","23897","Administrative Officer","5.97","Human Resources"
"UK Export Finance","UK Export Finance","HRD","HRD001","SEO","37794","47278","Senior HR Manager","2.27","Human Resources"
"UK Export Finance","UK Export Finance","HRD","HRD001","GRADE 7","48965","61893","HR Business Partner","1.00","Human Resources"
"UK Export Finance","UK Export Finance","HRD","HRD001","EO","26290","29209","HR Officer","1.00","Human Resources"
"UK Export Finance","UK Export Finance","HRD","HRD001","HEO","30189","36491","HR Officer","3.00","Human Resources"
"UK Export Finance","UK Export Finance","HRD","HRD001","SEO","37794","47278","Project Manager","1.00","Human Resources"
