Table 1.1,,,,,,,,,,,,,,,,,
"A2. How many employees does your business currently employ across all sites, excluding owners and partners?",,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
0-9 employees,83%,100%,0%,0%,75%,91%,79%,90%,76%,86%,72%,85%,81%,85%,94%,88%,79%
10-49 employees,15%,0%,100%,0%,20%,8%,19%,8%,19%,12%,21%,13%,16%,13%,5%,10%,18%
50-249 employees,2%,0%,0%,100%,5%,1%,2%,1%,5%,2%,7%,2%,3%,2%,1%,1%,3%
Base for stats,508,422,73,12,60,62,164,154,68,221,77,431,209,298,43,125,334
Mean,8.65,3.19,20.42,126.83,11.85,5.81,8.6,6.82,12.68,8.61,15.86,7.36,10.84,7.11,4.94,7.07,9.82
Standard error,1.06,0.16,0.72,9.16,2.97,1.94,1.72,2.26,2.96,1.78,3.12,1.08,1.93,1.14,2.71,2.7,1.23
Table 1.2,,,,,,,,,,,,,,,,,
A3. How many people did the business employ 12 months ago across all sites (still excluding owners and partners)?,,,,,,,,,,,,,,,,,
Base: All Respondents,,,,,,,,,,,,,,,,,
,,SIZE,,,SECTOR,,,,,,SOUGHT FINANCE IN L6M,,BUSINESS ADVICE,,AGE OF BUSINESS,,
,Total,Micro,Small,Medium,Prod- uction,Constr- uction,TRAD,Business services,Other services,All services,Yes,No,Yes,No,0-3 years,4-10 years,10+ years
Unweighted Bases,508,219,195,94,81,45,136,135,111,246,131,377,240,268,33,105,367
Weighted Bases,508,422,74,12,60,62,164,154,68,221,77,431,209,299,43,125,334
0 employees,6%,7%,*%,0%,0%,5%,4%,8%,10%,9%,2%,6%,2%,8%,13%,3%,6%
1 to 9 employees,76%,91%,3%,1%,76%,83%,73%,80%,65%,76%,70%,77%,75%,76%,83%,86%,71%
10 to 49 employees,16%,2%,92%,8%,20%,10%,21%,9%,19%,12%,20%,15%,18%,13%,3%,9%,20%
50 to 249 employees,2%,0%,1%,76%,4%,1%,2%,1%,3%,2%,6%,1%,3%,1%,0%,1%,3%
250+ employees,*%,0%,0%,8%,*%,0%,*%,*%,*%,*%,1%,*%,*%,*%,*%,*%,*%
