AUTHORITY,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name

HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-Basingstk Intgratd LD Team,Management - Basic Pay,15.07.2011,2207596778,4917.20,R,HAMPSHIRE PARTNERSHIP NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-FareGosp Intgrated LD Team,Management - Basic Pay,13.07.2011,2207583797,4568.39,R,HAMPSHIRE PARTNERSHIP NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-MH-LMHT/OT-New Forest,Payments to Health Authorities,27.07.2011,2207632750,32703.00,R,HAMPSHIRE PARTNERSHIP NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-NF East Integrated LD Team,Management - Basic Pay,15.07.2011,2207596626,4451.26,R,HAMPSHIRE PARTNERSHIP NHS TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-O.T. Staffing-New Forest,Other Misc Expenses,14.07.2011,2207592567,780.00,R,IDAPT LLP
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OP/PD-Eastleigh North Combined,Payments to Other LocalAuthorities,05.07.2011,2207556008,3279.12,R,EASTLEIGH BOROUGH COUNCIL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OP/PD-EHCombinedS,Car Leasing Business Rentals,08.07.2011,2900013319,1194.60,R,LOMBARD VEHICLE MANAGEMENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OP/PD-EHCombinedS,Car Leasing Business Rentals,22.07.2011,2900013431,1806.25,R,LOMBARD VEHICLE MANAGEMENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,ACM-OP/PD-Fareham West Locality Team,Car Leasing Business Rentals,22.07.2011,2900013437,1199.88,R,LOMBARD VEHICLE MANAGEMENT LTD
