"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band A (National)","14000","14820","Accounting Support officer","5.76","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band A (National)","14000","14820","Accounting Support officer","6.77","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Accounting officer","61.96","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Administration Officer","9.53","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Commercial Officer","2.64","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Finance Officer","92.52","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band B (National)","15615","18245","Operational Delivery Officer","114.03","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Accounts Officer","25.36","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Accounts Team Leader","15.52","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Commercial Team Leader","14.94","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Finance Team Leader","18.17","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Support Officer","2.59","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Team Leader","1.81","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band C (National)","20780","24230","Team Leader / Payments Manager","33.84","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Accounts Team Leader","26.20","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Commercial Manager","8.57","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Finance Manager","6.81","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Office Manager","7.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Operational manager","13.09","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D (National)","24660","29800","Private Secretary","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D Accountant (National)","24660","29800","Accounts Manager","0.86","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band D Accountant (National)","24660","29800","Accounts Team Leader","1.92","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","Accounts Manager","3.24","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","Accounts Manager","2.92","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","Business Manager","5.86","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","Method of Payment Reform Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","Office Manager","0.69","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","Operational manager","3.68","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","Senior Commercial Manager","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E (National)","30480","36500","senior finance manager","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E Accountant (National)","36850","42920","Accountant","11.91","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band E Accountant (National)","36850","42920","senior finance manager","0.61","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F (London Inner)","47550","58070","Business Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F (National)","43200","53480","Business Manager","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F (National)","43200","53480","Head Commercial Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F (National)","43200","53480","Head of Payments","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F (National)","43200","53480","Operational manager","1.95","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F (National)","43200","53480","Senior Accounts Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F Accountant (National)","46340","56820","Business Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F Accountant (National)","46340","56820","Senior Accountant","6.68","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band F Accountant (National)","46340","56820","Service Delivery Manager","1.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band G Accountant (National)","58940","68410","Head of Accounting","0.86","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band G Accountant (National)","58940","68410","Head of Admin Reconcilliations","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band G Accountant (National)","58940","68410","Head of Business Intelligence Unit","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS2","Band G Accountant (National)","58940","68410","Head of Payments","0.86","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band A (National)","14000","14820","Support Officer","32.71","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band B (National)","15615","18245","Administration Officer","430.28","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band C (National)","20780","24230","Team Leader","140.46","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band D (London Inner)","28250","33530","Operational manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band D (London Other)","27070","32350","Operational manager","3.33","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band D (National)","24660","29800","Business Manager","19.05","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band D (National)","24660","29800","Operational manager","38.80","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band D (Spec Loc Pay Zone)","26550","31870","Operational manager","0.63","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band E (National)","30480","36500","Contact Centre Manager","3.86","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band E (National)","30480","36500","Senior Business Manager","6.95","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band E (National)","30480","36500","senior operational manager","4.61","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band E (Spec Loc Pay Zone)","32610","38790","senior operational manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band F (National)","43200","53480","Head of Business area","2.81","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band F (National)","43200","53480","Head of Contact Centre","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band F (National)","43200","53480","Head of ES Resourcing","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band F (National)","43200","53480","Head of TVP Contact Centre","0.65","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band F Accountant (National)","46340","56820","Head of Business area","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band G (London Inner)","58250","70720","Head of Business area","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS9","Band G (National)","53360","65440","Head of Business area","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band A (National)","14000","14820","Contact Centre Support Officer","18.96","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band A (National)","14000","14820","Finance Support Officer","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band A (National)","14000","14820","Risk Assurance Support Officer","0.97","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band A (National)","14000","14820","Support Officer","155.31","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band A SGB2 (National)","14320","14890","Contact Centre Support Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band B (National)","15615","18245","Administration Officer","850.79","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band B (National)","15615","18245","Contact Centre Officer","671.56","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band B (National)","15615","18245","Finance Governance Officer","31.54","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band B (National)","15615","18245","IT Support Officer","1.44","Information Technology"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band B (National)","15615","18245","Risk Assurance Officer","8.41","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band B (National)","15615","18245","Support Officer","8.29","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Accounting Team Leader","2.99","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Administration Officer","8.17","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Analyst","17.65","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Decision Maker","16.62","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","diary manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Finance Team Leader","3.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","IT Developer","11.92","Information Technology"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Risk Assurance Team Leader","9.94","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Team Leader","197.41","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band C (National)","20780","24230","Team leader / Decision maker","107.92","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Accounting Manager","1.95","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Business Manager","4.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Finance Manager","0.97","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","IT Team leader / Tester","7.97","Information Technology"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Office Manager","3.97","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Operational manager","42.96","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Performance Manager","4.70","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Resources Officer","2.11","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Risk Assurance Manager","2.97","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band D (National)","24660","29800","Team Leader","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","Business Manager","1.78","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","IT Manager / Analyst","3.69","Information Technology"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","Management Information Manager","0.92","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","Operational / Resource Manager","2.99","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","Operational manager","7.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","Resources Officer","0.97","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","senior operational manager","3.99","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E (National)","30480","36500","Senior Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band E Accountant (National)","36850","42920","Operational / Resource Manager","0.92","Operational Research"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Business Manager","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Contact Centre Manager","1.94","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Operational manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Performance Manager","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Senior Accounting Manager","1.00","Finance"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Senior Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Senior Resource Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F (National)","43200","53480","Unit Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band F IT (National)","43310","53480","Senior Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band G (National)","53360","65440","Operational Delivery Direcor","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band G (National)","53360","65440","Performance Director","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS8","Band G Accountant (National)","58940","68410","Head of Business Development Technical Group","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS7","Band A (National)","14000","14820","Support Officer","0.81","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS7","Band B (National)","15615","18245","Administration Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS7","Band C (National)","20780","24230","Team Leader","3.78","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS7","Band D (National)","24660","29800","Office Manager","9.29","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS7","Band E (National)","30480","36500","Project Manager","10.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS7","Band F (National)","43200","53480","Project Manager","4.76","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS7","Band G (National)","53360","65440","Senior Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS1","Band C (National)","20780","24230","diary manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS1","Band D (National)","24660","29800","Office Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Shared Services","SS1","Band E (National)","30480","36500","Business Manager","1.00","Human Resources"
