"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Chief Executive","1","Administrative staff","N/D","N/D","Senior Executive Assistant","1.00","Policy"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Chief Executive","1","Administrative staff","N/D","N/D","Administrative Secretary","1.00","Policy"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Operations","2","Operations staff","N/D","N/D","Veterinary Science & Education Manager","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Operations","2","Operations staff","N/D","N/D","Operations Executive","1.00","Operational Delivery"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","IT staff","N/D","N/D","IT Manager","1.00","Information Technology"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","IT staff","N/D","N/D","IT Support Officer","0.60","Information Technology"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","N/D","N/D","Finance Manager","1.00","Finance"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","N/D","N/D","Pensions Manager","0.50","Finance"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","N/D","N/D","Levy Collection Officer","1.00","Finance"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","N/D","N/D","Racecourse Finance Officer","1.00","Finance"
"Department for Culture, Media and Sport","Horserace Betting Levy Board","Finance","3","Finance staff","N/D","N/D","Accounts Assistant","1.00","Finance"
