Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date,Account Reference Number
"102, Duke Street, Barrow In Furness, Cumbria, LA14 1RD",104519501020N,13250,Small Business Relief England,R F Miller & Co,01/04/1990,5000000389
"104-106, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1DA",104408901040N,4350,Small Business Relief England,Lbh Ghuman Ltd,03/09/2004,5000010847
"107-109, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117301071N,42000,Increased Retail Relief,Bon Marche Ltd,19/10/2012,5000015643
"108a,, Mill Lane, Barrow In Furness, Cumbria, LA14 3NS",101342901081N,3600,Mandatorary Relief,Action For Children,01/02/2011,5000014791
"109, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",105457301091N,1050,Small Business Relief England," Barrow Taxi Drivers Assoc,",01/04/1990,5000000724
"10, Allison Street, Barrow In Furness, Cumbria, LA14 1DT",105301300103N,5400,Small Business Relief England,Rocket Asset Management Ltd,02/07/2009,5000013701
"10, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100101N,2450,Increased Retail Relief,"Messrs Little & Caine,",01/04/1990,5000001752
"10, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000100N,28000,Increased Retail Relief,Max Spielmann Limited,19/12/2008,5000013416
"10, Stephen Street, Barrow In Furness, Cumbria, LA14 1HQ",105165350010N,7200,Increased Retail Relief,Fishbowl Aquatics Ltd,06/01/2014,5000016462
"10, Stephen Street, Barrow In Furness, Cumbria, LA14 1HQ",105165350010N,7200,Small Business Relief England,Fishbowl Aquatics Ltd,06/01/2014,5000016462
"110, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901100N,9900,Increased Retail Relief,Mill Lane Stores Ltd,01/04/2010,5000014085
"110, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901100N,9900,Small Business Relief England,Mill Lane Stores Ltd,01/04/2010,5000014085
"111, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501113N,8600,Small Business Relief England,Craig And Meyer Architects Ltd,14/11/2012,5000015666
"111, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",105457301111N,1750,Small Business Relief England,T & J Photographic Ltd,01/04/1991,5000001960
"112, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901120N,5500,Small Business Relief England,Ingrid Goodings Ltd,08/08/1996,5000005155
"113, Ramsden Street, Barrow In Furness, Cumbria, LA14 2BW",105457301130N,2250,Small Business Relief England,Christophers Corner Limited,01/07/2011,5000014983
"114,, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",105119501142N,11500,Mandatorary Relief,S.A.F.A.,25/05/2012,5000015369
"114, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",105457701140N,6000,Small Business Relief England,Twilight Years Ltd,02/03/2007,5000012269
"116, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301062N,29500,Increased Retail Relief,Mind In Furness Ltd,01/11/2013,5000016163
"116, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301062N,29500,Mandatorary Relief,Mind In Furness Ltd,01/11/2013,5000016163
"117-119, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117301170N,0,Increased Retail Relief,Thomas Cook Uk Limited,01/04/2012,5000015305
"118-120, Dalton Road, Barrow In Furness, Cumbria, ",105117301120N,47000,Increased Retail Relief,David & Amanda Trading Ltd,22/09/2011,5000015136
"118, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901180N,5500,Mandatorary Relief,Walney Community Trust,08/03/2014,5000016377
"11, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",103101600110N,1250,Small Business Relief England,Happy Ark Fish Bar Ltd,01/08/2014,5000016548
"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309130N,2600,Empty Property Rate Non-Industrial,Barrow Borough Council,19/03/2003,5000010054
"120-126, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",105457701200N,5800,Small Business Relief England,Cameron Motors (Barrow) Limited,13/07/2007,5000014999
