Transaction Date,Transaction Reference,Merchant,Total,,,,,,,,,,,,,,,,,,,
01/09/2014,PCCL1720415,NOVABUSSING.CO.UK        ,2571.25,,,,,,,,,,,,,,,,,,,
02/09/2014,526622978,Hogg Robinson Group Limited,"£2,439.36",,,,,,,,,,,,,,,,,,,
03/09/2014,PCCL1720119,RESTAURACJA PG POLANIE   ,1084.4,,,,,,,,,,,,,,,,,,,
03/09/2014,526622975,Hogg Robinson Group Limited,"-£4,513.30",,,,,,,,,,,,,,,,,,,
03/09/2014,526950587,Hogg Robinson Group Limited,"£1,688.46",,,,,,,,,,,,,,,,,,,
03/09/2014,526613368,Hogg Robinson Group Limited,"£2,369.04",,,,,,,,,,,,,,,,,,,
03/09/2014,527422046,Hogg Robinson Group Ltd,"£1,623.43",,,,,,,,,,,,,,,,,,,
03/09/2014,527422042,Hogg Robinson Group Ltd,"£2,795.77",,,,,,,,,,,,,,,,,,,
03/09/2014,527422041,Hogg Robinson Group Ltd,"£3,346.01",,,,,,,,,,,,,,,,,,,
04/09/2014,PCCL1720121,RESTAURACJA KAAN         ,673.33,,,,,,,,,,,,,,,,,,,
04/09/2014,526936428,Hogg Robinson Group Limited,£715.30,,,,,,,,,,,,,,,,,,,
04/09/2014,527122096,Hogg Robinson Group Ltd,"£1,025.10",,,,,,,,,,,,,,,,,,,
04/09/2014,527704583,Hogg Robinson Group Ltd,"£2,009.69",,,,,,,,,,,,,,,,,,,
04/09/2014,527298561,Hogg Robinson Group Ltd,"£6,025.96",,,,,,,,,,,,,,,,,,,
05/09/2014,PCCL1720748,DOUBLETREE BY HILTON BRIS,581.25,,,,,,,,,,,,,,,,,,,
05/09/2014,527708243,Hogg Robinson Group Ltd,"£1,011.94",,,,,,,,,,,,,,,,,,,
05/09/2014,527701879,Hogg Robinson Group Ltd,"£1,165.60",,,,,,,,,,,,,,,,,,,
06/09/2014,PCCL1720699,DOUBLETREE BY HILTON BRIS,503.69,,,,,,,,,,,,,,,,,,,
08/09/2014,527967604,Hogg Robinson Group Ltd,"£1,109.86",,,,,,,,,,,,,,,,,,,
09/09/2014,528303506,Hogg Robinson Group Ltd,"£1,080.92",,,,,,,,,,,,,,,,,,,
10/09/2014,PCCL1721046,CORINTHIA HOTEL          ,1017,,,,,,,,,,,,,,,,,,,
10/09/2014,528145601,Hogg Robinson Group Ltd,"£4,143.99",,,,,,,,,,,,,,,,,,,
10/09/2014,529139412,Hogg Robinson Group Ltd,"£5,282.91",,,,,,,,,,,,,,,,,,,
11/09/2014,528970832,Hogg Robinson Group Ltd,£564.08,,,,,,,,,,,,,,,,,,,
11/09/2014,528970831,Hogg Robinson Group Ltd,£827.08,,,,,,,,,,,,,,,,,,,
11/09/2014,528970830,Hogg Robinson Group Ltd,£827.08,,,,,,,,,,,,,,,,,,,
11/09/2014,528970901,Hogg Robinson Group Ltd,£916.46,,,,,,,,,,,,,,,,,,,
11/09/2014,529403117,Hogg Robinson Group Ltd,"£2,739.45",,,,,,,,,,,,,,,,,,,
11/09/2014,528973273,Hogg Robinson Group Ltd,"£2,934.84",,,,,,,,,,,,,,,,,,,
12/09/2014,529702055,Hogg Robinson Group Ltd,£796.05,,,,,,,,,,,,,,,,,,,
12/09/2014,529702054,Hogg Robinson Group Ltd,£796.05,,,,,,,,,,,,,,,,,,,
12/09/2014,528969627,Hogg Robinson Group Ltd,"£1,208.66",,,,,,,,,,,,,,,,,,,
12/09/2014,529403058,Hogg Robinson Group Ltd,"£1,998.36",,,,,,,,,,,,,,,,,,,
12/09/2014,529699733,Hogg Robinson Group Ltd,"£2,227.06",,,,,,,,,,,,,,,,,,,
13/09/2014,PCCL1721256,TAJ HOTELS INTERNATIONAL ,519.24,,,,,,,,,,,,,,,,,,,
15/09/2014,530011834,Hogg Robinson Group Ltd,"£1,890.09",,,,,,,,,,,,,,,,,,,
15/09/2014,529701891,Hogg Robinson Group Ltd,"£2,179.66",,,,,,,,,,,,,,,,,,,
16/09/2014,529699734,Hogg Robinson Group Ltd,£737.86,,,,,,,,,,,,,,,,,,,
17/09/2014,530363244,Hogg Robinson Group Ltd,"£1,432.66",,,,,,,,,,,,,,,,,,,
17/09/2014,530363243,Hogg Robinson Group Ltd,"£2,156.66",,,,,,,,,,,,,,,,,,,
17/09/2014,530356054,Hogg Robinson Group Ltd,"£2,856.78",,,,,,,,,,,,,,,,,,,
18/09/2014,531754578,Hogg Robinson Group Ltd,£736.55,,,,,,,,,,,,,,,,,,,
18/09/2014,530809052,Hogg Robinson Group Ltd,"£1,889.26",,,,,,,,,,,,,,,,,,,
19/09/2014,530809047,Hogg Robinson Group Ltd,"£1,043.56",,,,,,,,,,,,,,,,,,,
19/09/2014,531100580,Hogg Robinson Group Ltd,"£1,331.66",,,,,,,,,,,,,,,,,,,
19/09/2014,531100581,Hogg Robinson Group Ltd,"£1,331.66",,,,,,,,,,,,,,,,,,,
19/09/2014,531100582,Hogg Robinson Group Ltd,"£2,043.66",,,,,,,,,,,,,,,,,,,
23/09/2014,531750585,Hogg Robinson Group Ltd,"£1,059.66",,,,,,,,,,,,,,,,,,,
24/09/2014,532046192,Hogg Robinson Group Ltd,£687.96,,,,,,,,,,,,,,,,,,,
26/09/2014,PCCL1721144,BARCELO TURISMO Y CONGRES,620.14,,,,,,,,,,,,,,,,,,,
26/09/2014,532483604,Hogg Robinson Group Ltd,"£2,433.36",,,,,,,,,,,,,,,,,,,
28/09/2014,532847040,Hogg Robinson Group Ltd,£650.48,,,,,,,,,,,,,,,,,,,
29/09/2014,533147808,Hogg Robinson Group Ltd,£563.20,,,,,,,,,,,,,,,,,,,
29/09/2014,533397540,Hogg Robinson Group Ltd,£569.36,,,,,,,,,,,,,,,,,,,
29/09/2014,533147802,Hogg Robinson Group Ltd,"£1,574.26",,,,,,,,,,,,,,,,,,,
