Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes,
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,114,110.47,207,199.25,679,667.84,556,540.16,116,113.14,0,0,"1,672","1,631",13,12.6,27,26.97,21,21,0,0,61,60.57,"1,733","1,691","£6,389,527.70","£25,063.54","£5,985.00","£119,134.87","£1,259,188.07","£594,439.98","£8,393,339.16","£553,857.72","£1,024,830.17","£1,578,687.89","£9,972,027.05",,
Driving Standards Agency,Executive Agency,Department for Transport,326,276.96,1934,1819.02,238,232.22,45,44.6,3,3,0,0,"2,546","2,376",0,0,0,0,0,0,0,0,0,0,"2,546","2,376","£4,989,977.00","£43,453.00",£400.00,"£111,385.00","£923,243.00","£371,483.00","£6,439,941.00",£0.00,£0.00,£0.00,"£6,439,941.00",,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4517,4026.73,915,867.46,676,661.42,128,124.1,9,9,0,0,"6,245","5,689",0,0,1,0.61,18,17.14,0,0,19,17.75,"6,264","5,706","£9,741,878.70","£98,573.00","£2,050.00","£356,941.94","£1,746,990.43","£638,382.41","£12,584,816.48","£272,912.96","£33,839.00","£306,751.96","£12,891,568.44",,
Government Car & Despatch Agency,Executive Agency,Department for Transport,12,12,135,131,12,12,1,1,0,0,0,0,160,156,1,1,0,0,0,0,0,0,1,1,161,157,"£455,321.00","£27,717.00",,"£29,475.00","£70,340.00","£45,929.00","£628,782.00","£52,480.00",£0.00,"£52,480.00","£681,262.00",,
Highways Agency,Executive Agency,Department for Transport,1527,1490.73,323,305.65,1291,1253.75,281,271.47,29,28.09,0,0,"3,451","3,350",0,0,0,0,21,18.84,0,0,21,18.84,"3,472","3,369","£7,807,570.91","£634,959.02","£7,832.19","£98,909.23","£1,554,915.05","£668,911.64","£10,773,098.04","£121,720.76",,"£121,720.76","£10,894,818.80",,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,447,438.95,240,230.23,291,275.22,110,108.13,5,4.49,0,0,"1,093","1,057",4,4,0,0,0,0,0,0,4,4,"1,097","1,061","£2,409,402.02","£230,864.36","£3,350.00","£203,513.60","£507,178.94","£226,502.69","£3,580,811.61","£11,442.94","£1,370.11","£12,813.05","£3,593,624.66",,
Vehicle Certification Agency,Executive Agency,Department for Transport,42,36.75,34,32.1,73,71.44,9,9,1,1,0,0,159,150,4,3,0,0,0,0,0,0,4,3,163,153,"£436,506.00","£18,900.00",£100.00,"£13,713.00","£75,011.00","£38,609.00","£582,839.00","£8,891.28",£331.84,"£9,223.12","£592,062.12","May costs only, UK Tempory staff costs",
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1017,952.66,807,792.34,375,369.98,34,33.42,2,2,0,0,"2,235","2,150",57,55.8,10,10,0,0,0,0,67,65.8,"2,302","2,216","£4,435,098.59","£297,646.59",£450.00,"£187,351.43","£876,777.11","£374,163.03","£6,171,486.75","£136,602.50",£0.00,"£136,602.50","£6,308,089.25",,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,5,4.5,2,1.6,2,2,0,0,10,9,0,0,0,0,1,1,0,0,1,1,11,10,"£34,100.00","£3,300.00",,,"£4,700.00","£3,300.00","£45,400.00","£26,641.81","£1,120.00","£27,761.81","£73,161.81",,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,4,1.8,4,2,0,0,0,0,3,1.7,0,0,3,1.7,7,4,"£24,780.00",,,,,"£2,271.00","£27,051.00","£29,301.83",£0.00,"£29,301.83","£56,352.83",It is correct that the current Ers’ Pension contributions are now zero. April was correct at £416.67.,
