Department for Work and Pensions,,,
Period: 1 April – 30 June 2014,,,
,,,
Name,Date of Meeting ,Name of External Organisation,Purpose of Meeting   
Rt Hon Iain Duncan Smith ,April,ITV,Welfare Reform
Rt Hon Iain Duncan Smith ,April,Hewlett-Packard,Introductory meeting to discuss the work of the Department
Rt Hon Iain Duncan Smith ,May,Church of England,Welfare Reform
Rt Hon Iain Duncan Smith ,May,Christians against Poverty,Welfare Reform
Rt Hon Iain Duncan Smith ,May,Catholic Church,Welfare Reform
Rt Hon Iain Duncan Smith ,May,Tesco PLC,Child Poverty
,,Tottenham Hotspur Foundation,
,,Carillion PLC,
,,DHL,
,,Legal & General Group PLC,
,,Home Retail Group,
,,Network Rail,
,,JP Morgan Chase Bank,
,,Everything Everywhere,
,,Virgin Trains,
,,Business in the Community,
,,British Retail Consortium,
,,Federation of Small Businesses,
,,Timewise Foundation,
Rt Hon Iain Duncan Smith ,June,Citizens Advice Scotland,Welfare Reform
Rt Hon Iain Duncan Smith ,June,Be OnSite,Work Programme
Rt Hon Esther McVey ,April,Precious,Disadvantaged Groups
Rt Hon Esther McVey ,April,A4E,To discuss the Work Programme
Rt Hon Esther McVey ,April,The Work Foundation,To discuss the foundation’s latest report on fairness
Rt Hon Esther McVey ,April,City& Guilds,Employers
Rt Hon Esther McVey ,April,Mitie Group PLC,Apprenticeships and Youth Employment
Rt Hon Esther McVey ,May,JCB Construction,Youth unemployment
Rt Hon Esther McVey ,May,National Careers Council,Careers support for young people
Rt Hon Esther McVey ,June,Jaguar Land Rover,Employment and employment opportunities
Rt Hon Esther McVey ,June,National Council for Voluntary Organisations ,Launch of Volunteering Week
Rt Hon Esther McVey ,June,Youth Employment UK ,Youth unemployment
Rt Hon Esther McVey ,June,Best Practice Group  ,To discuss with the Best Practice Group's  final recommendations
Rt Hon Esther McVey ,June,Land Securities Supporting Employment,Employment and recruitment in the construction industry
Rt Hon Esther McVey ,June,Centrica,Recruitment in the energy sector
Rt Hon Esther McVey ,June,Inclusion,Work Programme for ESA claimants
Rt Hon Esther McVey ,June,British Chambers of Commerce,Skills and Employment
Rt Hon Esther McVey ,June,Interserve,To discuss the government's back to work agenda.
Rt Hon Esther McVey ,June,workinsight.org,Young People.
Rt Hon Esther McVey ,June,Crossrail ,Young People
Rt Hon Esther McVey ,June,UK Commission for Employment and Skills &Nestle,Youth Employment
Rt Hon Esther McVey ,June,National Care Association ,Trade Body Roundtable
,,UK Home Care Association ,
,,UK Home Care Association ,
,,CITB Construction Skills,
,,Federation of Master Builders ,
,,Hire Association Europe,
,,Glass &Glazing Federation ,
,,British Institute of Facilities Management ,
,,Building Futures Group ,
,,British Insurance Brokers Association ,
,,British Beer & Pub Association,
,,British Institute of Innkeepers,
,,Business in Sport and Leisure,
,,Confederation of Passenger Transport,
,,Freight Transport Association,
,,Road Haulage Association,
,,Recruitment and Employment Confederation,
,,British Retail Consortium ,
,,Food & Drink Federation,
,,National Market Traders Federation,
,,Association of Convenience Stores,
,,British Security Industry Association ,
,,Intellect,
,,Institute of Conservation,
,,British Franchise Association,
,,UK Contact Centre Forum,
,,British Banking Association,
