Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,02/12/2013,Premises Rental,Operations & Finance,ZURICH ASSURANCE LTD,600084226,44574.62,107831677
Dept of Health,MHRA,05/12/2013,Third Party IT Contracts,Information Management,ACCENTURE,600084416,25172.70,788629066
Dept of Health,MHRA,06/12/2013,Capital Expenditure,Information Management,ACCENTURE,600084348,252161.58,788629066
Dept of Health,MHRA,06/12/2013,Third Party IT Contracts,Information Management,ACCENTURE,600084349,84022.00,788629066
Dept of Health,MHRA,06/12/2013,Capital Expenditure,Information Management,ACCENTURE,600084351,54333.95,788629066
Dept of Health,MHRA,06/12/2013,Computing Operation Costs,Information Management,ACCENTURE,600084353,539820.00,788629066
Dept of Health,MHRA,10/12/2013,Computing Operation Costs,Information Management,ACCENTURE,600084457,857293.76,788629066
Dept of Health,MHRA,10/12/2013,Solicitors,"Inspection, Enforcement & Standards",CPS,600084455,109234.08,888823164
Dept of Health,MHRA,10/12/2013,Solicitors,Policy,CPS,600084432,317320.50,888823164
Dept of Health,MHRA,13/12/2013,Capital Expenditure,Information Management,ACCENTURE,600084461,141564.17,788629066
Dept of Health,MHRA,13/12/2013,Computing Operation Costs,Information Management,ACCENTURE,600084462,29256.00,788629066
Dept of Health,MHRA,16/12/2013,Capital Expenditure,Information Management,ACCENTURE,600084662,29280.00,788629066
Dept of Health,MHRA,16/12/2013,IT Purchases,Information Management,ACCENTURE,600084671,26841.79,788629066
Dept of Health,MHRA,17/12/2013,UK Miscellaneous T&S,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600084695,28.68,413640679
Dept of Health,MHRA,17/12/2013,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600084695,533.32,413640679
Dept of Health,MHRA,17/12/2013,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600084695,386.43,413640679
Dept of Health,MHRA,17/12/2013,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600084695,1925.26,413640679
Dept of Health,MHRA,17/12/2013,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600084695,633.55,413640679
Dept of Health,MHRA,17/12/2013,Overseas Hotel/Accommodation,Communications,HOGG ROBINSON LTD,600084695,3.02,413640679
Dept of Health,MHRA,17/12/2013,UK Miscellaneous T&S,Directorate,HOGG ROBINSON LTD,600084695,9.56,413640679
Dept of Health,MHRA,17/12/2013,UK Hotel/Accommodation,Directorate,HOGG ROBINSON LTD,600084695,7.85,413640679
Dept of Health,MHRA,17/12/2013,UK Rail/Tube/Tram,Directorate,HOGG ROBINSON LTD,600084695,22.26,413640679
Dept of Health,MHRA,17/12/2013,UK Miscellaneous T&S,Human Resources,HOGG ROBINSON LTD,600084695,9.56,413640679
Dept of Health,MHRA,17/12/2013,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600084695,119.49,413640679
Dept of Health,MHRA,17/12/2013,UK Miscellaneous T&S,Information Management,HOGG ROBINSON LTD,600084695,19.12,413640679
Dept of Health,MHRA,17/12/2013,UK Hotel/Accommodation,Information Management,HOGG ROBINSON LTD,600084695,3.02,413640679
Dept of Health,MHRA,17/12/2013,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600084695,552.86,413640679
Dept of Health,MHRA,17/12/2013,Overseas Air,Information Management,HOGG ROBINSON LTD,600084695,418.23,413640679
Dept of Health,MHRA,17/12/2013,Overseas Hotel/Accommodation,Information Management,HOGG ROBINSON LTD,600084695,12.06,413640679
Dept of Health,MHRA,17/12/2013,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600084695,105.16,413640679
Dept of Health,MHRA,17/12/2013,UK Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600084695,2683.85,413640679
