Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Scheme Management Charges - International Trade Team Contracting,UK Trade and Investments - Trade Development,GO GLOBAL NORTH EAST LTD,172302,0.25,,SR5 3HD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172232,15.96,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172228,16.68,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,172231,40.56,,SL1 1DB,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,BIRMINGHAM CHAMBER OF COMMERCE AND INDUSTRY,172252,66.8,,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Promotional Materials - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,AWARE PROMOTIONAL MERCHANDISE LTD,172100,102,,PE7 1DY,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Event Management - Sector Events - UK,UK Trade and Investments - Trade Development,BIRMINGHAM CHAMBER OF COMMERCE AND INDUSTRY,172252,110.5,,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Trade Development,WEST MIDLANDS INTERNATIONAL TRADE LLP,172285,120,,B15 3DH,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172268,140,,RM7 7HL,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/04/2013,Design Services - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,ACUMEN DESIGN CONSULTANCY LTD,172271,140,,RM7 7HL,,,,Programme
