"#","Page","Page Views","Approximate Sessions"
"1","other directgov subsite > en > directgov home page >  website of the uk government : directgov","3,069,226","2,579,923"
"2","employment > en > jobseekers/lookingforwork/ dg_10030134 find a job now : directgov - employment","2,783,719","2,520,230"
"3","other directgov subsite > en > searchresults  search results : directgov - search results","2,279,180","1,359,723"
"4","education and learning > en > universityandhighereducation/studentfinance/  student finance : directgov - education and learning","1,688,754","1,171,667"
"5","motoring > en >  dg_174859 did you know... : directgov - motoring","1,550,098","1,377,162"
"6","motoring > en >   motoring : directgov","935,934","709,443"
"7","other directgov subsite > en > other   search results : directgov - search results","755,593","292,887"
"8","travel and transport > en > passports/  passports : directgov - travel and transport","563,207","418,869"
"9","employment > en > jobseekers/  jobseekers : directgov - employment","522,310","449,076"
"10","do it online > en > doitonlinemotoring/ dg_197300 check, change or cancel your dsa practical driving test online : directgov - do it online","450,374","402,517"
"11","money tax and benefits > en >   money, tax and benefits : directgov","447,932","344,986"
"12","directories > en >   directories : directgov - directories","442,739","324,581"
"13","employment > en >   employment : directgov","439,230","344,208"
"14","do it online > en >  dg_178228 apply for jobseeker's allowance online : directgov - do it online","419,402","357,793"
"15","motoring > en > learnerandnewdrivers/  learners and new drivers and riders : directgov - motoring","413,198","323,567"
"16","do it online > en > doitonlinemotoring/ dg_197299 book your official dsa practical driving test online : directgov - do it online","413,064","346,716"
"17","money tax and benefits > en > benefitstaxcreditsandothersupport/employedorlookingforwork/ dg_10018757 jobseeker's allowance : directgov - money, tax and benefits","412,267","332,007"
"18","directories > en > usefulcontactsbycategory/educationandlearningcontacts/ dg_172310 student finance england : directgov - directories","381,459","282,527"
"19","motoring > en > owningavehicle/howtotaxyourvehicle/  how to tax your vehicle : directgov - motoring","375,302","299,841"
"20","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_10012524 the cost of vehicle tax for cars, motorcycles, light goods vehicles and trade licences : directgov - motoring","365,552","325,265"
"21","do it online > en > doitonlinemotoring/ dg_197297 book your official dsa driving theory test online : directgov - do it online","361,330","301,269"
"22","employment > en > jobseekers/contactjobcentreplus/ dg_186347 how to contact jobcentre plus : directgov - employment","349,240","293,188"
"23","employment > en > employees/thenationalminimumwage/ dg_10027201 the national minimum wage rates : directgov - employment","332,901","312,787"
"24","do it online > en > doitonlinebycategory/ dg_172666 benefits adviser service : directgov - do it online","321,347","271,691"
"25","travel and transport > en > passports/howlongittakesandurgentappplications/ dg_174109 table of passport fees, how to pay and refunds : directgov - travel and transport","314,824","277,076"
"26","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022088 change of name and address on your driving licence : directgov - motoring","310,272","233,065"
"27","money tax and benefits > en > benefitstaxcreditsandothersupport/  benefits and financial support : directgov - money, tax and benefits","308,503","218,425"
"28","do it online > en >   do it online : directgov - do it online","306,161","254,265"
"29","pensions and retirement planning > en > statepension/ dg_4017919 calculating your state pension age : directgov - pensions and retirement planning","305,569","205,238"
"30","government citizens and rights > en > other  dg_073741 bank holidays and british summer time : directgov - government, citizens and rights","303,513","291,396"
"31","motoring > en > owningavehicle/mot/ dg_10020539 check your vehicle's mot status and history online : directgov - motoring","290,730","250,502"
"32","employment > en > jobseekers/lookingforwork/  looking for work : directgov - employment","290,307","242,050"
"33","motoring > en > driverlicensing/needaneworupdatedlicence/  need a new or updated licence : directgov - motoring","285,694","209,193"
"34","do it online > en >  dg_4017669 take an official practice theory driving test : directgov - do it online","281,177","258,627"
"35","motoring > en > motoringtransactions/ dg_10032681 driver licensing online : directgov - motoring","263,495","199,058"
"36","travel and transport > en > passports/renewingorextendingyourpassport/ dg_174097 the application form, fee and supporting documents for renewing an adult passport : directgov - travel and transport","263,455","207,901"
"37","motoring > en > motoringtransactions/beforeyouapplyc/ dg_066944 apply online to change the address on your driving licence : directgov - motoring","252,469","191,093"
"38","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022085 replacing your driving licence if lost, stolen, defaced or destroyed : directgov - motoring","247,334","186,870"
"39","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_10034732 tax your vehicle online or by phone : directgov - motoring","244,978","225,161"
"40","pensions and retirement planning > en > statepension/statepensionforecast/ dg_10014008 getting a state pension forecast : directgov - pensions and retirement planning","244,708","161,965"
"41","motoring > en > learnerandnewdrivers/practicaltest/  practical test : directgov - motoring","236,442","185,576"
"42","motoring > en > motoringtransactions/beforeyouapplya/ dg_10032690 apply online for a first provisional driving licence : directgov - motoring","223,361","170,835"
"43","motoring > en > motoringtransactions/beforeyouapplyd/ dg_174531 what you need to know : directgov - motoring","220,019","168,575"
"44","other directgov subsite > other dg_187178 car theory test one: directgov - practical theory test","208,205","179,011"
"45","travel and transport > en > passports/renewingorextendingyourpassport/  renewing or extending your adult passport : directgov - travel and transport","207,540","161,798"
"46","motoring > en > learnerandnewdrivers/theorytest/  theory test : directgov - motoring","206,238","154,657"
"47","motoring > en > motoringtransactions/beforeyouapplyc/ dg_067507 apply online to replace your driving licence : directgov - motoring","204,751","157,634"
"48","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_10012514 applying for a provisional driving licence : directgov - motoring","195,311","145,774"
"49","young people > en >   young people : directgov","194,315","155,309"
"50","travel and transport > en > passports/howlongittakesandurgentappplications/  fees, how long it takes and urgent applications : directgov - travel and transport","193,943","143,316"
"51","other directgov subsite > other dg_186303 check, change or cancel your dsa practical driving test online : directgov - motoring","191,680","174,111"
"52","education and learning > en > universityandhighereducation/studentfinance/ dg_194466 student finance forms and guides 2011/12 : directgov - education and learning","187,774","126,397"
"53","pensions and retirement planning > en >   pensions and retirement planning : directgov","184,838","137,804"
"54","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018708 income support : directgov - money, tax and benefits","178,728","138,375"
"55","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018926 housing benefit : directgov - money, tax and benefits","176,402","140,386"
"56","education and learning > en >   education and learning : directgov","175,573","136,240"
"57","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_078070 renewing the photo on your driving licence : directgov - motoring","172,367","129,577"
"58","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/  medical a-z : directgov - motoring","171,126","40,221"
"59","directories > en > usefulcontactsbycategory/motoringcontacts/ dg_10012974 driver and vehicle licensing agency (dvla) contacts : directgov - directories","170,043","123,940"
"60","motoring > en > motoringtransactions/beforeyouapplyd/ dg_174546 what you need to know : directgov - motoring","164,629","129,981"
"61","other directgov subsite error page . error messages : directgov","155,191","112,977"
"62","motoring > en > learnerandnewdrivers/learningtodriveorride/ dg_4022530 driving test fees : directgov - motoring","154,894","133,025"
"63","travel and transport > en > passports/applyingforaneworrenewedchildpassport/ dg_174107 the application form, fee and supporting documents for a child passport : directgov - travel and transport","152,741","118,557"
"64","motoring > en > learnerandnewdrivers/practicaltest/ dg_186585 how to book and manage your practical driving test appointment : directgov - motoring","150,408","124,245"
"65","motoring > en > owningavehicle/untaxedvehicle/ dg_4022058 how to make a sorn (statutory off road notification) : directgov - motoring","149,419","128,778"
"66","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/  student finance: a quick guide : directgov - education and learning","145,779","109,106"
"67","government citizens and rights > en > other   consumer rights : directgov - government, citizens and rights","145,129","105,846"
"68","motoring > en > motoringtransactions/beforeyouapplyd/ dg_172559 what you need to know : directgov - motoring","142,594","117,230"
"69","travel and transport > en > passports/howlongittakesandurgentappplications/ dg_174149 urgent passport applications : directgov - travel and transport","139,771","110,490"
"70","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_4022117 how to tax your vehicle with a reminder : directgov - motoring","139,694","127,060"
"71","directories > en > localcouncils/atozoflocalcouncils/  a to z of local councils : directgov - directories","138,236","36,973"
"72","motoring > en > driverlicensing/  driver licensing : directgov - motoring","134,547","99,659"
"73","education and learning > en > universityandhighereducation/studentfinance/parentsandpartners/  parents and partners : directgov - education and learning","133,975","90,458"
"74","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_4022118 the cost of vehicle tax : directgov - motoring","133,583","106,416"
"75","other directgov subsite > other dg_186302 book your dsa practical driving test online : directgov - motoring","132,679","115,484"
"76","motoring > en > learnerandnewdrivers/theorytest/ dg_196007 how to book and manage your driving theory test appointment : directgov - motoring","127,783","104,323"
"77","travel and transport > en > passports/howlongittakesandurgentappplications/ dg_174148 timetable for passport applications : directgov - travel and transport","124,414","103,821"
"78","motoring > en > motoringtransactions/beforeyouapplyc/ dg_193809 apply online to renew the photo on your driving licence : directgov - motoring","122,813","97,238"
"79","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_171580 submitting evidence to support a student finance application : directgov - education and learning","121,285","88,767"
"80","disabled people > en >   disabled people : directgov","119,027","85,448"
"81","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_069680 how to tax your vehicle without a reminder : directgov - motoring","117,606","99,561"
"82","other directgov subsite > en > other   cota result page : directgov","115,933","105,756"
"83","money tax and benefits > en > taxcredits/  tax credits : directgov - money, tax and benefits","114,310","85,415"
"84","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_171577 student finance: how and when to apply : directgov - education and learning","114,138","86,535"
"85","money tax and benefits > en > benefitstaxcreditsandothersupport/illorinjured/ dg_171894 employment and support allowance - introduction : directgov - money, tax and benefits","113,060","74,735"
"86","do it online > en > doitonlinemotoring/ dg_10031642 motoring : directgov - do it online","111,536","92,297"
"87","money tax and benefits > en > taxes/beginnersguidetotax/nationalinsurance/introductiontonationalinsurance/ dg_190048 national insurance - the basics : directgov - money, tax and benefits","110,222","91,474"
"88","pensions and retirement planning > en > statepension/  state pension : directgov - pensions and retirement planning","110,007","82,038"
"89","motoring > en > driverlicensing/whatcanyoudriveandyourobligations/ dg_4022547 the vehicles you can drive or ride and minimum ages : directgov - motoring","108,405","83,163"
"90","money tax and benefits > en > benefitstaxcreditsandothersupport/expectingorbringingupchildren/ dg_10018741 statutory maternity pay : directgov - money, tax and benefits","104,537","81,621"
"91","travel and transport > en > passports/applyingforaneworrenewedchildpassport/  applying for a new or renewed child passport : directgov - travel and transport","102,921","78,762"
"92","money tax and benefits > en > benefitstaxcreditsandothersupport/illorinjured/ dg_10018786 statutory sick pay : directgov - money, tax and benefits","102,833","79,911"
"93","other directgov subsite > other dg_187179 car theory test two: directgov - practical theory test","102,025","90,905"
"94","education and learning > en > universityandhighereducation/studentfinance/parentsandpartners/ dg_171588 parents and partners of students: supporting a student finance application : directgov - education and learning","101,501","68,958"
