5.1  Programme costs analysed by programme,,
,,
 £000,2014-15,2013-14
,,
,Departmental,Departmental
,Group,Group
,,
National Security Secretariat,,
Resilient Telecommunications,"7,113","6,742"
Cyber Emergency Response Team (UK),"6,053","2,333"
Government Security Zone,890,890
Total National Security Secretariat,"14,056","9,965"
,,
Honours and Appointments Secretariat,,
Lord Lieutenants’ Expenses,"1,366","1,305"
Honours and Dignities,"1,349","1,189"
Total Honours and Appointments Secretariat        ,"2,715","2,494"
,,
Political and Constitutional Reform,,
Parliamentary elections in England and Wales,"96,509",-
Electoral Registration Transformation Programme,"40,220","13,120"
Individual Electoral Registration,"9,107","3,084"
Boundary Commissions for England and Wales,258,80
Other,50,82
Total Political and Constitutional Reform,"146,144","16,366"
,,
Prime Minister’s Office,,
GREAT Campaign,"2,696","1,557"
Chequers Trust,695,725
Total Prime Minister’s Office,"3,391","2,282"
,,
Efficiency and Reform Group,,
Mutuals,"4,545","2,942"
Government Property Unit,"2,298",696
,,
Government Digital Service,,
ID Assurance,"9,419","7,539"
Cabinet Office Confidential IT System,"7,061",-
Publishing Platform Technology,"6,750","4,158"
Transformation,"6,317","2,493"
Business Technology,"3,758","2,025"
Cabinet Office IT Systems,"3,001",136
Common Good Information Assurance Research,"2,966",269
Enabling Strategy,"1,992",-
Other,"4,653","7,498"
Total Government Digital Service,"45,917","24,118"
,,
Total Efficiency and Reform Group,"52,760","27,756"
,,
Government Innovation Group,,
Open data programme,"3,723",501
,,
Office for Civil Society,,
National Citizen Service,"130,395","84,297"
Access: The Foundation for Social Investment,"36,000",-
Social Action,"31,570","20,271"
Community First,"23,535","18,187"
Advice Services Fund,"16,554","16,504"
Emergency Service and Search & Rescue,"10,808",-
Technical Assistance,"7,553","13,384"
Youth Policy,"6,241","4,982"
Community Organisers,"4,301","6,424"
v,750,"1,000"
Social Outcomes Fund,190,-
Office for Civil Society general research programme,30,"1,060"
Strategic Programme,6,"1,710"
Other,"4,008","2,606"
Total Office for Civil Society,"271,941","170,425"
,,
Total Government Innovation Group,"275,664","170,926"
,,
Other,"3,620","3,490"
,,
Sub total,"498,350","233,279"
,,
Total non-cash items,"6,466",509
,,
Total,"504,816","233,788"
