Figure: 4.1,,,,,,,,,,,,,,,,
Proportion of premises connected to ADSL-enabled and unbundled exchanges (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Non-LLU ADSL,99.98,100,99.86,100,100,,100,99.91,,,,,,,,
LLU ADSL,95,96,89,93,89,,100,77,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / BT, December 2014 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure: 4.2,,,,,,,,,,,,,,,,
Proportion of premises able to receive Virgin Media cable broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Jun-15,44,47,36,21,27,,50,1,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / Virgin Media, May 2015 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.3,,,,,,,,,,,,,,,,
Proportion of premises able to receive BT Openreach/Kcom fibre broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Jun-15,82,82,75,83,92,,84,67,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / Openreach / Kcom, May 2015 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.4,,,,,,,,,,,,,,,,
Proportion of premises able to receive NGA broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
Jun-15,90,90,85,87,95,,92,67,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Ofcom / Openreach / Virgin Media / Kcom, May 2015 data",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Figure 4.5,,,,,,,,,,,,,,,,
Proportion of premises able to receive superfast broadband services (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,UK Urban,UK Rural,,,,,,,,
