,,,,,,,,,
FOOTBALL BANNING ORDERS BY CLUB SUPPORTED,,,,,,,,TABLE 1,
Total number of banning orders against risk supporters of each club,,,,,,,,,
"Total as at 19th November 2010 – 3,248 (1,025 imposed since the last annual statistics)",,,,,,,,,
Premier League Club Supported,Banning Orders,Championship                 Club Supported,Banning Orders,League One                 Club Supported,Banning Orders,League Two                  Club Supported,Banning Orders,Other Clubs,Banning Orders
Arsenal ,60,Barnsley,38,Bournemouth,11,Accrington Stanley,0,Ajax,4
Aston Villa,57,Burnley,29,Brentford,8,Aldershot Town,27,Bangor City,4
Birmingham City,25,Bristol City,32,Brighton & Hove Alb.,11,Barnet,1,Barrow,10
Blackburn Rovers,35,Cardiff City,125,Bristol Rovers,23,Bradford City,29,Boston United,1
Blackpool,22,Coventry City,36,Carlisle United,12,Burton Albion,4,Cambridge United,4
Bolton Wanderers,35,Crystal Palace,32,Charlton Athletic,26,Bury,8,Celtic,12
Chelsea,75,Derby County,30,Colchester United,26,Cheltenham Town,4,Chester,13
Everton,52,Doncaster Rovers,18,Dag’m & Redbridge,1,Chesterfield,41,Curzon Ashton,1
Fulham,6,Hull City,68,Exeter City,9,Crewe Alexandra,10,Darlington,9
Liverpool,77,Ipswich Town,15,Hartlepool United,12,Gillingham,2,Fleetwood Town,7
Manchester City,50,Leicester City,53,Huddersfield Town,49,Hereford United,12,Grimsby Town,76
Manchester United,85,Leeds United,152,Leyton Orient,5,Lincoln City,9,Hinckley United,1
Newcastle United,105,Middlesbrough,73,Milton Keynes Dons,1,Macclesfield Town,1,Kettering Town,6
Stoke City,41,Millwall,100,Notts County,8,Morecambe,4,Kidderminster H.,3
Sunderland,46,Norwich City,20,Oldham Athletic,21,Northampton Town,6,Luton Town,33
Tottenham Hotspur,49,Nottingham Forest,55,Peterborough United,25,Oxford United,12,Mansfield Town,14
West Bromwich Alb.,43,Portsmouth,49,Plymouth Argyle,31,Port Vale,23,Newport County,24
West Ham United,91,Preston North End,14,Rochdale,19,Rotherham United,20,Rangers,25
Wigan Athletic,13,QPR,19,Sheffield Wednesday,79,Shrewsbury Town,26,Redditch United,1
Wolverhampton W,86,Reading,9,Southampton,56,Southend United,8,Salisbury City,5
,,Scunthorpe United,26,Swindon Town,26,Stevenage,0,Staines Town,1
,,Sheffield United,45,Tranmere Rovers,34,Stockport County,13,Stalybridge Celtic,2
,,Swansea City,69,Walsall,19,Torquay United,4,Telford United,11
,,Watford,5,Yeovil Town,0,Wycombe Wanderers,1,Utd of Manchester,2
,,,,,,,,Wimbledon,4
,,,,,,,,Wrexham ,30
,,,,,,,,York City,3
TOTAL,"1,053",TOTAL,"1,112",TOTAL,512,TOTAL,265,TOTAL,306
