Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,AHDB,07/04/2017,Invoice,,University of Warwick,91024238,27363,Research: AHDB Horticulture - Application and management of biopesticides for efficiency and reliability Jan to March 2017,CV4 8UW,,,,,545270058
DEFRA,AHDB,07/04/2017,Invoice,,Animal and Plant Health Agency,77788,33268,Research: AHDB Horticulture - FV426a: Management strategies to mitigate woodpigeon colomba palumbus damage to crops Oct to Dec 2016,YO1 7PX,,,,,GB GD 001
DEFRA,AHDB,21/04/2017,Invoice,,KPMG LLP,5501405295,26615,Internal Audit: 2016/17 Internal Audit Service - quarter 4 fee,BS1 6AG,,,,,791788859
DEFRA,AHDB,21/04/2017,Invoice,,RSK ADAS Ltd,RIRP501507,33870,"Research: AHDB Cereals & Oilseeds - RD-21120013 Fungicide performance in wheat, barley & OSR. Jan 17 - March 17 costs",WA6 0AR,,,,,256435886
DEFRA,AHDB,21/04/2017,Invoice,,SAC Commercial Ltd,20903227,99500,Research: AHDB Dairy - Genetic evaluation service. Jan to Mar 17 costs,EH9 3JG,,,,,435882817
DEFRA,AHDB,21/04/2017,Invoice,,JONES LANG LASALLE,025/169729,102981.61,Rent: Rent/Service charge for Stoneleigh HQ building. APR TO JUN 17,E14 1HA,,,,,385839396
DEFRA,AHDB,21/04/2017,Invoice,,TNS UK Ltd,260169883,106444.85,Market Research: Kantar Retail and Usage reporting - period ending 23/04/2017,W5 1UA,,,,,210325428
DEFRA,AHDB,21/04/2017,Invoice,,TNS UK Ltd,260169728,106444.85,Market Research: Kantar Retail and Usage reporting - period ending 06/11/2016,W5 1UA,,,,,210325428
DEFRA,AHDB,21/04/2017,Invoice,,TNS UK Ltd,260169743,106444.85,Market Research: Kantar Retail and Usage reporting - period ending 29/01/2017,W5 1UA,,,,,210325428
DEFRA,AHDB,21/04/2017,Invoice,,TNS UK Ltd,260169685,141926.45,Market Research: Kantar Retail and Usage reporting - period ending 14/08/2016,W5 1UA,,,,,210325428
DEFRA,AHDB,28/04/2017,Invoice,,James Hutton Limited,SIJHL/00000816,25795,Research: AHDB Cereals & Oilseeds - Platforms to test and demonstrate sustainable soil management: integration of major UK field experiments  APR TO JUN 16,DD2 5DA,,,,,108249520
DEFRA,AHDB,28/04/2017,Invoice,,TLR Ltd,BPEX AMI/117,27580.11,Defra Electronic Pig Movement System - AHDB Pork eAML2 Pig Movement Services Apr - June 17,AL1 3AF,,,,,600511996
DEFRA,AHDB,28/04/2017,Invoice,,UK-IDF,UK-IDF/02/17,33000,Annual subscription to the International Dairy Federation 01/01/17 - 31/12/17,WC1V 7EP,,,,,921470446
DEFRA,AHDB,28/04/2017,Invoice,,RSK ADAS Ltd,RIRP500633,33694,Research: AHDB Horticulture - 31140002: Transition to responsibly sourced growing media use within UK horticulture. Oct to Dec 2016 costs.,WA6 0AR,,,,,256435886
DEFRA,AHDB,28/04/2017,Invoice,,Identity Holding Limited,INV-11815,50000,Trade Event: AHDB Cereals & Oilseeds - Cereals Event 2017 stand build,BN24 5NP,,,,,813091360
DEFRA,AHDB,28/04/2017,Invoice,,Warwick District Council,9519866,182020,"Rates: Council Tax for AHDB Building 6th Street, Avenue J , Stoneleigh 01/04/17 - 31/03/18",CV32 5RU,,,,,-
DEFRA,APHA,03/04/2017,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - COURIER COSTS,IMT,PROMOTIONAL LOGISTICS LTD,1021149,27053.75,"Letters produced and generated from disease time recording 
system and sent to Livestock holders informing them of their 
livestock tests and results.",CO10 2XG,SUPPLIER,,0,Expense,577593580
DEFRA,APHA,03/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB EQUIPMENT (NON-CAPITAL),LAB SERVICES SUTTON BONINGTON,SCIENTIFIC LABORATORY SUPPLIES LTD,1021172,25329,Purchase of laboratory equipment,NG11 7EP,SUPPLIER,,0,Expense,
DEFRA,APHA,03/04/2017,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,BUSINESS SUPPORT,THE WHITEHALL & INDUSTRY GROUP,1021147,85004,Training Course for senior management,SW1H 9EX,SUPPLIER,,0,Expense,667832004
DEFRA,APHA,04/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,Biotechnology,T C S BIOSCIENCES,1021256,126672,Purchase of Specialist Laboratory Kits,MK18 2LR,SUPPLIER(1),,0,Expense,
DEFRA,APHA,04/04/2017,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,BUSINESS SUPPORT,THE WHITEHALL & INDUSTRY GROUP,1021345,77258,Training Course for senior management,SW1H 9EX,SUPPLIER,,0,Expense,667832004
DEFRA,APHA,04/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,TB,THERMO FISHER SCIENTIFIC LELYSTAD BV,20000466,188743.7,Purchase of Specialist Laboratory Kits,HOLLAND,SUPPLIER,,APSB4011,Expense,
DEFRA,APHA,04/04/2017,EXP - PURCHASE OF GOODS/SERVICES - OTHER - RESEARCH AND DEVELOPMENT,COMMERCIAL,UNIVERSITY OF OXFORD,1021241,50028,Recruitment of a joint post between The Animal & Plant Health Agency (APHA) and The Chancellor Masters and Scholars of the University of Oxford,OX3 9DU,SUPPLIER,,APCSDF03,Expense,1255 06730
DEFRA,APHA,05/04/2017,Exp - Purchase Of Goods/Services - Other Professional Services,PLANT VARIETY AND SEEDS,AGRI-FOOD & BIOSCIENCES INSTITUTE,1021422,84374.08,"Grasses/herbage Distinct Uniform Stable and Value for
 Cultivation and Use authentication, regular Plant Breeder's
 Rights and National Listing Quarter 3,  1 Oct - 31 Dec",BT9 5PX,OGD,,APA2AN00,Expense,877233106
DEFRA,APHA,05/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,BACTERIOLOGY,BRUKER UK LTD,1021451,150000,Purchase of technical equipment,CV4 9GH,SUPPLIER(1),,0,Expense,
DEFRA,APHA,05/04/2017,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,PROJECT DELIVERY AND PORTFOLIO MANAGEMENT,IBM UNITED KINGDOM LTD,1021501,60229.94,Services provided by IBM for the design and system builds in financial year 16/17 to deliver the County Parish Holding (CPH) England project that are funded by Defra. Costs will continue until the middle of financial year 17/18 as the system is developed to meet business needs,GU1 2LD,SUPPLIER,,APP10147,Expense,
DEFRA,APHA,06/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,BACTERIOLOGY,AGILENT TECHNOLOGIES UK LTD,1021572,46662.24,Purchase of technical equipment,SK8 3GR,SUPPLIER,,0,Expense,314149679
DEFRA,APHA,06/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,VIROLOGY,AGILENT TECHNOLOGIES UK LTD,1021572,35201.34,Purchase of technical equipment,SK8 3GR,SUPPLIER,,0,Expense,314149679
DEFRA,APHA,07/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,Lab Services,BECTON DICKINSON UK LTD,1021696,128520,Purchase of Specialist Laboratory Kits,OX4 4DQ,Access to Work,,0,Expense,
DEFRA,APHA,07/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,Lab Services ,BECTON DICKINSON UK LTD,1021696,-54718.92,CREDIT NOTE AGAINST INVOICE NUMBER 170022780,OX4 4DQ,Access to Work,,0,Expense,
