Organisation Name,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000845887,28/10/2014,4COURT PHARMACY,Healthcare,PUBLIC HEALTH,STOP SMOKING,665.71 
Rochdale,V000837649,02/10/2014,A & S BUILDING & ROOFING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"1,441.97 "
Rochdale,V000838934,07/10/2014,A & S BUILDING & ROOFING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"2,537.00 "
Rochdale,V000845910,29/10/2014,A & S BUILDING & ROOFING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"1,291.03 "
Rochdale,V000846290,30/10/2014,A A ARNOLD LIMITED,Education,EARLY HELP AND SCHOOLS,RETENTIONS (MODERNISATION 2008-09),"1,237.04 "
Rochdale,V000840287,14/10/2014,A J ASSOCIATES,Unclassifiable,EARLY HELP AND SCHOOLS,CLC RUNNING COSTS 2011/12,500.00 
Rochdale,V000840854,16/10/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"1,500.00 "
Rochdale,V000839224,08/10/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,ALKRINGTON/ST PETERS CHILDREN CENTRE,"1,440.00 "
Rochdale,V000841339,20/10/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,CORPORATE LANDLORD GENERAL,951.00 
Rochdale,V000840257,14/10/2014,ABM LANCASHIRE LIMITED,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"3,447.00 "
Rochdale,V000839693,10/10/2014,ACIES CIVIL AND STRUCTURAL,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"4,000.00 "
Rochdale,V000835979,29/09/2014,ACME REFRIDGERATION,Catering,ECONOMY AND ENVIRONMENT,ASHFIELD VALLEY,"1,018.00 "
Rochdale,V000846230,30/10/2014,ACME REFRIDGERATION,Catering,ECONOMY AND ENVIRONMENT,HOLY FAMILY,661.00 
Rochdale,V000839439,09/10/2014,ACME REFRIDGERATION,Catering,ECONOMY AND ENVIRONMENT,ST PETERS MIDDLETON,702.00 
Rochdale,V000832882,01/10/2014,ACORN RECOVERY PROJECTS,Housing Management,LEARNING DIS & MENTAL HEALTH,AGENCY PLACEMENTS,"14,500.00 "
Rochdale,V000832883,01/10/2014,ACORN RECOVERY PROJECTS,Housing Management,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,"33,250.00 "
Rochdale,V000839171,08/10/2014,ACS BUSINESS SUPPLIES,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,ROCHDALE CENTRAL LIBRARY,753.34 
Rochdale,V000839260,09/10/2014,ACTION ON HEARING LOSS,Financial Services,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,798.00 
Rochdale,V000837650,02/10/2014,ADAPT BUILDING SERVICES LTD,"Works - Construction, Repair & Maintenance",PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"2,845.00 "
Rochdale,V000840764,15/10/2014,ADOPTION FOCUS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"18,000.00 "
Rochdale,V000844178,22/10/2014,ADOPTION MATTERS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,750.00 
Rochdale,V000839347,09/10/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"12,000.00 "
Rochdale,V000839348,09/10/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"12,857.10 "
Rochdale,V000839355,09/10/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"8,567.10 "
Rochdale,V000837605,02/10/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"4,000.00 "
Rochdale,V000845949,29/10/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"4,000.00 "
Rochdale,V000836079,29/09/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"92,154.55 "
Rochdale,V000836093,29/09/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"6,459.00 "
Rochdale,V000837836,03/10/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"6,459.00 "
Rochdale,V000844058,21/10/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"19,431.00 "
Rochdale,V000844074,21/10/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"-8,354.00 "
Rochdale,V000844071,21/10/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"-10,629.67 "
Rochdale,V000844075,21/10/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"-35,215.00 "
Rochdale,V000836903,29/09/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,"-92,154.55 "
Rochdale,V000836093,29/09/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - ICT,"6,458.75 "
