Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Tax Code,Amount,Vat Registration Number,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,12.49,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,20.62,466477701,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,184.69,238034379,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,293.02,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,331.50,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,331.50,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,331.51,466477701,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,352.59,238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,456.95,238034379,
NHS,NHS Hertfordshire,16/02/2012,FT - NCA,Other Mental Health/LD - Children,CNWL NHS FOUNDATION TRUST,10084266,0,502.00,654970895,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,570.90,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,667.18,466477701,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,705.18,238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,705.18,238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,705.18,238034379,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,734.22,466477701,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,778.21,238034379,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,843.05,466477701,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,881.47,238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,881.47,238034379,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,886.47,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,888.20,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,923.82,466477701,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,932.49,466477701,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,967.16,238034379,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,009.04",100636617,
NHS,NHS Hertfordshire,13/04/2012,COIN Installations,ICT Infrastructure,VIRGIN MEDIA PAYMENTS LTD,10091575,R,"1,043.00",591819014,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,055.08",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,057.77",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,057.77",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,057.77",238034379,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,"1,133.44",466477701,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,173.67",100636617,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,234.06",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,234.06",238034379,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,279.84",100636617,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,327.79",100636617,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,394.03",100636617,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,410.36",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,410.36",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,410.36",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,410.36",238034379,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,489.53",100636617,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,626.21",238034379,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,"1,700.93",466477701,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,762.95",238034379,
NHS,NHS Hertfordshire,16/04/2012,Contract Cleaning,Facilities Management,OCS GROUP UK LTD,10091880,R,"1,762.95",238034379,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,885.37",100636617,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,936.19",100636617,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,936.75",100636617,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,936.75",100636617,
NHS,NHS Hertfordshire,30/03/2012,Contract Cleaning,Facilities Management,WHITEOAKS,10090181,R,"1,978.45",466477701,
NHS,NHS Hertfordshire,19/04/2012,Building - Repairs & Maint.,Facilities Management,CARILLION SERVICES LTD,10092725,R,"1,982.26",100636617,
