Month of Meeting ,Name of External Organisation,Purpose of Meeting  
January,BP,High Level talks
January,"Rio Tinto, Australia",Australia economy and to see first-hand Rio’s state of the art mining operation.
January,"Vice President Shell, Australia",Energy operation expansion in Western Australia
February,CBI Permanent Secretaries Event,"Promoting UK growth in the global economy, touching upon exports, skills, and infrastructure to achieve this. "
March, Shell  Executive Committee Member Andy Brown,Russia/Ukraine relations and the impact of recent shale gas deal with Ukraine; The situation (both security and political) in N Africa and the Sahel region; The shape of the foreign policy of a second Obama presidency.
March,BP Regional President Azerbaijan –Georgia – Turkey ,Trade and investment relationship
 ,,
,,
 ,,
,,
,,
  ,,
