ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,LocationText,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,Category,AccessibleCategory,RADARKeyNeeded,BabyChange,FamilyToilet,ChangingPlace,AutomaticPublicConvenience,FullTimeStaffing,PartOfCommunityScheme,CommunitySchemeName,ChargeAmount,InfoURL,OpeningHours,ManagedBy,ReportEmail,ReportTel,Notes,UPRN,Postcode,StreetAddress,GeoAreaURI,GeoAreaLabel
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Armada Way Underground Public Conveniences,WGS84,-4.142446053,50.37163488,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL1 1HH,,http://statistics.data.gov.uk/id/statistical-geography/E05002094,St Peter and the Waterfront
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Closed Tothill Park Public Conveniences,WGS84,-4.120929897,50.37397821,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL4 9HQ,,http://statistics.data.gov.uk/id/statistical-geography/E05002097,Sutton and Mount Gould
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Coypool Public Convenience,WGS84,-4.082213328,50.39384629,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL7 5AA,,http://statistics.data.gov.uk/id/statistical-geography/E05002090,Plympton St Mary
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Cremyll Street Public Conveniences,WGS84,-4.162525413,50.36563848,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL1 3RE,,http://statistics.data.gov.uk/id/statistical-geography/E05002094,St Peter and the Waterfront
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Dean Hill Public Conveniences,WGS84,-4.093043009,50.35956875,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL9 9AB,,http://statistics.data.gov.uk/id/statistical-geography/E05002092,Plymstock Radford
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Demolished Thorn Park Public Conveniences,WGS84,-4.132752237,50.38767634,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL3 4TF,,http://statistics.data.gov.uk/id/statistical-geography/E05002079,Compton
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Devils Point Public Convenience,WGS84,-4.161575181,50.36175447,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL1 3RW,,http://statistics.data.gov.uk/id/statistical-geography/E05002094,St Peter and the Waterfront
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Disabled Toilet,WGS84,-4.142557411,50.37165555,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL1,,http://statistics.data.gov.uk/id/statistical-geography/E05002094,St Peter and the Waterfront
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Elphinstone Public Conveniences,WGS84,-4.134403204,50.36406643,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL1 2NX,,http://statistics.data.gov.uk/id/statistical-geography/E05002094,St Peter and the Waterfront
05/01/2015,http://opendatacommunities.org/id/unitary-authority/plymouth,Plymouth City Council ,http://id.esd.org.uk/service/579,Public toilets,Freedom Park Public Conveniences,WGS84,-4.127442246,50.37827161,http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html,Female and male,Female and male,,,,,,,,,,,,,,,,,PL4 8QF,,http://statistics.data.gov.uk/id/statistical-geography/E05002097,Sutton and Mount Gould
