Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Home Office (excl agencies) ,Ministerial Department,Home Office,"2,151","2,034","5,190","4,926","2,614","2,520","1,166","1,136",154,153,1,1,"11,276","10,769",482,481,,,,,,,482,481,"11,758","11,250","£27,362,000.00","£7,319,000.00","£5,000.00","£321,000.00","£6,649,000.00","£3,000,000.00","£44,656,000.00","-£6,066,000.00","£1,351,000.00","-£4,715,000.00","£39,941,000.00",
Criminal Records Bureau,Executive Agency,Home Office,222,199,156,148,98,96,16,15,3,3,0,0,495,462,0,0,,,,,,,0,0,495,462,"£891,000.00","-£5,000.00",£0.00,£0.00,"£170,000.00","£63,000.00","£1,119,000.00","£89,000.00","£53,000.00","£142,000.00","£1,261,000.00",
Identity & Passport Service,Executive Agency,Home Office,"1,947","1,709",809,726,479,469,122,121,13,13,0,0,"3,370","3,038",6,5,,,,,,,6,5,"3,376","3,043","£5,840,000.00","£265,000.00",£0.00,"£74,000.00","£1,091,000.00","£445,000.00","£7,715,000.00","£117,000.00","£127,000.00","£244,000.00","£7,959,000.00",
UK Border Agency,Executive Agency,Home Office,"4,017","3,626","3,966","3,754","2,901","2,794",509,498,41,41,0,0,"11,434","10,712",448,448,,,,,,,448,448,"11,882","11,160","£22,351,000.00","£2,758,000.00","-£1,000.00","£623,000.00","£4,895,000.00","£1,953,000.00","£32,579,000.00","£1,639,000.00","-£40,000.00","£1,599,000.00","£34,178,000.00",
National Fraud Authority ,Executive Agency,Home Office,0,0,3,3,20,20,19,19,3,3,0,0,45,45,1,1,,,,,,,1,1,46,46,"£179,000.00","-£2,000.00",£0.00,£0.00,"£39,000.00","£18,000.00","£234,000.00","£48,000.00",£0.00,"£48,000.00","£282,000.00",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Home Office,11,10,31,29,139,134,53,49,15,15,,,249,237,2,1,14,14,,,,,16,15,265,252,"£741,879.00","£189,020.00",,"£1,593.00","£153,896.00","£69,501.00","£1,155,889.00","£132,871.00",,"£132,871.00","£1,288,760.00",
Independent Police Complaints Commission,Executive Non-Departmental Public Body,Home Office,35,33,35,35,283,276,30,30,5,5,0,0,388,379,13,13,0,0,4,3,,,17,16,405,395,"£1,017,057.13","£66,659.21",,"£18,177.04","£198,377.76","£93,750.22","£1,394,021.36","£42,523.52",,"£42,523.52","£1,436,544.88",
Independent Safeguarding Authority,Executive Non-Departmental Public Body,Home Office,39,36,35,33,165,159,17,16,3,3,8,8,267,256,2,1,,,9,9,,,11,10,278,266,"£649,301.17","£2,153.98",£0.00,"£42,819.15","£104,941.34","£57,692.15","£856,907.79","£2,663.22","£78,332.78","£80,996.00","£937,903.79",
National Policing Improvement Agency,Executive Non-Departmental Public Body,Home Office,31,29,106,103,300,291,150,143,16,16,12,12,615,594,6,6,0,0,0,0,0,0,6,6,621,600,"£1,636,155.65","£65,305.15",,"£13,398.04","£316,371.17","£146,695.03","£2,177,925.04","£560,403.00",,"£560,403.00","£2,738,328.04",
Office of the Immigration Services Commissioner,Executive Non-Departmental Public Body,Home Office,13,12,8,8,38,38,2,2,1,1,,,62,59,,,,,,,,,0,0,62,59,"£164,362.00",£776.00,,,"£29,090.00","£13,854.00","£208,082.00",,,£0.00,"£208,082.00",
Security Industry Authority,Executive Non-Departmental Public Body,Home Office,34,33,20,20,95,95,12,12,4,4,6,6,171,170,9,9,19,19,,,,,28,28,199,198,"£466,274.46","£38,531.54","£2,000.00","£2,222.47","£92,040.23","£41,850.25","£642,918.95","£274,752.29",,"£274,752.29","£917,671.24",
Serious Organised Crime Agency,Executive Non-Departmental Public Body,Home Office,315,297,"1,495","1,457","1,683","1,649",286,284,28,28,7,4,"3,814","3,718",22,22,83,83,11,11,,,116,116,"3,930","3,834","£11,097,259.00","£949,598.00","£21,670.00","£1,327,702.00","£2,336,623.00","£1,151,141.00","£16,883,993.00","£812,258.00",,"£812,258.00","£17,696,251.00",
