Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,ASHFORD AND ST PETERS HOSPITALS NHS TRUST,124076-21-JUN-2011,"165,141.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,UNDER GRADUATE MEDICAL EDUCATION,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,128692,"5,099,000.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,124073-21-JUN-2011,"525,237.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,DARTFORD AND GRAVESHAM NHS TRUST,1000020695,"40,000.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,DARTFORD AND GRAVESHAM NHS TRUST,124061-21-JUN-2011,"48,045.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,124062-21-JUN-2011,"387,480.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,EAST SUSSEX DOWNS & WEALD PCT,124107-28-JUN-2011,"56,196.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,HASTINGS & ROTHER PCT,124106-28-JUN-2011,"39,294.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,KENT & MEDWAY NHS & SOCIALCARE PARTNERSHIP TRUST,124064-21-JUN-2011,"199,904.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,KENT COMMUNITY HEALTH NHS TRUST,124072-21-JUN-2011,"140,111.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,KENT COMMUNITY HEALTH NHS TRUST,124103-28-JUN-2011,"237,869.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,MAIDSTONE&TUNBRIDGE WELLS NHS TRUST,124067-21-JUN-2011,"300,226.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,MEDWAY COMMUNITY HEALTHCARE,124068-21-JUN-2011,"129,912.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,MEDWAY NHS FOUNDATION TRUST,124102-28-JUN-2011,"124,898.00"
Department of Health,NHS South East Coast,01/07/2011,SERVICES RECEIVED - PCTS,MENTAL HEALTH PROGRAMMES,MEDWAY PCT,10087850,"30,380.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,NHS BUSINESS SERVICES AUTHORITY,2567,"2,248,388.00"
Department of Health,NHS South East Coast,01/07/2011,TRAINING AND EDUCATION EXPENSES,NON-MEDICAL EDUCATION COMMISSIONING,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,124078-21-JUN-2011,"201,119.00"
