?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PROFESSIONAL SERVICES,17/10/2014,254760,1306.80,ACCEPT MANAGEMENT,101627
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,SEWAGE WORKS ROUTINE MAINTNCE,31/10/2014,255264,2392.52,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,STALL CLEARANCE,03/10/2014,254247,9940.00,ANDREW GEORGE HARRISON LTD,100012
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROMOTION OF EVENTS,31/10/2014,255456,792.50,APPLEWHITE GIFTS LTD,101711
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,10/10/2014,254568,1814.70,ARC BUSINESS CONSULTANCY SERVICES LTD,102143
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G992,PROFESSIONAL SERVICES,17/10/2014,254919,13500.00,ARLINGCLOSE LTD,101772
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY & FINANCE,G450,CHAUFFEUR SERVICES,10/10/2014,254472,1113.26,AURA JOURNEYS,101222
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,ADVERTISING,03/10/2014,254244,1395.00,BAG IT DON'T BIN IT LTD,102146
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255253,2116.00,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255248,1562.00,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255245,1323.63,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255249,1198.00,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255251,1189.80,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255244,989.00,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255247,572.00,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,DISABLED FACILITIES,31/10/2014,255471,3143.00,BELTON CONSTRUCTION,104690
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,17/10/2014,254885,3254.53,BEYOND THE BARRICADE LTD,101226
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255279,3011.00,BIRKETTS LLP,104691
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,24/10/2014,255171,25266.20,BLUE LINES ROOFING LTD,100049
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G991,STORES RECEIPTS,24/10/2014,255096,761.50,BRENNTAG UK LTD,100054
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,24/10/2014,255221,2457.99,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GAS,24/10/2014,255222,931.94,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ELECTRICITY,24/10/2014,255208,762.80,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,BT LINES,17/10/2014,254844,12088.94,BRITISH TELECOMMUNICATIONS PLC,100057
