Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,127,119.71,370,356.22,842,816.33,803,773.84,208,203,0,0,2350,2269.1,264,260.82,..,..,112,106.88,25,22.23,401,389.93,2751,2659.03,"£8,367,757","£86,026","£575,042","£21,332","£1,729,352","£856,001","£11,635,509","£2,545,377","£157,582","£2,702,958","£14,338,467",
Appointments Commission,Executive Non-Departmental Public Body,Department of Health,1,1,8,7.8,5,4.6,3,3,1,1,0,0,18,17.4,3,3,0,0,0,0,0,0,3,3,21,20.4,"£52,586",£0,£0,£0,"£6,666","£4,630","£63,882","£5,689",£0,"£5,689","£69,571",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,321,305.16,154,150.71,1254,1213.88,185,183.87,42,41.51,8,6.91,1964,1902.04,141,141,9,9,10,10,1,1,161,161,2125,2063.04,"£5,639,938","£71,597",£0,"£16,359","£781,375","£560,082","£7,069,352","£1,491,699",£0,"£1,491,699","£8,561,051",
Council for Healthcare Regulatory Excellence,Executive Non-Departmental Public Body,Department of Health,3,2.59,7,7,9,7.6,3,3,1,1,0,0,23,21.19,0,0,0,0,1,0.14,0,0,1,0.14,24,21.33,"£92,331",£0,£0,£0,"£12,040","£8,845","£113,216","£1,500","£9,660","£11,160","£124,376",
General Social Care Council,Executive Non-Departmental Public Body,Department of Health,0,0,1,1,5,5,3,3,1,1,0,0,10,10,0,0,1,1,0,0,0,0,1,1,11,11,"£46,524","£1,050",£423,£0,"£4,109","£5,510","£57,617",Closed,Closed,£0,"£57,617",
Health & Social Care Information Centre,Special Health Authority,Department of Health,86,71.7,127,118.6,177,164.5,154,141.8,27,24.3,,,571,520.9,37,28.2,,,48,43.7,,,85,71.9,656,592.8,"£1,564,838","£3,901",,£156,"£205,917","£124,515","£1,899,327","£491,393","£55,945","£547,338","£2,446,665",
Health Education England,Executive Non-Departmental Public Body,Department of Health,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,
Health Protection Agency,Executive Non-Departmental Public Body,Department of Health,781,696.68,479,456.5,1334,1266.01,767,735.45,336,313.16,130,119.66,3827,3587.46,89,86.19,10,8.4,13,10.6,1,1,113,106.19,3940,3693.65,"£10,906,705","£1,814,250",,"£101,430","£1,501,970","£1,165,004","£15,489,360","£555,104","-£72,474","£482,631","£15,971,991",
Health Research Authority,Special Health Authority,Department of Health,3,2.03,56,52.31,16,15.6,9,7.8,3,3,0,0,87,80.74,10,6.41,3,1.36,0,0,0,0,13,7.77,100,88.51,"£219,823",£0,£0,£0,"£26,249","£18,428","£264,500","£41,699",£0,"£41,699","£306,199",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,1,0.56,21,17.53,30,28.49,9,8.8,4,4,0,0,65,59.38,0,0,0,0,0,0,0,0,0,0,65,59.38,"£217,936",£313,,£971,"£42,444","£20,586","£282,250",£0,"£120,333","£120,333","£402,582",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,3,3,9,8.4,21,19.8,7,7,5,4.6,0,0,45,42.8,0,0,0,0,2,1.6,0,0,2,1.6,47,44.4,"£158,455",£0,£0,£0,"£18,440","£14,728","£191,623","£4,023","£9,116","£13,138","£204,761",
