"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 1","51341","53949","Senior Management","2.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 1","51341","53949","Senior Management","1.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 2","39706","53500","Senior Specialist/Policy Adviser","2.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 2","39706","53500","Senior Specialist/Policy Adviser","3.80","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 3","34717","44000","Senior Manager","3.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 3","34717","44000","Senior Curator & Keeper","2.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 3","34717","44000","Not In Post","1.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 3","34717","44000","Senior IT Manager","1.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 4","28021","36510","Manager","3.00","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 4","28021","36510","Curator/Senior Academic","3.00","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 4","28021","36510","Manager","1.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 4","28021","36510","Not In Post","2.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 5","13644","31875","Collections Officer","4.00","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 5","13644","31875","Curator - Mid-career","5.00","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 5","13644","31875","Not In Post","1.00","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 5","13644","31875","Senior Technician","10.00","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 5","13644","31875","Office Manager","1.60","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 5","13644","31875","Senior Technical Adviser","3.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 6","10260","27144","Collections Support Officer","19.16","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 6","10260","27144","Finance Officer","2.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 6","10260","27144","Operations Support Officer","17.20","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 6","10260","27144","Operations Support Officer","2.29","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 7","11820","23503","Administrator","2.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 7","11820","23503","Collections Support Assistant","6.00","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 7","11820","23503","Administrator","4.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 7","11820","23503","Finance Support Officer","1.60","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 7","11820","23503","Not In Post","1.00","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Rank 8","3453","19552","Collections Delivery Assistant","1.20","Operational Research"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM212","Rank 8","3453","19552","Operations Delivery Assistant","59.80","Operational Delivery"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM414","Apprentice","12875","15968","Apprentice","8.00","Operational Delivery"
