Department Family,Entity,Period,Expense Type,Supplier Name,Transaction number, Amount 
Department of Health,Harrogate & Rural District CCG,February-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100083,"-76,663.59 "
Department of Health,Harrogate & Rural District CCG,December-2013,Clinical&Medical-Independent Sector,TUNSTALL HEALTHCARE (UK) LTD,3SE99007261," 26,060.59 "
Department of Health,Harrogate & Rural District CCG,September-2013,Hlthcre-Foundation Trsts,TEES ESK & WEAR VALLEYS NHS FOUNDATION TRUST,4810001603," 26,284.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810003086," 31,806.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Charges from CSU,NHS NORTH YORKSHIRE AND HUMBER CSU,7310100711," 32,036.00 "
Department of Health,Harrogate & Rural District CCG,December-2013,Hlthcre-Foundation Trsts,TEES ESK & WEAR VALLEYS NHS FOUNDATION TRUST,4810001607," 35,710.36 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,JENNYFIELD HEALTH CENTRE,N/A," 41,296.00 "
Department of Health,Harrogate & Rural District CCG,January-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100072," 57,708.75 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,ST LUKES MEDICAL PRACTICE,N/A," 58,430.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,SPRINGBANK SURGERY,N/A," 61,161.00 "
Department of Health,Harrogate & Rural District CCG,October-2013,Hlthcre-Foundation Trsts,TEES ESK & WEAR VALLEYS NHS FOUNDATION TRUST,4810001349," 61,437.67 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H163829," 63,000.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,PARK PARADE SURGERY,N/A," 64,628.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810002979," 68,119.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,STOCKWELL ROAD SURGERY,N/A," 72,341.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,DR AKESTER & PARTNERS,N/A," 74,842.00 "
Department of Health,Harrogate & Rural District CCG,November-2014,Clinical&Medical-Independent Sector,BMI HEALTHCARE LTD,0000023600," 79,118.55 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,EAST PARADE SURGERY,N/A," 82,117.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,KINGSWOOD SURGERY,N/A," 88,801.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,DR FLETCHER & PARTNERS,N/A," 95,539.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,RIPON SPA SURGERY,N/A," 96,054.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Charges from CSU,NHS NORTH YORKSHIRE & HUMBER CSU,7310100727," 116,828.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,BEECH HOUSE SURGERY,N/A," 121,484.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,THE SPA SURGERY,N/A," 124,845.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,NORTH HOUSE SURGERY,N/A," 130,070.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,NIDDERDALE GROUP PRACTICE,N/A," 135,732.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H163660," 141,500.00 "
Department of Health,Harrogate & Rural District CCG,January-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100078," 146,715.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,CHURCH LANE SURGERY,N/A," 147,349.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,THE LEEDS ROAD PRACTICE,N/A," 151,496.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,DR DF BANNATYNE & PARTNERS,N/A," 161,019.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,EASTGATE MEDICAL GROUP,N/A," 163,653.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Voluntary Sector,ST MICHAELS HOSPICE,924," 166,919.45 "
Department of Health,Harrogate & Rural District CCG,February-2014,Clinical&Medical-Drugs,DR YOUNG & PARTNERS,N/A," 177,159.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H167302," 200,000.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hlthcre-Foundation Trsts,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,3510007260," 243,584.00 "
Department of Health,Harrogate & Rural District CCG,January-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100075," 280,757.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hlthcre-Foundation Trsts,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,1010012166," 395,604.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hcare Srv Rec NHS Trust,LEEDS TEACHING HOSPITALS NHS TRUST,425766," 435,794.39 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810002915," 439,340.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hlthcre-Foundation Trsts,HARROGATE & DISTRICT NHS FOUNDATION NHS TRUST,H166305," 898,809.00 "
Department of Health,Harrogate & Rural District CCG,February-2014,Hlthcre-Foundation Trsts,TEES ESK & WEAR VALLEYS NHS FOUNDATION TRUST,4810001911," 960,663.50 "
Department of Health,Harrogate & Rural District CCG,January-2014,Healthcare Srv Rec CCG,NHS SCARBOROUGH AND RYEDALE CCG,7016100070," 1,314,363.41 "
