Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Number
Department of Health,Derbyshire County PCT,08/11/2012,Commissioning Other Contr,3VH,3VH LTD,11547723,28847,PPNOVEMBER2012
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,AHMED LODGE & PARTNERS,CONTRACT PAYMENT,57545.3,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,ALI & PARTNERS,CONTRACT PAYMENT,75523.36,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,ALLAMBY & DAVIDSON,CONTRACT PAYMENT,54807.07,
Department of Health,Derbyshire County PCT,08/11/2012,Commissioning Other Contr,MRI SCANS-NORTH DERBYSHIRE CCG,ALLIANCE MEDICAL LTD,11552671,26629.17,1159555
Department of Health,Derbyshire County PCT,12/11/2012,Commissioning M Health,Alzheimer's Society - Hardwick CCG,ALZHEIMERS SOCIETY,11557894,24210,PSI052305
Department of Health,Derbyshire County PCT,12/11/2012,Commissioning M Health,Alzheimer's Society Southern Derbyshire CCG,ALZHEIMERS SOCIETY,11557894,8070,PSI052305
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,ANDERSON & PARTNERS,CONTRACT PAYMENT,106431.77,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,APPLETREE MEDICAL PRACTICE,CONTRACT PAYMENT,93464.13,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,ARDEN HOUSE MEDICAL PRACTICE,CONTRACT PAYMENT,42361.75,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,ASHOVER MEDICAL PRACTICE,CONTRACT PAYMENT,29784.15,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,AVONDALE SURGERY,CONTRACT PAYMENT,82685.72,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,BATES & WEDGEWOOD,CONTRACT PAYMENT,48636.09,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,BATES & WEDGEWOOD,CONTRACT PAYMENT,76327.26,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,BETHELL HARVEY & PARTNERS,CONTRACT PAYMENT,82736.35,
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,BIRKS BRADLEY & PARTNERS,CONTRACT PAYMENT,104280.4,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BIRMINGHAM CHILDRENS,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,11547728,122061,15658669
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BIRMINGHAM CHILDRENS,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,11547758,103273.5,15658738
Department of Health,Derbyshire County PCT,08/11/2012,Commissioning Gen/Acute,PATIENT CHOICE OTHER-NORTH DERBYSHIRE CCG,BMI HEALTHCARE COLLECTIONS,11498939,30490.06,6941
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,BROOKLYN MEDICAL PRACTICE,CONTRACT PAYMENT,48876.73,
Department of Health,Derbyshire County PCT,01/11/2012,Hlthcre-Foundation Trsts,BURTON COSTS OUTSIDE CONT,BURTON HOSPITALS NHS FOUNDATION TRUST,11456271,113912.18,IN0012583261
Department of Health,Derbyshire County PCT,01/11/2012,Hlthcre-Foundation Trsts,BURTON COSTS OUTSIDE CONT,BURTON HOSPITALS NHS FOUNDATION TRUST,11456272,35596.8,IN0012583671
Department of Health,Derbyshire County PCT,01/11/2012,Hlthcre-Foundation Trsts,BURTON HOSPITALS,BURTON HOSPITALS NHS FOUNDATION TRUST,11475917,111120,IN0012585651
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BURTON COSTS OUTSIDE CONT,BURTON HOSPITALS NHS FOUNDATION TRUST,11547729,31074.08,IN0012622291
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,BURTON HOSPITALS,BURTON HOSPITALS NHS FOUNDATION TRUST,11570116,1727087.17,IN0012638621
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,BUXTON MEDICAL PRACTICE,CONTRACT PAYMENT,68944.86,
Department of Health,Derbyshire County PCT,26/11/2012,Commissioning Gen/Acute,PATENT CHOICE BARLBOROUGH-NORTH DERBYSHIRE CCG,CARE UK CLINICAL SERVICES LTD,11575041,349297.33,120001457
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,CASTLE STREET MEDICAL PRACTICE,CONTRACT PAYMENT,31583.93,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,CENTRAL MANCHESTER,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11547724,77817,191145
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,CENTRAL MANCHESTER,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11547742,297223,191371
Department of Health,Derbyshire County PCT,05/11/2012,Commissioning Other Contr,CAB,CHESTERFIELD CITIZENS ADVICE BUREAU,11493442,32192,CB201213Q3CHESTERFIELD
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,CHILDRENS SPECIALIST EQUIPMENT,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,11475923,34000,4510155
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,CRH,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,11509861,-83223.93,9500947
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,CRH,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,11570113,13315856,4510539
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,CHILVERS & MCCREA LTD,CONTRACT PAYMENT,78412.26,
Department of Health,Derbyshire County PCT,15/11/2012,Hlthcre-Foundation Trsts,CHRISTIES,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,11531272,143006,14132
Department of Health,Derbyshire County PCT,08/11/2012,Commissioning Other Contr,CLAREMONT-NORTH DERBYSHIRE CCG,CLAREMONT HOSPITAL,11547722,206724.42,PPNOVEMBER2012
Department of Health,Derbyshire County PCT,26/11/2012,Commissioning Other Contr,CLAREMONT-NORTH DERBYSHIRE CCG,CLAREMONT HOSPITAL,11608760,40880.58,MAN30127
Department of Health,Derbyshire County PCT,Nov-12,CONTRACT PAYMENT,GP SERVICES,COLLEGE STREET MEDICAL PRACTIC,CONTRACT PAYMENT,83398.76,
