"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","AHRC","Programmes","5861","G6","54565","69721","Associate Director","1.70","Operational Delivery"
"Department for Business Innovation and Skills","AHRC","Programmes","5861","G7","42769","54648","Senior Manager","3.00","Operational Delivery"
"Department for Business Innovation and Skills","AHRC","Programmes","5861","S level","33781","43164","Manager","11.70","Operational Delivery"
"Department for Business Innovation and Skills","AHRC","Programmes","5861","H Level","26609","34001","Manager","8.80","Operational Delivery"
"Department for Business Innovation and Skills","AHRC","Programmes","5861","EO","21097","26958","Officer/Coordinator","18.60","Operational Delivery"
"Department for Business Innovation and Skills","AHRC","Programmes","5861","AO","16400","20956","Admin Assistant","2.30","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","AHRC","Resources","7670","G6","54565","69721","Associate Director","1.60","Human Resources"
"Department for Business Innovation and Skills","AHRC","Resources","7670","G7","42769","54648","Head of Department","4.00","Finance"
"Department for Business Innovation and Skills","AHRC","Resources","7670","S level","33781","43164","Manager","5.00","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","AHRC","Resources","7670","H Level","26609","34001","Manager","7.00","Finance"
"Department for Business Innovation and Skills","AHRC","Resources","7670","EO","21097","26958","Assistant","8.50","Operational Delivery"
"Department for Business Innovation and Skills","AHRC","Resources","7670","AO","16400","20956","Admin Assistant","1.00","Operational Delivery"
