Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,EXEMPLAS TRADE SERVICES LTD,177574,1325.00,,AL7 3AX,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,EXEMPLAS TRADE SERVICES LTD,177574,810.00,,AL7 3AX,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,EXEMPLAS TRADE SERVICES LTD,177574,164.75,,AL7 3AX,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,EXEMPLAS TRADE SERVICES LTD,177574,1016.41,,AL7 3AX,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,EXEMPLAS TRADE SERVICES LTD,177574,46387.04,,AL7 3AX,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177583,5000.00,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Training - General - Gateway to Global Growth,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177583,517.50,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Investment - Enablers (Autumn Statement),UK Trade and Investments - Investment Development,ADECCO UK LTD,177410,700.28,,B37 7YE,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Travel and Subsistence O'seas - Inward Investment Events,UK Trade and Investments - Investment Development,CABINET OFFICE,177579,1400.00,,CF14 3UW,GOV,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Event Management - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,CLEARVIEW IMAGING SERVICES LTD,177581,10000.00,,E3 3JQ,SME,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Event Management - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,TANDEM EVENTS LTD,177587,5820.00,,WC1V 7HH,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Printed Publications - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,PSPRARE PUBLISHING LTD,177582,10386.00,,EC1R 4TD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Printed Publications - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,PSPRARE PUBLISHING LTD,177582,39361.00,,EC1R 4TD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Promotional Materials - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,AWARE PROMOTIONAL MERCHANDISE LTD,177575,204.00,,PE7 1DY,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Promotional Materials - Inward Investment Publicity,UK Trade and Investments - Marketing & Communications,AWARE PROMOTIONAL MERCHANDISE LTD,177576,408.00,,PE7 1DY,,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,STM PACKAGING GROUP LTD T/A SEFTON TRANSMAIL,177102,698.23,,NR6 6BJ,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,VORTEX EXHAUST TECHNOLOGY LTD,177157,894.04,,RM17 6ST,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,MUSIC FOR LITTLE PEOPLE LTD,177158,531.64,,PE19 5TS,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,MUSIC FOR LITTLE PEOPLE LTD,177160,333.50,,PE19 5TS,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,TEMAG PHARMA LTD,177271,534.24,,AL7 3AX,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,JK WORLDWIDE LTD,177338,440.26,,IP4 5NS,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,CATAPULT ENTERPRISES LTD,177426,121.74,,NW3 4YD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,CATAPULT ENTERPRISES LTD,177426,878.26,,NW3 4YD,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,KINGSWOOD LTD T/A MAPMECHANICS,177427,431.43,,TW8 8JA,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,HERBFARMACY LTD,177431,996.53,,HR3 6NB,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,KINETIC SIX LTD,177432,1000.00,,HR2 6FE,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,DUSTCHECK LTD,177433,786.13,,ST4 3PE,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Business Development Credits,UK Trade and Investments - Trade Development,THE GALLERY PARTNERSHIP LTD,177503,1000.00,,SE1 1TY,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,THE ACADEMY OF ANCIENT MUSIC,177048,802.38,,CB2 1SJ,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,SURTEK SYSTEMS LTD,177049,610.84,,MK45 4HS,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,HOWIE & HOWIE LTD,177275,302.99,,NR28 0PU,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,GUM LEAF LTD,177419,325.12,,NR28 9PN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,DRUCEGROVE LTD,177420,2504.70,,EN9 1HU,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,THE APPLIED KNOWLEDGE NETWORK LTD,177421,756.50,,CB24 5HS,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,UNI-TA TECHNOLOGY (UK) LTD,177422,1075.00,,LE1 1HA,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,ADVANCIS MEDICAL (A PART OF BRIGHTWATER LTD),177423,3000.00,,NG17 7JZ,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,ALPHABLUE APPS LTD,177424,1406.28,,GU15 3HL,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Scheme Management Charges - Passport Vouchers (Autumn Statement),UK Trade and Investments - Trade Development,NANOMERICS LTD,177425,2000.00,,WC1N 1AX,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Event Management - Passport Workshops (Autumn Statement),UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177584,26625.04,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Event Management - Trade Marketing Events,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177585,1500.00,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Event Management - Trade Marketing Events,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177585,2879.50,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Event Management - Trade Marketing Events,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177585,3475.25,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Printing Costs - Trade Marketing Events,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177585,151.00,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Printing Costs - Trade Marketing Events,UK Trade and Investments - Trade Development,SOUTH EAST TRADE & INVESTMENT LTD,177585,2673.50,,PO15 7FN,EXT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Media and Press Services - Trade Marketing Publicity,UK Trade and Investments - Trade Development,CABINET OFFICE,177577,293000.00,,CF14 3UW,GOV,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/08/2013,Sponsors Grants - Trade Show Access Programme,UK Trade and Investments - Trade Development,THE SOCIETY OF MOTOR MANUFACTURERS AND TRADERS LTD(SMMT),177578,6000.00,,SW1P 2BN,,,,Grants
