Title:,"Public enjoyment of the natural enviornment, 1995-6 to 2011-12.",,,,,,,,,,,,,,
Year:,1995 - 2012,,,,,,,,,,,,,,
Geography:,England,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,
Source:,"Monitor Engagement with the Natural Environment (MENE), Natural England, RSPB",,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/biodiversity/,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,
Custodian," Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,
Contact:,transparency@defra.gsi.gov.uk,,,,,,,,,,,,,,
Release Date:,Jun-12,,,,,,,,,,,,,,
Notes:,"a.  Frequency of visits to the natural environment (percentage reporting ‘several times or more a week’ to Q17: Thinking about the last 12 months, how often on average have you spent your leisure time out of doors, away from home? Based on all respondents (2009-10 N=11,107; 2010-11 N= 10,630; 2011-12 N=10,587).",,,,,,,,,,,,,,
,"b.  Number of visits to the natural environment taken in the previous seven days Q1: How many times, if at all, did you make this type of visit? Base: All respondents, weekly questions (2009-10 N=48,514; 2010-11 N= 46,099; 2011-12 N=47,418).",,,,,,,,,,,,,,
,"c. Socio-economic profile by frequency of participation in visits to the natural environment (%).  
Q17: Thinking about the last 12 months, how often on average have you spent your leisure time out of doors, away from home? (Base: Monthly questions. Frequent N=5,715; Infrequent N=3,870; Non-participants=1,002).",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Proportion of the population visiting the outdoors more than once a week in the last year,,,Number of visits to the natural environment - general places: MENE March 2009 - February 2012,,,,,"Socio-economic profile by frequency of participation in visits to the natural environment, 2010/11",,,,,,Annual number of visits to nature reserves owned and managed by Royal Society for the Protection of Birds ,
Year,More than once a week,,,2009-10,2010-11,2011-12,, ,DE,C2,C1,AB,,Year,Million
2009-10,33%,,Countryside,1.38,1.31,1.42,,Frequent visitors,22%,20%,30%,28%,,1995-6,7.28
2010-11,33%,,Green space in a town and city,1.16,0.92,1.04,,Infrequent visitors,28%,22%,29%,22%,,1996-7,8.13
2011-12,34%,,Seaside,0.32,0.26,0.27,,Non-participants,45%,23%,22%,9%,,1997-8,6.82
,,,All visits,2.86,2.49,2.73,,,,,,,,1998-9,7.61
,,,,,,,,,,,,,,1999-00,8.51
,,,,,,,,,,,,,,2000-1,6.43
,,,,,,,,,,,,,,2001-2,7.04
,,,,,,,,,,,,,,2002-3,10.34
,,,,,,,,,,,,,,2003-4,12.67
,,,,,,,,,,,,,,2004-5,12.85
,,,,,,,,,,,,,,2005-6,15.91
,,,,,,,,,,,,,,2006-7,17.48
,,,,,,,,,,,,,,2007-8,18.09
,,,,,,,,,,,,,,2008-9,19
,,,,,,,,,,,,,,2009-10,20
,,,,,,,,,,,,,,2010-11,20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
