Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,f1005262,03/04/2017,"£98,151.75",GREATER MANCHESTER PENSION FUND,EXPENSES,RESOURCES
Rochdale Borough Council,f1005263,03/04/2017,"£105,670.00",TRAFFORD MBC,OTHER LOCAL AUTHORITIES,RESOURCES
Rochdale Borough Council,f1005265,03/04/2017,"£10,000.00",NORTHGATE PUBLIC SERVICES (UK) LTD,POSTAGE,RESOURCES
Rochdale Borough Council,d1065810,04/04/2017,"£48,100.00",RIVERSIDE TRUCK RENTAL,VEHICLE MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008569,04/04/2017,"£24,960.00",BLUERAQ NETWORKS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,w1001743,04/04/2017,"£5,180.73",PM PROPERTIES,RENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,x1013827,04/04/2017,"£8,827.43",SPORT WORKS GTR MANCHESTER LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1065854,05/04/2017,"£28,200.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065856,05/04/2017,"£8,030.00",ROCHDALE MEMORIAL SERVICE LTD,FIXTURES & FITTINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065858,05/04/2017,"£15,408.23",DOBSON UK LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065891,05/04/2017,"£10,723.50",HEYWOOD SCAFFOLDING SERVICES,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065896,05/04/2017,"£30,990.00",THOMAS KERSHAW BUILDERS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1065897,05/04/2017,"£189,836.00",JACKSON JACKSON & SONS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
