P/L Individual Transactions Over £25K,Inv Cert Date between 01/02/2011 and 28/02/2011,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,01/02/2011,PREMISES & FIXED PLANT,ICT,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006510,"162,276.75"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/02/2011,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,IN036823860,"26,300.45"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/02/2011,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,IN036823860,"1,052.02"
Department of Health,Colchester Hospital University NHS Foundation Trust,01/02/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1011066054,"80,726.15"
Department of Health,Colchester Hospital University NHS Foundation Trust,02/02/2011,PREMISES & FIXED PLANT,FACILITIES,SOUTHERN ELECTRIC PLC,261342989/0023,"43,109.04"
Department of Health,Colchester Hospital University NHS Foundation Trust,02/02/2011,PREMISES & FIXED PLANT,FACILITIES,SOUTHERN ELECTRIC PLC,231307501/0032,"26,456.73"
Department of Health,Colchester Hospital University NHS Foundation Trust,02/02/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_143996_2,"46,873.62"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/02/2011,PREMISES & FIXED PLANT,RADIOLOGY,HEALTHCARE SOFTWARE SYSTEMS LTD,3643,"31,215.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/02/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00014624,"28,858.56"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/02/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90791369,"54,806.40"
Department of Health,Colchester Hospital University NHS Foundation Trust,03/02/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90791369,597.12
Department of Health,Colchester Hospital University NHS Foundation Trust,04/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,117782,"42,463.44"
Department of Health,Colchester Hospital University NHS Foundation Trust,10/02/2011,NON CLINICAL SUPPLIES,FACILITIES,CARILLION HEALTH,116974,"25,471.44"
Department of Health,Colchester Hospital University NHS Foundation Trust,11/02/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1011070205,"88,721.53"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/02/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_145416_2,"52,741.93"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/02/2011,CAPITAL EQUIPMENT,CAPITAL IM&T,ISOFT BUSINESS SOLUTIONS (UK) LTD,INV/013400,"30,117.60"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/02/2011,CAPITAL BUILDINGS,CAPITAL ESTATES,K & H MEDICAL LTD,014729,"49,293.20"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/02/2011,CLINICAL SUPPLIES,PATHOLOGY,NHS BLOOD & TRANSPLANT,800927,"149,176.23"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/02/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,XOGRAPH HEALTHCARE LTD,OP/I103911,"57,600.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/02/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,XOGRAPH HEALTHCARE LTD,OP/I103911,"2,622.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,16/02/2011,SECONDARY COMMISSIONING,CARDIOLOGY,INHEALTH LIMITED,IHL00014742,"31,016.19"
