Entity,GL Date,Merchant name,Amount,Description
CCW,02/01/2014,ECLIPSE NETWORKING LIM   0148260282,£804.54,Monthly Broadband Charges for Network Connections - December 2013-January 2014
RPA,29/01/2014,DOTTED EYES LTD,£600.00,Support and Maintenance for twenty five Safe FME (Feature Manipulation Engine) support requests. This is a software tool used by Geographical Information Services.
AHVLA,23/01/2014,ENTERPRISE - 01784 221300 ,£579.47,Car Hire for 21 days required for travel to and from a laboratory for project work - 20 July-10 August 2013
AHVLA,17/01/2014,WWW.FPMAILING.CO.UK - INTERNET     ,£524.00,Top up Newcastle Franking Machine - December 2013.
AHVLA,09/01/2014,WWW.NEOPOST.CO.UK - 0845 8800000 ,£515.00,Top up Reigate and Bury St Edmunds Franking Machine - December 2013.
AHVLA,09/01/2014,FRANCOTYP - DARTFORD     ,£524.00,Top up Chelmsford Franking Machine - December 2013.
AHVLA,29/01/2014,WWW.NEOPOST.CO.UK - 0845 8800000 ,"£1,030.00",Top up Truro Franking Machine - December 2013.
AHVLA,15/01/2014,ABBEYCONFERENCE.COM - DUBLIN 8     ,£534.06,One person attending Society for Veterinary Epidemiology and Preventive Medicine Annual Conference in Dublin - 26-28 March 2014
AHVLA,08/01/2014,BIOVET INC - SAINT-HYACINT,£510.24,Four Horseradish Peroxidase Substrate Buffer and four Horseradish Peroxidase Chromogen 
AHVLA,23/01/2014,R W GREEFF - GATESHEAD    ,"£3,033.00",Purchase of specialist plate sealers
AHVLA,08/01/2014,MY JOVE CORPORATION - CAMBRIDGE    ,"£1,890.95",Production and publication costs of a video and manuscript in the Journal of Visualized Experiments.
AHVLA,15/01/2014,ENTERPRISE - 01784 221300 ,£512.92,Car Hire for eighteen days required for travel to and from a laboratory for project work - 6-24 December 2013
AHVLA,31/01/2014,ENTERPRISE - 01784 221300 ,£660.70,Car Hire for twenty eight days required for travel to and from a laboratory for project work - 14 November-12 December 2013.
AHVLA,29/01/2014,ENTERPRISE - 01784 221300 ,£660.70,Car Hire for twenty eight days required for travel to and from a laboratory for project work -14 November-12 December 2013.
VMD,13/01/2014,DeveExpress,£504.81,Upgrade for DXperience IT Software Subscription
JNCC,16/01/2014,Media training Ltd,£504.00,Training fees for one person attending Intermediate Microsoft Excel Training
JNCC,06/01/2014,Amazon,£544.99,Four Garmin eTrex Outdoor Handheld Global Positioning System units for International Bottom Trawl Surveys (IBTS)
JNCC,06/01/2014,ServersCheck,£584.29,Server room Monitoring equipment External temperature probe; power adapter for Sensor Gateway; Base unit and sensor hub.
JNCC,24/12/2013,Highland Statistics Ltd.,£630.00,Training fees for one person to attend a Statistics Course 'Introduction to Markov Chain Monte Carlo (MCMC)' - 20-24 January 2014 
JNCC,10/01/2014,ZSL London (Zoological Society of London),£640.00,Training fees for four people for two days attending international Wildlife Trafficking Symposium on 11-12 February 2014
JNCC,22/01/2014,Lastminute.com,£785.60,Two flight tickets from Denmark to Aberdeen needed at short notice because a survey was cancelled due to bad weather.
