Scheme Ref Number,Ward,Decision made by,Date of decision,Detail & Cost,Outcome/Ward priority met
AC-15-01,Acomb,Cllr Keith Myers and Cllr Stuart Barnes,14/01/2016,A grant of £500 to develop the apiary within Carr Allotments.," Ward priority: Increasing facilities and opportunities for young people ;  A cleaner, greener ward ;  Increasing community involvement Outcome: educational opportunity for local school pupils, improved pollination and biodeivesity in the vicinity."
AC-15-02,Acomb,Cllr Keith Myers and Cllr Stuart Barnes,14/01/2016,Installation of 2 ward notice boards - junction of Boroughbridge Road and Ouse Acres and Junction of Boroughbridge Road and Low Poppleton Lane. Cost including installation: £1756.00,Ward priority: Increasing community involvement. Outcome: enhanced  means of communication to local residents to make them aware of local issues
AC-15-02a,Acomb,"Cllr Myers, Cllr Barnes",22/03/2016,Delivery of 2x ward notice boards from the manufacturer to Hazel Court - £17.50,Ward priority: Increasing community involvement. Outcome: enhanced  means of communication to local residents to make them aware of local issues
AC-15-04 ,Acomb,Cllr Keith Myers and Cllr Stuart Barnes,22/01/2016,"Grit bin for Iver Close,Cost £355","Ward priority:
• Reducing social isolation
• Improving health and wellbeing 
• Increasing community involvement Outcome: there are no grit bins in the vicinity and installation of one will provide residents with a grit supply to sprinkle on pavements in the vicinity to make them passable and reduce risk of falls and injuries in winter months. "
AC-15-06,Acomb,Cllr Keith Myers and Cllr Stuart Barnes,21/01/2016,Repair of the lock on the ward notice board on Front Street,Ward priority: Increasing community involvement. Outcome: enhanced  means of communication to local residents to make them aware of local issues
AC-15-07 ,Acomb,Cllr Keith Myers and Cllr Stuart Barnes,24/02/2016,A grant of £1000  to pay for training materials and pitch maintenance equipment. Additional £200 has been awarded to establish a fund to help with membership fees for young people from families facing financial hardship. Total: £1200," Ward priority: Increasing facilities and opportunities for young people ;  Increasing community involvement; Improving health and wellbeing Outcome: enhanced sport activity provision,  improved sense of community, healthy lifestyle, physical fitness and social inclusion for local young people. "
CL-15-01,Clifton,Cllr Danny Myers and Cllr Margaret Wells ,26/01/2016,Grant to Clifton Elderberries £200 - To pay for the hire of coaches. ,"Outcome: Combats loneliness and social isolation, by providing trips across York & North Yorkshire for Clifton senior residents."
CL-15-01,Clifton,Cllr Danny Myers and Cllr Margaret Wells ,18/02/2016,Grant to Clifton Elderberries £200 - To pay for the hire of coaches. ,"Outcome: Combats loneliness and social isolation, by providing trips across York & North Yorkshire for Clifton senior residents."
CL-15-03,Clifton,Cllr Danny Myers and Cllr Margaret Wells ,18/02/2016,"The grapevine is a magazine produced by St Luke's Church. This magazine contains information from local councillors, RA, Police, Primary schools and York City Football Club. - £885",Outcome: The magazine is to keep local residents aware of local issues and events. 
CL-15-04,Clifton,Cllr Danny Myers and Cllr Margaret Wells ,18/02/2016,"Summer holiday play scheme 'Activity week' that is ran in August over 4 mornings. Crafts, playing games, and at the end of each morning a short play is performed. - £300",Many families in the community can't afford to go away on holiday. The play scheme is free and comes towards the end of the summer break when the children are bored and parents need a welcome break
CL-15-05,Clifton,Cllr Danny Myers and Cllr Margaret Wells ,18/02/2016,"To install 3 community boards in St Luke's church hall. The hall is used by many different groups. The notice boards will display contact details of child line, citizens advice and alcoholics anonymous - £291.42",The notice boards will be available for all community groups to use to display information and advertise events.
