15 DFID Bilateral Aid by Income Group 2007/08 - 2011/12  ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,2007/08,,,2008/09,,,2009/10,,,2010/11,,,2011/12,,,
 ,,£ m,,,£ m,,,£ m,,,£ m,,,£ m,,,
,,,,,,,,,,,,,,,,,
Total Bilateral Aid,,2 958 ,,,3 284 ,,,3 958 ,,,4 248 ,,,4 204 ,,,
,,,,,,,,,,,,,,,,,
of which:  Country Specific,,2 182 ,,,2 572 ,,,2 602 ,,,2 830 ,,,2 967 ,,,
,,,,,,,,,,,,,,,,,
Total Bilateral Aid,,2 527 ,,,2 835 ,,,3 524 ,,,3 897 ,,,3 850 ,,,
  excluding Humanitarian Assistance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
of which:  Total Country Specific,,1 887 ,,,2 191 ,,,2 204 ,,,2 529 ,,,2 625 ,,,
  excluding Humanitarian Assistance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country Specific DFID Bilateral Expenditure : All Recipient Countries,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,2007/08,,,2008/09,,,2009/10,,,2010/11,,,2011/12,,,
,,£ m,%,,£ m,%,,£ m,%,,£ m,%,,£ m,%,,
,,,,,,,,,,,,,,,,,
Total : Country Specific Aid,,2 182 ,,,2 572 ,,,2 602 ,,,2 836 ,2835585 918 ,,2 967 ,,,
,,,,,,,,,,,,,,,,,
Low Income Countries,, 1 639 ,75,,1 973 ,77,, 2 052 ,79,, 2 310 ,82,, 1 976 ,67,,
Lower Middle Income Countries,,  468 ,21,, 495 ,19,,  472 ,18,,  444 ,16,,  861 ,29,,
Upper Middle Income Countries,,  73 ,3,, 100 ,4,,  70 ,3,,  72 ,3,,  126 ,4,,
High Income Countries,,  1 ,0,, 1 ,0,,  6 ,0,,  3 ,0,,  5 ,0,,
,,,,,,,,,,,,,,,,,
Least Developed Countries - LDCs,, 1 226 ,56,,1 416 ,55,, 1 510 ,58,, 1 673 ,59,, 1 596 ,54,,
,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country Specific DFID Bilateral Expenditure: All Recipient Countries - Excluding Humanitarian Assistance ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,2007/08,,,2008/09,,,2009/10,,,2010/11,,,2011/12,,,
,,£ m,%,,£ m,%,,£ m,%,,£ m,%,,£ m,%,,
,,,,,,,,,,,,,,,,,
Total : Country Specific Aid2,,1 887 ,,,2 191 ,,,2 204 ,,,2 534 ,,,2 625 ,,,
,,, ,,, ,,, ,,,,,,,,
Low Income Countries,, 1 387 ,73,,1 650 ,75,, 1 706 ,77,, 2 020 ,80,, 1 709 ,65,,
Lower Middle Income Countries,,  426 ,23,, 439 ,20,,  421 ,19,,  435 ,17,,  791 ,30,,
Upper Middle Income Countries,,  73 ,4,, 99 ,5,,  69 ,3,,  72 ,3,,  120 ,5,,
High Income Countries,,  1 ,0,, 1 ,0,,  6 ,0,,  2 ,0,,  3 ,0,,
,,,,,,,,,,,,,,,,,
Least Developed Countries - LDCs,, 1 007 ,53,,1 144 ,52,, 1 230 ,56,, 1 473 ,58,, 1 449 ,56,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1.   Income groups are classified using 2010 GNI per capita thresholds, see glossary for details. This table covers only bilateral aid which can be attributed to individual countries.  The income group and LDC status of individual countries can be seen in Annex 1.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2.  Income categories may not sum to totals where an income group cannot be allocated to a benefitting country.,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
