"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing","NLD","NLHL","50000","55000","Operational Manager","2.00","Operational Delivery"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing","NLD","NLLM","20000","25000","Operations Support Officer","1.00","Operational Delivery"
"Department for Culture, Media and Sport","National Lottery Commission","Licensing","NLD","NLB1","30000","35000","Operations Support Officer","1.00","Operational Delivery"
"Department for Culture, Media and Sport","National Lottery Commission","Compliance","NLCEO","NLC2","50000","55000","Operational Manager","1.00","Operational Delivery"
"Department for Culture, Media and Sport","National Lottery Commission","Compliance","NLCEO","NLB1","30000","35000","Operations Support Officer","2.00","Operational Delivery"
"Department for Culture, Media and Sport","National Lottery Commission","Compliance","NLCEO","NLCA","25000","30000","Operations Support Officer","1.00","Operational Delivery"
"Department for Culture, Media and Sport","National Lottery Commission","Policy","NLD","NLB2","40000","50000","Analyst","1.00","Policy"
"Department for Culture, Media and Sport","National Lottery Commission","Policy","NLD","NLCPM","30000","35000","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","National Lottery Commission","Policy","NLD","NLB2","40000","50000","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","National Lottery Commission","Executive","NLCEO","NLA3","20000","25000","Executive Assistant","1.00","Other"
