BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER  ID,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,G410,REPAIRS AND MAINTENANCE,16/03/2015,261860,325301.66,NEWARK AND SHERWOOD HOMES LTD,100366,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,G410,CONTRACTUAL SERVICES,16/03/2015,261860,311165.02,NEWARK AND SHERWOOD HOMES LTD,100366,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,20/03/2015,262152,261370.48,ROBERT WOODHEAD LTD,100461,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261436,197548.39,R G CARTER BUILDING LTD,100440,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261438,129528,CAMPBELL & CO DESIGN CONSULTANTS LTD,101179,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262628,98823.81,MATTHEWS & TANNERT LTD,101312,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,13/03/2015,261437,88189.42,ROBERT WOODHEAD LTD,100461,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,27/03/2015,262494,81821.66,MATTHEWS & TANNERT LTD,101312,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,BIC CONTRACT,27/03/2015,262571,78057.43,NOTTINGHAMSHIRE COUNTY COUNCIL,100393,,,
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,BIC CONTRACT,27/03/2015,262572,76208,NOTTINGHAMSHIRE COUNTY COUNCIL,100393,,,
