FIN.Posting Date,Merchant Name,FIN.Transaction Amount,
02/01/2012,MOJ2011/007804 - SPECSAVERS,"1,995.00",
02/01/2012,MOJ2011/007805 - BOOKER LIMITED LINCOLN,662.14,
02/01/2012,MOJ2011/007806 - JEWSON LTD,"1,328.94",
02/01/2012,MOJ2011/007807 - BANNER BUSINESS SUPPL,583.13,
02/01/2012,MOJ2011/007808 - EUROSTAR INTERNET,563.00,
02/01/2012,MOJ2011/007809 - BANNER BUSINESS SUPPL,816.48,
04/01/2012,MOJ2011/007810 - TRANSK9 KENNEL&DOG,548.50,
04/01/2012,MOJ2011/007811 - WWW.TSSI.CO.UK,946.48,
04/01/2012,MOJ2011/007812 - AFE SERVICELINE,521.36,
04/01/2012,MOJ2011/007813 - CITY COLLEGE PLYMO,960.00,
04/01/2012,MOJ2011/007814 - CURRYS ONLINE,904.97,
04/01/2012,MOJ2011/007815 - SPIRIT DATA CAPTURE LT,988.44,
04/01/2012,MOJ2011/007816 - SPIRIT DATA CAPTURE LT,969.90,
04/01/2012,MOJ2011/007817 - PREMIER TRAINING,"1,220.00",
04/01/2012,MOJ2011/007818 - SWADLINCOTE DIESEL,"1,648.20",
04/01/2012,MOJ2011/007819 - ARGOS LTD,559.00,
04/01/2012,MOJ2011/007820 - CITY ELECTRICAL FA,"1,921.64",
04/01/2012,MOJ2011/007821 - PLUMB CENTER,515.09,
04/01/2012,MOJ2011/007822 - W H HIGGINS & SONS,650.77,
04/01/2012,MOJ2011/007823 - OPEN UNIVERSITY MOTO,500.00,
04/01/2012,MOJ2011/007824 - G.G. COMPACTORS LTD,"4,590.00",
04/01/2012,MOJ2011/007825 - WYNNSTAY STORES (MVZ),812.80,
04/01/2012,MOJ2011/007826 - DEENSIDE LTD,684.00,
04/01/2012,MOJ2011/007827 - JEWSON LTD,503.44,
04/01/2012,MOJ2011/007828 - NATIONAL SHOWER SP,543.67,
04/01/2012,MOJ2011/007829 - BANNER BUSINESS SUPPL,683.40,
04/01/2012,MOJ2011/007830 - BANNER BUSINESS SUPPL,816.48,
04/01/2012,MOJ2011/007831 - BANNER BUSINESS SUPPL,523.72,
05/01/2012,MOJ2011/007832 - K L S,622.95,
05/01/2012,MOJ2011/007833 - Amazon  Mktplce EU-UK,702.51,
05/01/2012,MOJ2011/007834 - GRAFITYP UK LTD,528.00,
05/01/2012,MOJ2011/007835 - COMET GROUP PLC,"1,828.46",
05/01/2012,MOJ2011/007836 - A B ELECTRICAL WHOLESA,894.28,
05/01/2012,MOJ2011/007837 - JBM ELEC DISTRIBUTORS,934.92,
05/01/2012,MOJ2011/007838 - JBM ELEC DISTRIBUTORS,971.52,
05/01/2012,MOJ2011/007839 - ANTHONY AXFORD LTD,851.27,
05/01/2012,MOJ2011/007840 - GREENGATES BUILDERS ME,863.88,
05/01/2012,MOJ2011/007841 - JEWSON LTD,972.00,
05/01/2012,MOJ2011/007842 - E OF ENGLAND AMB,610.80,
05/01/2012,MOJ2011/007843 - WWW.NEOPOST.CO.UK,927.00,
05/01/2012,MOJ2011/007844 - PARTS CENTRE,"1,558.20",
05/01/2012,MOJ2011/007845 - KENBERNE SERVICE (DONC,900.00,
05/01/2012,MOJ2011/007846 - SPIRIT DATA CAPTURE LT,988.44,
05/01/2012,MOJ2011/007847 - PEA SOUP LIMITED,658.80,
05/01/2012,MOJ2011/007848 - FRANCOTYP,984.20,
05/01/2012,MOJ2011/007849 - SCREWFIX DIRECT,629.13,
05/01/2012,MOJ2011/007850 - ROYCE ROBERTS SKODA LT,562.28,
05/01/2012,MOJ2011/007851 - JOHNSTONES DEC CENTRE,823.97,
05/01/2012,MOJ2011/007852 - PARTS CENTRE,"2,056.80",
05/01/2012,MOJ2011/007853 - ESPA PUMPS UK LTD,598.80,
05/01/2012,MOJ2011/007854 - PREMIER CARPET &,947.41,
05/01/2012,MOJ2011/007855 - ANSON CONCISE LTD,"2,323.80",
05/01/2012,MOJ2011/007856 - NEWARK STEEL LTD,948.60,
05/01/2012,MOJ2011/007857 - TRAVIS PERKINS,575.23,
05/01/2012,MOJ2011/007858 - CWL-T     117984229595,528.31,
05/01/2012,MOJ2011/007859 - BANNER BUSINESS SUPPL,904.25,
05/01/2012,MOJ2011/007860 - BANNER BUSINESS SUPPL,544.20,
06/01/2012,MOJ2011/007861 - SOLO BLINDS,935.04,
06/01/2012,MOJ2011/007862 - EXPERTELECT,960.00,
06/01/2012,MOJ2011/007863 - AVENUE TOOLS LTD,508.78,
06/01/2012,MOJ2011/007864 - OPEN UNIVERSITY MOTO,550.00,
06/01/2012,MOJ2011/007865 - FOCUS TRAINING LTD,576.00,
06/01/2012,MOJ2011/007866 - BOOKER LIMITED WOLVERH,800.00,
06/01/2012,MOJ2011/007867 - BOOKER LIMITED WOLVERH,900.00,
06/01/2012,MOJ2011/007868 - TRAX UK LIMITED,960.84,
06/01/2012,MOJ2011/007869 - WYEVALE NURSERIES,588.00,
06/01/2012,MOJ2011/007870 - ECOFREAK,680.00,
06/01/2012,MOJ2011/007871 - GODDARD VETERINARY GRO,601.71,
06/01/2012,MOJ2011/007872 - THE FINANCIAL TRAINING,"1,000.00",
06/01/2012,MOJ2011/007873 - TRAVIS PERKINS,547.20,
06/01/2012,MOJ2011/007874 - TRAVIS PERKINS,901.21,
06/01/2012,MOJ2011/007875 - BSS PTS,840.00,
06/01/2012,MOJ2011/007876 - IMPERIAL COMMERCIA,"1,000.00",
06/01/2012,MOJ2011/007877 - IMPERIAL COMMERCIA,994.53,
06/01/2012,MOJ2011/007878 - RAJAPACK LTD,947.16,
06/01/2012,MOJ2011/007879 - PTS DERBY 3,651.38,
06/01/2012,MOJ2011/007880 - WICKES BUILDING,"4,499.00",
06/01/2012,MOJ2011/007881 - CWL-T     118040929595,542.33,
06/01/2012,MOJ2011/007882 - CWL-T     118081729595,510.51,
06/01/2012,MOJ2011/007883 - BANNER BUSINESS SUPPL,741.76,
06/01/2012,MOJ2011/007884 - GREENHAM TRADING LTD,925.92,
06/01/2012,MOJ2011/007885 - BANNER BUSINESS SUPPL,792.06,
06/01/2012,MOJ2011/007886 - CWL-T     118015829595,590.21,
06/01/2012,MOJ2011/007887 - BANNER BUSINESS SUPPL,"1,008.57",
06/01/2012,MOJ2011/007888 - BANNER BUSINESS SUPPL,588.79,
06/01/2012,MOJ2011/007889 - BANNER BUSINESS SUPPL,544.32,
06/01/2012,MOJ2011/007890 - CWL-T     118091729595,613.60,
06/01/2012,MOJ2011/007891 - BANNER BUSINESS SUPPL,854.52,
06/01/2012,MOJ2011/007892 - BANNER BUSINESS SUPPL,"1,335.91",
09/01/2012,MOJ2011/007893 - ARGOS RETAIL GROUP,601.75,
09/01/2012,MOJ2011/007894 - ANDREWS SYKES HIRE LTD,"1,083.60",
09/01/2012,MOJ2011/007895 - PETER RIDLEY WASTE SYS,660.00,
09/01/2012,MOJ2011/007896 - JBM ELEC DISTRIBUTORS,971.52,
09/01/2012,MOJ2011/007897 - JBM ELEC DISTRIBUTORS,-971.52,
09/01/2012,MOJ2011/007898 - TESCO DIRECT,547.22,
09/01/2012,MOJ2011/007899 - BURNLEY COLLEGE,900.00,
09/01/2012,MOJ2011/007900 - ALISTAIR BROMHEAD LTD,714.00,
09/01/2012,MOJ2011/007901 - MELPASS LTD,527.72,
09/01/2012,MOJ2011/007902 - GHL LIFTRUCKS LTD,555.21,
09/01/2012,MOJ2011/007903 - FITECH UK,716.50,
09/01/2012,MOJ2011/007904 - Amazon EU,939.66,
09/01/2012,MOJ2011/007905 - FORD & SLATER,969.89,
09/01/2012,MOJ2011/007906 - KINGS CROSS CONTRACTS,"1,639.51",
09/01/2012,MOJ2011/007907 - JEWSON LTD,565.20,
09/01/2012,MOJ2011/007908 - WILSON ACCESS HIRE LTD,"3,871.15",
09/01/2012,MOJ2011/007909 - WWW.NUAIRE.CO.UK,973.44,
09/01/2012,MOJ2011/007910 - THE FINANCIAL TRAINING,530.00,
09/01/2012,MOJ2011/007911 - ARBOR TIMBER & BUILDER,"4,022.40",
09/01/2012,MOJ2011/007912 - M B SERVICES (NE) LTD,894.00,
09/01/2012,MOJ2011/007913 - WILTS WHOLESALE EL,647.00,
09/01/2012,MOJ2011/007914 - WILTS WHOLESALE EL,556.20,
09/01/2012,MOJ2011/007915 - WILTS WHOLESALE EL,651.26,
09/01/2012,MOJ2011/007916 - BRITISH PSYCHO SOC,516.00,
09/01/2012,MOJ2011/007917 - BRITISH PSYCHO SOC,720.00,
09/01/2012,MOJ2011/007918 - BRITISH PSYCHO SOC,720.00,
09/01/2012,MOJ2011/007919 - BRENNTAG INORGANIC CHE,594.00,
09/01/2012,MOJ2011/007920 - EDMUNDSON ELECTRICAL,"2,160.00",
09/01/2012,MOJ2011/007921 - WICKES BUILDING,"2,499.00",
09/01/2012,MOJ2011/007922 - CRATEMATE,665.79,
09/01/2012,MOJ2011/007923 - GREENHAM TRADING LTD,733.20,
09/01/2012,MOJ2011/007924 - BANNER BUSINESS SUPPL,510.35,
09/01/2012,MOJ2011/007925 - JANAKENSHOP.CO.UK,646.02,
09/01/2012,MOJ2011/007926 - BANNER BUSINESS SUPPL,587.54,
09/01/2012,MOJ2011/007927 - BANNER BUSINESS SUPPL,"1,898.44",
09/01/2012,MOJ2011/007928 - BANNER BUSINESS SUPPL,820.08,
09/01/2012,MOJ2011/007929 - BANNER BUSINESS SUPPL,704.80,
09/01/2012,MOJ2011/007930 - MOREFROMGROUP.CO.UK,622.72,
10/01/2012,MOJ2011/007931 - COMET,609.98,
10/01/2012,MOJ2011/007932 - JLA,569.42,
10/01/2012,MOJ2011/007933 - HILLARYS BLINDS LTD,750.00,
10/01/2012,MOJ2011/007934 - WP-RUBBER STAMPS ETC,560.64,
10/01/2012,MOJ2011/007935 - WP-RUBBER STAMPS ETC,855.60,
10/01/2012,MOJ2011/007936 - GA NICHOLAS,"2,914.15",
10/01/2012,MOJ2011/007937 - ARGOS B2B ONLINE,537.94,
10/01/2012,MOJ2011/007938 - ARGOS B2B ONLINE,537.94,
10/01/2012,MOJ2011/007939 - 3663,731.34,
10/01/2012,MOJ2011/007940 - ACE FLT DRIVER TRAININ,900.00,
10/01/2012,MOJ2011/007941 - A & T INDUSTRIAL SUPPL,"2,998.80",
10/01/2012,MOJ2011/007942 - WWW.LOCKHARTCATERING.C,850.51,
10/01/2012,MOJ2011/007943 - WWW.LOCKHARTCATERING.C,873.08,
10/01/2012,MOJ2011/007944 - DEXION STORAGE CEN,"1,093.44",
10/01/2012,MOJ2011/007945 - JOHNSTONES DEC CENTRE,931.44,
10/01/2012,MOJ2011/007946 - PLUMB CENTER,609.86,
10/01/2012,MOJ2011/007947 - IBS LTD,516.88,
10/01/2012,MOJ2011/007948 - JACKSON BUILDING CTRS,563.69,
10/01/2012,MOJ2011/007949 - PTS LEICESTER 3,"1,223.10",
10/01/2012,MOJ2011/007950 - SCREWFIX DIRECT,"1,769.97",
10/01/2012,MOJ2011/007951 - WICKES BUILDING,"2,499.00",
10/01/2012,MOJ2011/007952 - BANNER BUSINESS SUPPL,536.22,
10/01/2012,MOJ2011/007953 - BANNER BUSINESS SUPPL,534.30,
10/01/2012,MOJ2011/007954 - BANNER BUSINESS SUPPL,530.47,
10/01/2012,MOJ2011/007955 - CRATEMATE,"1,000.00",
10/01/2012,MOJ2011/007956 - BANNER BUSINESS SUPPL,671.76,
10/01/2012,MOJ2011/007957 - BANNER BUSINESS SUPPL,816.48,
10/01/2012,MOJ2011/007958 - BANNER BUSINESS SUPPL,558.53,
10/01/2012,MOJ2011/007959 - BANNER BUSINESS SUPPL,"1,774.80",
10/01/2012,MOJ2011/007960 - BANNER BUSINESS SUPPL,881.93,
11/01/2012,MOJ2011/007961 - KEYLINE,558.00,
11/01/2012,MOJ2011/007962 - SECURIT WORLD LTD,568.20,
11/01/2012,MOJ2011/007963 - BJ LIGHTING SUPPLIES L,"1,470.96",
11/01/2012,MOJ2011/007964 - DENNYS,659.74,
11/01/2012,MOJ2011/007965 - RS COMPONENTS LTD,609.25,
11/01/2012,MOJ2011/007966 - BARTRAM MOWERS LTD,816.52,
11/01/2012,MOJ2011/007967 - TSG LTD,610.80,
11/01/2012,MOJ2011/007968 - AQUAID FRANCHISING LTD,772.20,
11/01/2012,MOJ2011/007969 - PREMIER TRAINING,672.00,
11/01/2012,MOJ2011/007970 - ROBERTS GORDON EUR,549.00,
11/01/2012,MOJ2011/007971 - AUTOGLASS,525.20,
11/01/2012,MOJ2011/007972 - ARGOS DIRECT,"1,208.89",
11/01/2012,MOJ2011/007973 - CITY ELECTRICAL FA,"3,567.07",
11/01/2012,MOJ2011/007974 - AMARI PLASTICS PLC,821.28,
11/01/2012,MOJ2011/007975 - PLUMB CENTER,"1,211.33",
11/01/2012,MOJ2011/007976 - PRESTON PLYWOOD,"1,199.40",
11/01/2012,MOJ2011/007977 - TMPSON LOCKSMITH,"2,862.96",
11/01/2012,MOJ2011/007978 - CITY & FINANCIAL LTD,516.00,
11/01/2012,MOJ2011/007979 - RED CAPE LTD,"2,064.95",
11/01/2012,MOJ2011/007980 - BSS STOKE,521.75,
11/01/2012,MOJ2011/007981 - CPD-ASTON,999.27,
11/01/2012,MOJ2011/007982 - CVR,612.00,
11/01/2012,MOJ2011/007983 - FOX ELECTRICAL SUPPLIE,"1,406.35",
11/01/2012,MOJ2011/007984 - SCREWFIX DIRECT,597.98,
11/01/2012,MOJ2011/007985 - BANNER BUSINESS SUPPL,573.59,
11/01/2012,MOJ2011/007986 - GREENHAM TRADING LTD,517.00,
11/01/2012,MOJ2011/007987 - GREENHAM TRADING LTD,"1,199.94",
11/01/2012,MOJ2011/007988 - ALARM THE NATIONAL,840.00,
