Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Work & Pensions Corporate & Shared Services,Ministerial Department,Department for Work & Pensions,"3,793","3,315.72","3,357","3,124.21","3,868","3,692.71","1,597","1,541.40",199,194.5,17,16.6,"12,831","11,885.14",0,0,0,0,137,137,0,0,137,137,"12,968","12,022.14","£366,079,545","£6,388,659","£9,336,371","£2,305,222","£71,282,129","£30,792,107","£486,184,033","£27,614,438","£10,596,242","£38,210,680","£524,394,713",Payroll staff numbers reflect the position on the last day of the month
Child Maintenance & Enforcement Commission,Crown Non Departmental Public Body,Department for Work & Pensions,"5,861","5,035.83","2,460","2,216.65",645,614.55,143,141.65,23,23,215,214.34,"9,347","8,246.02",0,0,0,0,2,2,15,15,17,17,"9,364","8,263.02","£175,177,136","£3,137,644","£3,991,194","£4,589,027","£31,767,125","£12,006,946","£230,669,072","£558,229","£5,937,000","£6,495,229","£237,164,301","Headcount and FTE information for ""Other"" represents those individuals who are on separate Commission Executive terms and conditions and are paid against a broad band pay structure."
Health & Safety Executive,Crown Non Departmental Public Body,Department for Work & Pensions,564,496.6,529,491.3,"1,776","1,682.40",682,654,44,43.3,0,0,"3,595","3,367.60",26,25.79,11,8.11,20,18,0,0,57,51.9,"3,652","3,419.50","£135,307,405","£1,534,059","£2,463,517","£321,741","£27,355,128","£11,574,882","£178,556,732","£5,098,446","£171,087","£5,269,533","£183,826,265",
Jobcentre Plus,Executive Agency,Department for Work & Pensions,"42,019","36,692.98","33,437","30,089.90","5,833","5,601.03",522,513.22,39,38.57,3,2.81,"81,853","72,938.51",0,0,0,0,1,1,0,0,1,1,"81,854","72,939.51","£1,666,439,114","£18,555,770","£38,221,205","£7,099,609","£288,952,071","£111,876,897","£2,131,144,666",£0,"£969,322","£969,322","£2,132,113,988",Payroll staff numbers reflect the position on the last day of the month
Pensions & Disability Carers Service,Executive Agency,Department for Work & Pensions,"8,832","7,765.27","4,721","4,212.09","1,017",974.06,171,167.87,19,18.8,1,1,"14,761","13,139.09",0,0,0,0,0,0,0,0,0,0,"14,761","13,139.09","£283,745,420","£2,685,356","£6,349,828","£10,310,031","£49,987,927","£19,539,756","£372,618,318",0,"£182,026","£182,026","£372,800,344",Payroll staff numbers reflect the position on the last day of the month
Independent Living Fund,Executive Non-Departmental Public Body,Department for Work & Pensions,104,89.32,35,31.58,19,17.23,7,6.73,1,1,0,0,166,145.86,0,0,1,1,0,0,0,0,1,1,167,146.86,"£3,710,079","£110,219","£66,300","£1,810","£618,625","£260,649","£4,767,682","£85,044",£0,"£85,044","£4,852,726",
National Employment Savings Trust Corporation,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,185,178.89,185,178.89,1,0.96,32,29.23,0,0,23,17.2,56,47.39,241,226.28,"£10,498,554","£211,411","£196,275","£1,676","£853,219","£1,262,245","£13,023,380","£2,206,918","£2,142,658","£4,349,576","£17,372,956","The employee staff number includes 29 headcount who are secondees from government working at NEST full time, for which we pay all employment costs but for whom we do not have employment liability. "
Remploy Ltd,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,"5,125","4,937.50","5,125","4,937.50",153,152,1,1,0,0,1,1,155,154,"5,280","5,091.50","£91,912,829","£647,602","£2,244,152","£724,821","£2,484,184","£10,611,111","£108,624,699","£527,310","£1,445","£528,755","£109,153,454",Remploy do not have civil service grades. Non-consolidated performance payments relate to a former Weekly Paid Employee's Bonus Scheme for Remploy's factory employees and no longer relate to performance.  Remploy is in the process of gradually consolidating these payments into basic pay
The Pensions Advisory Service,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,38,36.5,38,36.5,0,0,0,0,0,0,0,0,0,0,38,38,"£1,611,340",£0,"£51,950",£0,"£304,029","£138,781","£2,327,105",£336,£0,£336,"£2,327,441",Includes a one-off payment to The Pensions Trust
The Pensions Regulator,Executive Non-Departmental Public Body,Department for Work & Pensions,.,.,.,.,.,.,.,.,.,.,273,253.6,273,253.6,17,16,0,0,11,9.1,0,0,28,25.1,301,278.7,"£16,213,260",£0,£0,£0,£0,£0,"£16,213,260","£4,978,523",£0,"£4,978,523","£21,191,783",TPR and ECR as per Accounts
