Supplier,Amount,Payment Date
1ST CONTAINERS (UK) LTD,3450,26/09/2013
24 HR CENTRAL CAR HIRE LTD,1384.69,05/09/2013
24 HR CENTRAL CAR HIRE LTD,1326.8,05/09/2013
39 ESSEX STREET LLP PFA,1200,12/09/2013
4 CHILDREN,8303,09/09/2013
A MADCAP COALITION,800,25/09/2013
ABACUS CARE GREENWICH,840,20/09/2013
ABACUS CARE GREENWICH,840,20/09/2013
ABBEY CARE CENTRE LIMITED,2315.19,30/09/2013
ABBEY DISTRIBUTION LIMITED,4528.68,16/09/2013
ABBEY HEALTHCARE T/A ELMCROFT CARE HOME LTD,2571.43,26/09/2013
ACCESS MANAGEMENT SOLUTIONS LTD,2506.94,19/09/2013
ACTION DYSLEXIA LTD,1123,25/09/2013
ACTION ON ADDICTION,804.24,13/09/2013
ACTION ON ADDICTION,616.8,13/09/2013
ACTION SHUTTERS LTD,1674,19/09/2013
ACUMENSION,679.68,11/09/2013
ACUMENSION,679.68,11/09/2013
ADECCO UK LTD,1509.89,05/09/2013
ADECCO UK LTD,1450.91,06/09/2013
ADECCO UK LTD,1085.23,25/09/2013
ADEM LIMITED,1713.6,10/09/2013
ADFAM NATIONAL,14000,05/09/2013
ADIEMUS CARE LTD T/A ROSE MARTHA COURT,1580,20/09/2013
ADONIS DESIGN LTD,518.75,03/09/2013
ADONIS DESIGN LTD,525,10/09/2013
ADT FIRE AND SECURITY PLC,8760,17/09/2013
ADT FIRE AND SECURITY PLC,31665.12,24/09/2013
AGE EXCHANGE THEATRE TRUST LT,1089.44,06/09/2013
AGE UK BROMLEY & GREENWICH,21222.1,02/09/2013
AGE UK BROMLEY & GREENWICH,21222.1,02/09/2013
AGE UK BROMLEY & GREENWICH,15845.8,10/09/2013
AGE UK BROMLEY & GREENWICH,16054.17,12/09/2013
AIR SURVEYS LIMITED,1671,04/09/2013
AIR SURVEYS LIMITED,783,25/09/2013
ALAN IVES ESTATES,1017.69,06/09/2013
ALCHEMY FIREWORKS LTD,21633,23/09/2013
ALCHEMY FIREWORKS LTD,21633,30/09/2013
ALCIUM SOFTWARE LIMITED,2796,06/09/2013
ALLIANCE CARE & EDUCATION LTD,12342.85,24/09/2013
ALLPAY NET LIMITED,12054.17,23/09/2013
ALPHA CARE CASTLEMAINE LTD,1955.7,26/09/2013
AMBER CAR SERVICES LTD,509.16,10/09/2013
AMBER CAR SERVICES LTD,573.48,10/09/2013
AMBER CAR SERVICES LTD,509.76,10/09/2013
AMBER CAR SERVICES LTD,509.76,10/09/2013
AMBER CAR SERVICES LTD,509.76,10/09/2013
AMBER CAR SERVICES LTD,527.04,10/09/2013
AMBER CAR SERVICES LTD,637.2,10/09/2013
AMBER CAR SERVICES LTD,653.52,24/09/2013
AMBER CAR SERVICES LTD,1004.58,25/09/2013
AMBER LANGIS LIMITED,1080,30/09/2013
ANAHITA REHABILITATION CENTRE LLP,4207.14,09/09/2013
ANAHITA REHABILITATION CENTRE LLP,4207.14,09/09/2013
ANAHITA REHABILITATION CENTRE LLP,4207.14,09/09/2013
ANAHITA REHABILITATION CENTRE LLP,4406.43,09/09/2013
ANAHITA REHABILITATION CENTRE LLP,4871.43,09/09/2013
ANAHITA REHABILITATION CENTRE LLP,4207.14,09/09/2013
ANCO UK SECURITY LTD,2290.75,02/09/2013
ANCO UK SECURITY LTD,2495.62,02/09/2013
ANCO UK SECURITY LTD,2709.79,09/09/2013
ANCO UK SECURITY LTD,2558.47,09/09/2013
ANCO UK SECURITY LTD,749.62,18/09/2013
ANN O`CONNOR T/A NEESOM ASSOCIATES,700,11/09/2013
ANSCO ARENA,40411.5,24/09/2013
AON,8588.19,10/09/2013
APEX LIFTS,150149.62,30/09/2013
APOLLO PROPERTY SERVICES GROUP LIMITED,240115.07,02/09/2013
ARCADIA FLOORING LLP,1632,05/09/2013
ARDEN CHAMBERS LTD,720,12/09/2013
ARDEN CHAMBERS LTD,540,19/09/2013
ARDEN CHAMBERS LTD,720,19/09/2013
ARDEN CHAMBERS LTD,540,25/09/2013
ARK HOME HEALTHCARE LIMITED,846.31,05/09/2013
ARK HOME HEALTHCARE LIMITED,800.4,05/09/2013
ARK HOME HEALTHCARE LIMITED,1656.06,05/09/2013
ARK HOME HEALTHCARE LIMITED,744.19,05/09/2013
ARK HOME HEALTHCARE LIMITED,893.99,05/09/2013
ARK HOME HEALTHCARE LIMITED,1009.22,05/09/2013
ARK HOME HEALTHCARE LIMITED,998.01,05/09/2013
ARK HOME HEALTHCARE LIMITED,993.63,05/09/2013
ARK HOME HEALTHCARE LIMITED,663.89,05/09/2013
ARK HOME HEALTHCARE LIMITED,771.24,05/09/2013
