"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","1","A","35082","44500","Executive Assistant","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","1","B","28030","35554","Executive Assistant","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","1","D","18947","22810","Secretary","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Social Science Collections","2","SB3","54684","69365","Senior Finance Manager","1.00","Finance"
"Department for Culture, Media and Sport","The British Library","Social Science Collections","2","SB4","43691","55420","Senior Finance Manager","1.00","Finance"
"Department for Culture, Media and Sport","The British Library","Social Science Collections","2","A","35082","44500","Senior Finance Manager","1.00","Finance"
"Department for Culture, Media and Sport","The British Library","Finance","2","C","22507","28549","Finance Officer","6.00","Finance"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","2","D","18947","22810","Finance Support Officer","3.00","Finance"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","2","E","16227","18916","Finance Support Officer","1.00","Finance"
"Department for Culture, Media and Sport","The British Library","Collections","3","A","35082","44500","Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","The British Library","Collections","3","C","22507","28549","Secretary","1.00","Knowledge and Information Management (KIM)"
"Department for Culture, Media and Sport","The British Library","Audiences","5","A","35082","44500","Senior Communications Manager","2.00","Communications"
"Department for Culture, Media and Sport","The British Library","Audiences","5","C","22507","28549","Communications Support Officer","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Operations","9","B","28030","35554","Operations Officer","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Operations","9","C","22507","28549","Operations Officer","2.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Operations","9","D","18947","22810","Operations Support Officer","0.80","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Chief Executive's Office","10","D","18947","22810","Secretary","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","A","35082","44500","Senior Finance Manager","4.00","Finance"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","B","28030","35554","Finance Officer","4.40","Finance"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","C","22507","28549","Finance Officer","4.80","Finance"
"Department for Culture, Media and Sport","The British Library","Financial Operations","11","D","18947","22810","Finance Support Officer","8.40","Finance"
"Department for Culture, Media and Sport","The British Library","Procurement","12","SB4","43691","55420","Senior Procurement Officer","1.00","Procurement"
"Department for Culture, Media and Sport","The British Library","Procurement","12","A","35082","44500","Senior Procurement Officer","4.00","Procurement"
"Department for Culture, Media and Sport","The British Library","Procurement","12","B","28030","35554","Procurement Officer","2.00","Procurement"
"Department for Culture, Media and Sport","The British Library","Procurement","12","C","22507","28549","Procurement Officer","3.00","Procurement"
"Department for Culture, Media and Sport","The British Library","Procurement","12","D","18947","22810","Programme Support Officer","1.00","Procurement"
"Department for Culture, Media and Sport","The British Library","Strategic Partnerships & Licencing","13","SB4","43691","55420","Legal Adviser","2.00","Law"
"Department for Culture, Media and Sport","The British Library","Strategic Partnerships & Licencing","13","A","35082","44500","Legal Adviser","3.80","Law"
"Department for Culture, Media and Sport","The British Library","Strategic Partnerships & Licencing","13","C","22507","28549","Legal Support Officer","1.00","Law"
"Department for Culture, Media and Sport","The British Library","Strategic Partnerships & Licencing","13","D","18947","22810","Secretary","1.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Management Accounting","16","SB4","43691","55420","Senior Finance Manager","3.00","Finance"
"Department for Culture, Media and Sport","The British Library","Management Accounting","16","A","35082","44500","Senior Finance Manager","3.00","Finance"
"Department for Culture, Media and Sport","The British Library","Management Accounting","16","B","28030","35554","Finance Officer","5.80","Finance"
"Department for Culture, Media and Sport","The British Library","Management Accounting","16","C","22507","28549","Finance Officer","3.60","Finance"
