DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,,,,,
,,,,,
QUARTERLY INFORMATION 01 JULY - 30 SEPTEMBER 2011,,,,,
,,,,,
SECRETARY OF STATE,,,,,
,,,,,
,,,,,
GIFTS GIVEN OVER £140 ,,,,,
,,,,,
,,,,,
,,,,,
Date gift given,To  ,Gift,,,
Nil Return,,,,,
,,,,,
,,,,,
GIFTS RECEIVED OVER £140 ,,,,,
,,,,,
,,,,,
Date gift received,From  ,Gift,Outcome,,
Nil Return,,,,,
 ,,,,,
OVERSEAS TRAVEL,,,,,
,,,,,
       ,,,,,
"Rt Hon Andrew Mitchell MP, Secretary of State for International Development",,,,,
Date(s) of trip,Destination  ,Purpose of trip,'Scheduled',,
'No 32 (The Royal) Squadron' or 'other RAF' or 'Chartered' or 'Eurostar'  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only",,,
,,,,,
15/07/2011 - 19/07/2011 ,"Kenya, Nairobi",Horn Food crisis,,,
,,,"£2,189",,
16/08/2011 - 18/08/2011,Kenya & Somalia,To asses the humanitarian situation in Somalia and to meet the Government, scheduled/ ,,
charter ,5,"£18,043",,,
,,,,,
06/09/2011 - 07/09/2011,"France, Paris",Bilateral meeting with French ministers,,,£250
08/09/2011 - 10/09/2011,"Uganda, Kampala",First Country Office visit as Secretary of State.,,,"£4,128"
19/09/2011 - 24/09/2011,,,,,
,,,,,
,"US, New York & Washington",,,,
,UNGA and World Bank Meetings,,,,
,,,"£3,602",,
,,,,,
,,,,,
,,,,,
 ,,,,,
 HOSPITALITY ,,,,,
,,,,,
,,,,,
,,,,,
Date ,Name of organisation ,Type of Hospitality ,,,
05/07/2011,Channel 4,Lunch,,,
07/07/2011,Spectator at Home reception,Drinks ,,,
11/07/2011, Telegraph,Lunch,,,
08/09/2011,British Airways,,,,
Flight upgrade,,,,,
12/09/2011,Her Majesty's Judges,Lunch,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
 ,,,,,
,,,,,
,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS AND INDIVIDUALS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES) ",,,,,
,,,,,
Date of Meeting ,Name of External Organisation,Purpose of Meeting  ,,,
"Rt Hon Andrew Mitchell MP, Secretary of State",,,,,
Jul-11,Trade out of poverty,Trade,,,
Jul-11,Charles Clarke ,Education,,,
Jul-11,The Times,Broad discussion around DFID issues,,,
Aug-11,International Organization for Migration,Multilateral Aid Review,,,
Aug-11,British Council,Update on the British Council's continuing work in development and ODA scoring ,,,
Aug-11,BBC World News ,International development issues,,,
Sep-11,Islamic Relief,Discussion on  PPA agreement,,,
Sep-11,"Save the Children, Christian Aid, CAFOD",Meeting with BOAG heads,,,
Sep-11,British Airways,BA Services and BA's work on international development.,,,
Sep-11,BBC,Afghanistan,,,
Sep-11,Baroness Lynda Chalker,Chair of Africa Matters Limited ,,,
