,Percentage of respondents satisfied with Ease of Contact 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2013,Percentage of respondents satisfied with Ease of Contact 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2012,Percentage of respondents satisfied with Ease of Contact 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2011,Percentage of respondents satisfied with Ease of Contact 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Ease of Contact 12 months to June 2010,Percentage of respondents satisfied with Actions 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2013,Percentage of respondents satisfied with Actions 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2012,Percentage of respondents satisfied with Actions 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2011,Percentage of respondents satisfied with Actions 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Actions 12 months to June 2010,Percentage of respondents satisfied with Follow up 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2013,Percentage of respondents satisfied with Follow up 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2012,Percentage of respondents satisfied with Follow up 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2011,Percentage of respondents satisfied with Follow up 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Follow up 12 months to June 2010,Percentage of respondents satisfied with Treatment 12 months to June 2013,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2013,Percentage of respondents satisfied with Treatment 12 months to June 2012,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2012,Percentage of respondents satisfied with Treatment 12 months to June 2011,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2011,Percentage of respondents satisfied with Treatment 12 months to June 2010,Confidence interval Percentage of respondents satisfied with Treatment 12 months to June 2010
England and Wales,95.64227723,0.143230343,94.90508228,0.151714945,95.12319058,0.146720259,94.42409597,0.153370681,82.33284093,0.207937702,81.16090499,0.208673662,81.292817,0.202283214,80.1025944,0.202938205,76.36460526,0.233835234,74.70519304,0.234590114,74.08324154,0.230337935,72.5447761,0.231316601,93.63544261,0.13379354,93.31088505,0.13413152,93.41712278,0.129633461,92.71466696,0.133351749
Avon and Somerset,96.81222618,0.744020966,96.42057538,0.804430966,95.64162945,0.855613078,92.436073,1.166732672,81.86710026,1.30556586,81.14356364,1.264978963,81.70340683,1.198979448,78.50543582,1.348700092,82.96414604,1.283995979,80.93478278,1.302970487,80.56493604,1.263018982,73.05343218,1.546632985,95.20530886,0.746484902,94.74544476,0.7235057,95.77572801,0.629429067,93.16621991,0.827167882
Bedfordshire,87.70027942,0.912432594,90.17963897,1.429757066,90.92046681,1.559906839,93.84416925,1.30822643,76.45780826,0.28858361,74.31808419,1.657809365,73.9085004,1.696861057,75.82131443,1.763650736,69.77916455,0.269826245,65.75273916,1.853677115,63.71009551,1.911296909,66.1688646,2.004927378,91.96663063,0.088879235,91.38924997,1.033555858,92.8298968,0.97481128,92.83258769,1.022940158
Cambridgeshire,96.16507195,0.917080531,95.14953382,1.116702102,95.16739181,1.120725296,96.50401227,1.058950861,87.29853284,1.311162706,86.43529108,1.386784316,82.1416316,1.591220093,79.829106,1.789837302,82.11665033,1.53651442,81.41708384,1.579519919,79.98802904,1.689890061,76.23919576,1.921606521,95.5240643,0.803141547,95.68489874,0.771946835,93.44026036,1.009863873,94.04743749,1.051000354
Cheshire,95.68961867,1.340682267,95.19718293,1.466106111,94.54129885,1.387646247,94.87510358,1.06618989,85.73337856,1.834743341,82.58275813,1.98451052,85.55117185,1.755093484,91.32453865,1.066588319,81.12707932,2.322910506,75.86209911,2.341140572,81.73746035,1.944194476,84.27527206,1.403677579,96.44003894,0.991370229,94.04028115,1.251751248,94.55128205,1.140039334,95.4896062,0.792832181
City of London,93.04347826,3.964410398,96.56281995,2.648240513,97.22222222,1.97854929,94.69086022,3.937353256,80.65209053,6.935893462,80.18518519,11.23222551,88.84304341,3.232417475,88.94736842,4.1650526,87.12121212,4.137060809,83.51851852,11.09783738,91.26425218,2.947001828,96.91358025,2.110659508,91.90640583,3.460509234,95.61640545,2.260847379,97.95607741,1.464303832,96.09250399,2.510395155
Cleveland,96.61624881,1.059398608,95.70921414,1.20687222,96.42065904,1.10124737,95.3586188,1.243215025,81.60428943,1.681882369,81.7000105,1.625702377,81.55424383,1.677123759,83.12200437,1.603759737,71.2021943,1.958750271,72.34040716,1.899407623,72.85050289,1.948677595,72.46823743,1.948460871,91.21719285,1.259576143,91.73058736,1.158629951,92.67419289,1.127656239,93.91890479,1.02706987
Cumbria,97.82368701,1.15990894,98.31774384,1.19678205,96.6369422,1.721733564,94.61202463,2.029705624,87.39355699,1.901487415,89.77729521,2.48575282,85.17461102,2.813371711,84.90163091,2.359792259,83.17837146,2.159716152,84.93722721,2.987221481,79.01724527,3.531630953,79.62593317,2.69755497,94.6365978,1.285195581,95.61483331,1.676037614,96.08342478,1.399323336,93.24626958,1.64010031
Derbyshire,94.8058674,1.042486357,93.64448367,1.376375298,95.57945498,1.268117692,96.19280564,0.968507167,82.8048766,1.611068639,82.28404722,1.799367567,81.22385494,1.753999571,79.74454314,1.583742707,79.77694687,1.710275661,81.30875301,1.845278268,78.53857929,1.863330939,74.52962975,1.745150682,95.25498383,0.91621041,94.80797447,1.05253388,94.02961543,1.066820603,92.72283997,1.029107863
Devon and Cornwall,94.8289643,1.150039265,95.61804512,1.042692471,96.13820948,1.062817359,95.61199075,1.12522245,81.97925136,1.660363588,82.55704784,1.639075909,85.95295806,1.529306446,81.36899744,1.762868834,78.70179475,1.855044803,79.19172923,1.782515154,80.62650964,1.79422606,77.53551742,2.039058863,93.94318729,1.072798467,93.91652561,1.03713497,95.99686487,0.870336859,94.43475265,1.051197136
