"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","AA","14043","15701","Administrative Support Officer","159.82","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","AO","15386","18657","Administrative Support Officer","108.19","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","CIO","25816","31948","Operational Support","10.00","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","EO","20235","24789","Operational Support","136.30","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","Grade 6","54705","70504","Senior Operational Manager","6.90","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","HEO","25297","30989","Office Manager","12.31","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","HEO","25297","30989","Office Manager","63.78","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","Immigration Inspector","32602","39537","Operational Support","2.10","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","SEO","32602","39537","Office Manager","1.00","Human Resources"
"Home Office","UK Border Agency","Customer Service Improvement","1UKBA22","Unknown","20235","24789","Unknown","30.87","Human Resources"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","AA","14043","15701","Administrative Support Officer","5.00","Operational Delivery"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","AIO","15386","18657","Operational Officer","8.42","Operational Delivery"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","AO","15386","18657","Administrative Support Officer","100.15","Operational Delivery"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","CIO","25816","31948","Operational Support","41.81","Operational Delivery"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","EO","20235","24789","Office Manager","229.41","Operational Delivery"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","Grade 6","54705","70504","Senior Operational Manager","2.00","Operational Delivery"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","Grade 7","44656","57553","Operational Manager","8.00","Operational Delivery"
"Home Office","UK Border Agency","Operational Intelligence","1UKBA13","HEO","25297","30989","Office Manager","21.33","Operational Delivery"
