Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Simon Fraser/Simon MacDonald - PUS,Nil return,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,
Simon Gass - Director General Political,1 July 2015,13 days,Vienna,Iran Nuclear Negotiations ,Economy,,,,,,,"£2,454",
Simon Gass - Director General Political,14 July 2015,2 days,Luxembourg,Meeting of EU Political Directors,Economy,,,,,,,£847,
Simon Gass - Director General Political,16 July 2015,2 days,Washington,Meetings with US officials,Economy/Business,,,,,Economy on outward flight. Business on return as overnight flight and going straight to work the next day. ,,"£2,989",
Simon Gass - Director General Political,10 September 2015,1 Day,"Paris, France",Bilateral consultations with French Political Director,,,,Standard,,,,£184,
Simon Gass - Director General Political,17 - 18 September,2 days,Madrid,Meeting of EU Political Directors,Economy,,,,,,,£772,
Sir David King - Special Representative for Climate Change,6 July 2015,1 day,"Paris, France",Launch of Climate Change Risk Report,,,,Standard,,,33.99,£166,
Sir David King - Special Representative for Climate Change,6 September 2015,7 days,Australia and Papua New Guinea,Climate diplomacy in Australia and attendance at Pacific Island Forum in PNG,Business/Economy,,,,,LHR/Melbourne/POM/LHR Business (flight over ten hours) other sectors Economy,437.63,"£13,540",
Sir David King - Special Representative for Climate Change,26 September 2015,8 days,Brazil/Chile/Colombo,"High level climate diplomacy/renewable energy discussions with officials, NGOs and other stakeholders",Business/Economy,,,,,LHR/Sao Paulo and Bogota/LHR  (flight over ten hours) other sectors Economy,1095.57,"£8,920",
Julian King - Director General Economic and Consular,27 July 2015,1 day,Brussels,Meetings with EU officials,N/A,,N/A,Standard and standard premier,N/A,Eurostar ticket.  Outward journey in Standard Premier class as no tickets available in Standard class.  Return journey in Standard class.,N/A,£84,
Julian King - Director General Economic and Consular,16 September 2015,1 day,Brussels,Meetings with EU officials,N/A,,N/A,Standard,N/A,Standard class return Eurostar ticket.  Metro ticket in Brussels,N/A,£198,
Julian King - Director General Economic and Consular,25 September 2015,1 day,Teddington,Senior Civil Service conference,N/A,,Standard,N/A,N/A,Standard class return rail ticket.  Top-up of work Oyster card.,N/A,£44,
Julian King - Director General Economic and Consular,28 September 2015,2 days,Edinburgh,Presentations at Civil Service Live event; meeting with Socttish businesses,Standard,,N/A,N/A,N/A,Economy class air ticket.,N/A,£304,
Iain MacLeod - Legal Adviser,21 July 2015,2 days,Geneva,"Reception (67th Session of International Law Commission), hosted by PermRep, UKMIs Geneva",Standard,,Standard,N/A,N/A,Economy,N/A,£359,
Iain MacLeod - Legal Adviser,21/09/2015,1 day,Luxembourg,Dinner (farewell to Judge Nicholas Forwood QC) hosted by HMA Luxembourg,Standard,,Standard,N/A,N/A,Economy travel.  Overnight at Residence.,N/A,£380,
