DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,,,,,
,,,,,
QUARTERLY INFORMATION 1 January – 31 March 2014,,,,,
,,,,,
,,,,,
Parliamentary under Secretary of State,,,,,
LYNNE FEATHERSTONE MP,,,,,
,,,,,
,,,,,
,,,,,
GIFTS GIVEN OVER £140,,,,,
,,,,,
,,,,,
,,,,,
Date gift given,To,Gift,Value (over £140),,
"Lynne Featherstone MP, Parliamentary under Secretary of State",,,,,
Nil,,,,,
,,,,,
,,,,,
GIFTS RECEIVED OVER £140,,,,,
,,,,,
,,,,,
Date gift received,From,Gift,Value,Outcome,
"Lynne Featherstone MP, Parliamentary under Secretary of State",,,,,
Nil,,,,,
,,,,,
OVERSEAS TRAVEL[1],,,,,
,,,,,
,,,,,
"Lynne Featherstone MP, Parliamentary under Secretary of State",,,,,
Date(s) of trip,Destination,Purpose of trip,‘Scheduled’,"Number of officials accompanying Minister, where non-scheduled travel is used","Total cost including travel, and accommodation of Minister only"
,,,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Chartered’ or ‘Eurostar’,,
28th -31st January,Burkina Faso,To work with the First Lady to end Female Genital Mutilation,Scheduled,,"£1,098.30"
10th – 13th February,Ghana,Look at DFID’s programmes in Ghana,Scheduled,,"£3,418.95"
10th – 12th March,New York,To attend UN Commission on the status of Woman and Girls,Scheduled,,"£3,010.81"
25th March,Brussels,To meet with key officials from the European Commission to encourage greater focus on girls and women in the EU’s development programme.,Scheduled,,£95.34
,,,,,
27th – 28th March,Sweden,To attend a forum on security and development with a particular focus on freedom from violence,Scheduled,,£341.61
,,,,,
,,,,,
HOSPITALITY[2],,,,,
,,,,,
,,,,,
,,,,,
"Lynne Featherstone MP, Parliamentary under Secretary of State",,,,,
Date,Name of organisation,Type of Hospitality received,,,
Nil,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES[3]",,,,,
,,,,,
Date of Meeting,Name of External Organisation,Purpose of Meeting,,,
"Lynne Featherstone MP, Parliamentary under Secretary of State",,,,,
Jan-14,Motivation,DFID’s approach to disability,,,
,,,,,
Jan-14,Ade Adepitan,To discuss disability in the developing world.,,,
Mar-14,Stop Aids ,To discuss LGBT rights in Uganda,,,
Mar-14,The University Hospital,To discuss issues of maternal health in the developing world,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
[1]* indicates if accompanied by spouse/partner or other family member or friend.,,,,,
,,,,,
"[2]Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined (* indicates if accompanied by spouse/partner or other family member or friend.)",,,,,
,,,,,
,,,,,
[3] ,,,,,
"Does not normally include meetings with Government bodies such as other Government Departments, members of the Royal Household, NDPBs, Non-Ministerial Departments, Agencies, Government reviews and representatives of Parliament, devolved or foreign governments.. Visits, attendance at seminars, conferences, receptions, media, interviews etc would not normally be classed as meetings.",,,,,
