Department Family,Entity,Clearing,Expense Type,Expense Area,Supplier,Doc Nbr,Item Text,Merchant category,Amount
Communities & Local Government,DCLG,02/06/2015,Publications,Finance & Corporate Services,STATIONERY OFFICE BOOK   LONDON SW8,1000004033,TSO Annual list of official publications 2014,CATALOGUE SALES,13.60
Communities & Local Government,DCLG,02/06/2015,Training,Finance & Corporate Services,WWW.SOTON.AC.UK          SOTON.AC.UK,1000004032,trainning course,COLLEGES & UNIVERSITIES,180.00
Communities & Local Government,DCLG,03/06/2015,Government Procurement Card (expense),"Strategy, Communications and Private Office",NEWS UK & IRELAND COMM   PETERBOROUGH,1000004034,Advertorial space - Financial Times - HR,CATALOGUE & RETAIL SHOPS,"3,000.00"
Communities & Local Government,DCLG,04/06/2015,Travel and Subsistence Account,"Strategy, Communications and Private Office",OYSTER AUTOTOPUP         0343 2221234,1000004035,Minister s oyster card top-up,PASSENGER RAILWAYS,40.00
Communities & Local Government,DCLG,10/06/2015,Training,Finance & Corporate Services,WWW.SOTON.AC.UK          SOTON.AC.UK,1000004036,Training Course,COLLEGES & UNIVERSITIES,180.00
Communities & Local Government,DCLG,10/06/2015,Training,Finance & Corporate Services,WWW.SOTON.AC.UK          SOTON.AC.UK,1000004036,Training Course,COLLEGES & UNIVERSITIES,180.00
Communities & Local Government,DCLG,12/06/2015,Post,Finance & Corporate Services,ROYAL MAIL  0845606040   INTERNET,1000004037,Shortfall of postage for rent charages,POSTAGE STAMPS,1.11
Communities & Local Government,DCLG,18/06/2015,Government Procurement Card (expense),Finance & Corporate Services,AMAZON UK RETAIL         AMAZON.CO.UK,1000004038,Purchase of a book,DIRECT SALES COMPANIES,9.74
Communities & Local Government,DCLG,18/06/2015,Government Procurement Card (expense),Finance & Corporate Services,AMAZON UK RETAIL         AMAZON.CO.UK,1000004038,Presentation Equipment,DIRECT SALES COMPANIES,211.50
Communities & Local Government,DCLG,18/06/2015,Government Procurement Card (expense),Finance & Corporate Services,AMAZON UK RETAIL         AMAZON.CO.UK,1000004038,Purchase of a book,DIRECT SALES COMPANIES,26.99
Communities & Local Government,DCLG,19/06/2015,Office Supplies,"Strategy, Communications and Private Office",PROACTIVE UK LTD         HEMEL HEMPSTE,1000004039,Sound cable used with Ministerial videos,OFFICE & PHOTOGRAPHIC EQUIPMENT,32.50
