"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Chief Executives Office","1","1A","13000","17000","Apprentice","1.00","Other"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Chief Executives Office","1","4A","30750","40000","Executive Assistant to CEO","1.00","Other"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","1A","13000","17000","Apprentice","3.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3C","27990","30207","Executive Assistant","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3C","27990","30207","Communications Officer","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3D","30450","30450","Programme and Project Officer","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3D","30450","30450","Data Analyst","1.00","Policy"
"Department for Business Innovation and Skills","learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3D","30450","30450","Policy Research Officer","1.00","Policy"
"Department for Business Innovation and Skills","learning & Skills Improvement Service","Strategy and Business Development Directorate","3","4C","35000","43000","Quality Manager","1.00","Policy"
"Department for Business Innovation and Skills","learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5A","44564","49200","Performance Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5A","44564","49200","Knowledge Management Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5A","44564","49200","Programme and Project Office Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5C","46125","63040","Head of Research","1.00","Policy"
"Department for Business Innovation and Skills","learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5C","46125","63040","Strategy and Planning Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5D","58825","67000","Head of Strategy","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5D","58825","67000","Head of Performance","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5D","58825","67000","Head of Communications","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5D","58825","67000","Head of Business Development","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3C","27990","30207","Events Officer","1.00","Policy"
"Department for Business Innovation and Skills","learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3C","27990","30207","Marketing Officer","1.00","Policy"
"Department for Business Innovation and Skills","learning & Skills Improvement Service","Strategy and Business Development Directorate","3","4C","35000","43000","Corporate and Intermnal comms Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","4C","35000","43000","Stakeholder Engagement Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","4C","35000","43000","Events Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","4C","35000","43000","Press and PR Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","4C","35000","43000","Marketing Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3B","23766","25883","Sector Engagement Assistant","2.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","3C","27990","30207","Business Development Support Officer","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","4A","30750","40000","CRM Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5A","44564","49200","Sector Engagement Manager","1.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Strategy and Business Development Directorate","3","5C","46125","63040","Regional Development Manager","9.00","Policy"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Improvement Services","2","1A","13000","17000","Apprentice","5.00","Operational Delivery"
"Department for Business Innovation and Skills","Learning & Skills Improvement Service","Improvement Services","2","2A","21315","21315","Programme Support Officer","9.00","Operational Delivery"
