objectid,lep14cd,lep14nm,st_areashape,st_lengthshape
1,E37000001,Black Country,356927349.888975,130722.347767112
2,E37000002,Buckinghamshire Thames Valley,1564939062.78875,361830.165366439
3,E37000003,Cheshire and Warrington,2289949329.09897,367227.021675226
4,E37000004,Coast to Capital,3159622019.68474,393957.886293001
5,E37000005,Cornwall and Isles of Scilly,3636225741.92707,961630.910487513
6,E37000006,Coventry and Warwickshire,2076164589.4925,366818.538857348
7,E37000007,Cumbria,7182484320.61866,580108.696460784
8,E37000008,"Derby, Derbyshire, Nottingham and Nottinghamshire",4790302011.90203,558334.429269562
9,E37000009,Dorset,2694800423.45759,407847.859942786
10,E37000010,Enterprise M3,4211032856.39373,598480.234506001
11,E37000011,Gloucestershire,2704526088.48895,424924.732434443
12,E37000012,Greater Birmingham and Solihull,1743706125.24667,521114.978687963
13,E37000013,Greater Cambridge and Greater Peterborough,7370027355.97644,946880.80284856
14,E37000014,Greater Lincolnshire,7182011361.50387,539365.925829375
15,E37000015,Greater Manchester,1275981143.95686,248689.108855541
16,E37000016,Heart of the South West,10353932128.007,944475.613019821
17,E37000017,Hertfordshire,1643064897.56932,302875.931442971
18,E37000018,Humber,3655531645.5925,535907.859617549
19,E37000019,Lancashire,3263167233.20702,404518.379412544
20,E37000020,Leeds City Region,5720498601.86783,524450.795695911
21,E37000021,Leicester and Leicestershire,2157129081.37036,326855.391420914
22,E37000022,Liverpool City Region,907891835.466994,295396.595751459
23,E37000023,London,1594696906.44403,256334.721903969
24,E37000024,New Anglia,9362633883.30121,581547.053230675
25,E37000025,North Eastern,7862205237.07233,688130.918304421
26,E37000026,Northamptonshire,2366990123.61058,380396.016946641
27,E37000027,Oxfordshire,2605947833.52875,413224.621037771
28,E37000029,Solent,1039272614.07266,325055.357706474
29,E37000030,South East,9580793338.55017,959607.232647758
30,E37000031,South East Midlands,4729713895.61343,615992.762205881
31,E37000032,Stoke-on-Trent and Staffordshire,2716760076.40999,438083.854748888
32,E37000033,Swindon and Wiltshire,3485431225.39299,386976.887675204
33,E37000034,Tees Valley,814092653.74416,252065.926602279
34,E37000035,Thames Valley Berkshire,1263896380.44656,296785.588622467
35,E37000036,The Marches,5667300707.32619,731066.927137944
36,E37000037,West of England,1513912585.15125,282360.575957759
37,E37000038,Worcestershire,1740514136.2623,372974.564885238
38,E37000039,"York, North Yorkshire and East Riding",10820025534.2822,803932.239777642
39,E37000040,Sheffield City Region,3488915199.88906,486285.657952118
