"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Met Office","Met Office","RD218a","RD041_Personal Assistant","18900","23100","Diary Manager","1.00","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD045_Senior Business Analyst","32800","44000","Senior Analyst","4.60","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD072_IT Practitioner","20847","26979","IT Practitioner","48.90","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD076_Senior IT Practitioner","26459","34241","IT Practitioner","108.40","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD082_Lead IT Practitioner","30657","41125","IT Practitioner","55.50","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD085_IT Analyst","30657","41125","IT Practitioner","3.00","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD086_IT Manager","36721","49260","IT Manager","7.50","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD087_Expert IT Practitioner","36721","49260","IT Practitioner","13.00","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD088_Expert IT Analyst","36721","49260","IT Practitioner","9.40","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD096_IT Fellow","43700","66125","Senior IT manager","2.00","Information Technology"
"Ministry of Defence","Met Office","Met Office","RD218a","RD111_Portfolio Manager","35260","47300","Project Manager","3.00","Programme and Project Management (PPM)"
"Ministry of Defence","Met Office","Met Office","RD218a","RD113_Programme Manager","43617","70150","Programme Manager","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","Met Office","Met Office","RD218a","RD114_Project Manager","26350","34100","Project Manager","8.10","Programme and Project Management (PPM)"
"Ministry of Defence","Met Office","Met Office","RD218a","RD115_Senior Project Manager","35260","47300","Senior Project Manager","10.80","Programme and Project Management (PPM)"
"Ministry of Defence","Met Office","Met Office","RD218a","RD157_Senior Finance Manager","37105","49775","Senior Finance Manager","1.00","Finance"
