"Household recycling by material and region, England.  1996/97 to 2009/10",,,,,,,,,,,,,,,,
,Region,(All),,,,,,,,,,,,,,
,Tonnes (thousand),,Year,,,,,,,,,,,,,
,Waste type,Recycled material group,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10
,Recycling reuse composting,Cans,18.00,18.00,26.00,31.96,27.00,27.00,28.00,44.00,0.00,72.00,80.47,82.98,90.52,85.06
,,Co-mingled,0.00,0.00,0.00,0.00,205.00,218.00,267.00,470.00,0.00,860.00,"1,120.79","1,460.63","1,682.87","1,865.93"
,,Compost,278.00,384.00,454.00,657.40,796.00,940.00,"1,189.00","1,360.00",0.00,"2,439.00","2,895.24","3,176.58","3,601.69","3,713.56"
,,Glass,306.00,337.00,347.35,378.20,397.00,428.00,471.00,569.00,0.00,759.00,839.72,901.53,843.79,765.89
,,Other,229.00,166.00,187.88,323.32,78.00,151.00,172.00,267.00,0.00,532.00,751.48,740.14,709.67,907.34
,,Paper & card,555.00,690.00,783.13,867.78,909.00,959.00,"1,127.00","1,270.00",0.00,"1,476.00","1,535.00","1,598.62","1,470.74","1,300.75"
,,Plastics,5.00,7.00,8.01,12.75,13.00,9.00,14.00,17.00,0.00,39.00,49.30,65.54,79.41,80.36
,,Scrap metals & white goods,199.00,232.00,252.76,263.24,310.00,369.00,418.00,463.00,0.00,533.00,601.32,596.28,554.69,560.72
,,Textiles,30.00,37.00,34.92,39.08,41.00,42.00,54.00,60.00,0.00,87.00,103.07,112.43,112.42,117.97
,Totals,Total household waste,"22,547.00","23,333.00","23,531.00","24,761.00","25,078.00","25,524.00","25,833.00","25,447.00","25,658.00","25,453.62","25,775.08","25,287.47","24,326.08","23,665.54"
,HH green recycling rate,,1%,2%,2%,3%,3%,4%,5%,5%,0%,10%,11%,13%,15%,16%
,HH dry recyling rate,,6%,6%,7%,8%,8%,9%,10%,12%,0%,17%,20%,22%,23%,24%
,HH green recycling tonnage (thousands),,278,384,454,657,796,940,"1,189","1,360",0,"2,439","2,895","3,177","3,602","3,714"
,HH dry recyling tonnage (thousands),,"1,342","1,487","1,640","1,916","1,980","2,203","2,551","3,160",0,"4,358","5,081","5,558","5,544","5,684"
,Total HH recycling rate,,7%,8%,9%,10%,11%,12%,14%,18%,0%,27%,31%,35%,38%,40%
,Total HH recycling tonnage (thousands),,"1,620","1,871","2,094","2,574","2,776","3,143","3,740","4,520",0,"6,797","7,976","8,735","9,146","9,398"
Notes: ,From 2002/03 onwards tonnages include recycling collected by private and voluntary schemes.,,,,,,,,,,,,,,,
,"The tonnages from 1995/96 to 2003/04 are waste collected for recycling, not sent for recycling.  These tonnages will include waste which is later rejected at the gate of the reprocessor.  From 2005/06 onwards the tonnages are waste sent for recycling, therefore not including tonnages that have been rejected at the gate of the reprocessor.",,,,,,,,,,,,,,,
,There are no comingled tonnages from 1996/97 to 1998/99.,,,,,,,,,,,,,,,
,There is no data at this lower level for 2004/05 due to WasteDataFlow being introduced that year and about half the data having to be estimated.,,,,,,,,,,,,,,,
Year,Waste type,Household recycled material group,England region,Data (tonnages),,,,,,,,,,,,
1996/97,Recycling reuse composting,Cans,East,2.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Cans,East Midlands,1.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Cans,London,2.00,,,,,,,,,,,,
