"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Independent Police Complaints Commission","Resources Directorate","120-DOR1","6.00","19100","25600","Administration Assistant","1.00","Information Technology"
"Home Office","Independent Police Complaints Commission","Resources Directorate","111-DH1","6.00","19100","25600","Administration Assistant","14.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Casework and Customer Services Directorate","260-DOCC1","6.00","19100","25600","Administration Assistant","11.73","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Casework and Customer Services Directorate","260-DOCC1","7.00","21600","29100","Administrator Director's Private Office","1.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Resources Directorate","120-DOR1","9.00","25000","33600","Agresso Finance Systems Administrator","1.00","Finance"
"Home Office","Independent Police Complaints Commission","Chief Executive's Directorate and Commission Secretariat","T610-ACEO","9.00","25000","33600","Analytical Support Officer","6.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Resources Directorate","120-DOR1","12.00","35148","47167","Archive And Records Manager","1.00","Knowledge and Information Management (KIM)"
"Home Office","Independent Police Complaints Commission","Hillsborough","111-DH1","7.00","21600","29100","Archive Assistant","2.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Resources Directorate","120-DOR1","11.00","30500","41000","Assistant Ict Services Manager","1.00","Information Technology"
"Home Office","Independent Police Complaints Commission","Chief Executive's Directorate and Commission Secretariat","T610-ACEO","15.00","56560","74235","Associate Commissioner","2.00","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Resources Directorate","120-DOR1","6.00","19100","25600","Business Support Assistant","1.00","Property and asset management"
"Home Office","Independent Police Complaints Commission","Casework and Customer Services Directorate","260-DOCC1","11.00","30500","41000","C C C: Deputy Senior Casework Manager","0.80","Operational Delivery"
"Home Office","Independent Police Complaints Commission","Casework and Customer Services Directorate","260-DOCC1","9.00","25000","33600","Casework & Cust Service Foi Dpa Officer","1.00","Operational Delivery"
