Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Home Office,Ministerial Department,Home Office,310,290.66,509,492.26,1104,1076.31,751,730.86,124,122.64,7,6.58,2805,2719.31,207,206,0,0,0,0,0,0,207,206,3012,2925.31,"£9,363,410","£1,669,742","£1,900","£38,775","£2,010,049","£1,032,752","£14,116,629","£1,639,751","£7,027,580","£8,667,331","£22,783,960",
Criminal Records Bureau,Executive Agency,Home Office,314,285.31,181,170.3,110,107.47,23,22,3,3,0,0,631,588.08,0,0,0,0,0,0,0,0,0,0,631,588.08,"£1,178,758","£46,109",,,"£207,083","£80,297","£1,512,247","£18,472",,"£18,472","£1,530,718",
Identity & Passport Service,Executive Agency,Home Office,2173,1878.96,913,802.24,511,497.86,149,147.63,14,13.9,0,0,3760,3340.59,13,13,0,0,0,0,0,0,13,13,3773,3353.59,"£6,587,857","£438,740","£2,869","£7,477","£1,189,708","£499,248","£8,725,900","£57,221","£205,200","£262,421","£8,988,321",
UK Border Agency,Executive Agency,Home Office,6961,6407.76,9054,8577.9,4457,4291.18,704,688,64,63.6,1,1,21241,20029.44,139,139,0,0,0,0,0,0,139,139,21380,20168.44,"£42,494,686","£11,223,027",£395,"£497,731","£9,542,927","£4,208,401","£67,967,168","£57,139","£567,431","£624,570","£68,591,738",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Home Office,20,17.22,76,71.15,242,231.2,91,86.31,6,6,0,0,435,411.88,10,9.02,26,25.6,0,0,0,0,36,34.62,471,446.5,"£1,200,184","£33,782",,"£2,885","£240,096","£103,831","£1,580,778","£117,287",,"£117,287","£1,698,065",
Independent Police Complaints Commission,Executive Non-Departmental Public Body,Home Office,37,36.25,32,31.6,302,291.61,32,31.91,5,5,13,13,421,409.37,2,2,10,10,1,1,0,0,13,13,434,422.37,"£1,179,005","£63,404",,"£18,563","£232,120","£104,634","£1,597,726","£85,653",,"£85,653","£1,683,379",
Independent Safeguarding Authority,Executive Non-Departmental Public Body,Home Office,53,49.6,38,36,166,161.4,12,11.8,2,2,11,10.7,282,271.5,8,4.6,0,0,2,2,1,0,11,6.6,293,278.1,"£591,916","£4,314",,"£1,081","£103,996","£44,161","£745,468","£26,234",£720,"£26,954","£772,422",
National Policing Improvement Agency,Executive Non-Departmental Public Body,Home Office,68,64.75,216,211.55,687,674.24,366,359.05,26,26,45,44.1,1408,1379.69,6,6,0,0,35,35,0,0,41,41,1449,1420.69,"£4,154,350","£95,263",,"£55,117","£835,029","£384,245","£5,524,002","£473,068","£31,851","£504,919","£6,028,921",
Office of the Immigration Services Commissioner,Executive Non-Departmental Public Body,Home Office,14,12.6,7,7,36,35,2,1.8,1,0.6,0,0,60,57,0,0,0,0,0,0,0,0,0,0,60,57,"£165,574",£521,,,"£29,366","£13,488","£208,949",,,£0,"£208,949",
Security Industry Authority,Executive Non-Departmental Public Body,Home Office,45,43.8,21,21,85,84.2,19,19,4,4,6,6,180,178,8,8,7,7,0,0,0,0,15,15,195,193,"£500,986","£39,721",,£131,"£93,838","£38,699","£673,376","£84,209",,"£84,209","£757,585",
Serious Organised Crime Agency,Executive Non-Departmental Public Body,Home Office,328,307.2,1440,1412.8,1731,1707.4,289,284.9,28,27.8,4,2.1,3820,3742.2,54,52,37,35.8,25,23,0,0,116,110.8,3936,3853,"£11,420,020","£1,077,560","£20,000","£927,314","£2,428,866","£1,045,941","£16,919,701","£771,007",,"£771,007","£17,690,708",
National Fraud Authority ,Executive Agency,Home Office,0,0,4,4,22,22,15,14.6,5,5,,,46,46,,,,,2,1.8,,,2,1.8,48,47,"£191,074.31",,,,"£37,453.96","£18,266.03","£246,794.30","£17,285.97",,"£17,285.97","£264,080.27",
