Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,26/08/2010,DIRECT MARKETING/MAILING,FINANCE & CORPORATE SERVICES,EWA LTD,302303,0.85
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,W. A. FAIRHURST & PARTNERS,301666,0
Communities and Local Government,Homes and Communities Agency,12/08/2010,GROUNDS MAINTENANCE GENERAL,LONDON,W. A. FAIRHURST & PARTNERS,301666,0
Communities and Local Government,Homes and Communities Agency,19/08/2010,SECONDED STAFF COSTS,GROWTH & AFFORDABILITY,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,302603,0
Communities and Local Government,Homes and Communities Agency,19/08/2010,DISPOSAL FEES-LEGAL,SOUTH EAST,HEWITSONS SOLICITORS,301056,2
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,2.88
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,3.82
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,EAST MIDLANDS,DENTON WILDE SAPTE,299447,4
Communities and Local Government,Homes and Communities Agency,12/08/2010,LEGAL FEES,EAST MIDLANDS,DENTON WILDE SAPTE,299450,4
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,4.2
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,SOUTH WEST,R.S.P LTD,300708,5
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,SOUTH WEST,R.S.P LTD,300708,5
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47544,5
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47544,5
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47545,5
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE,47544,5
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE DIAMOND TRAVEL,46823,5.11
Communities and Local Government,Homes and Communities Agency,31/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,UNIGLOBE DIAMOND TRAVEL,46823,5.11
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,5.36
