OrganisationNameLabel,OrganisationURI,EffectiveDate,PaymentDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,NetAmount,IrrecoverableVAT,PurposeOfExpenditure,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Lake Wardens,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Marine Trans Ltd,200.00,0.00,Training Course 14th March 2017,Training & Conferences,261520
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,15/03/2017,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Riverside Hotel,62.10,0.00,Inrterim accommodation - PJ,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,21/03/2017,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,AG Gates,20.00,0.00,Travel warrant - LS,Sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,28/03/2017,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Premier Inn,130.83,0.00,Interim Accommodation - PH,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,29/03/2017,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Premier Inn,-130.83,0.00,Interim Accommodation - refund,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,07/03/2017,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,travis perkins,52.68,0.00,pavers,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,08/03/2017,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,luscombe plant hire,36.00,0.00,hi vis jacket,Protective,141100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,10/03/2017,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,R S Online,14.67,0.00,socket cap screw M12 x 50mm,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,20/03/2017,Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,lakeland supplies,19.90,0.00,grinder cutting discs,Playground Equipment Maintenance,331100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,06/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,VOSA,100.00,0.00,Vehicle testing,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,200.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,650.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,650.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,650.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,650.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,650.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,2.50,0.00,Vehicle tax,Not Elsewhere Classified,389999
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,25/05/2017,14/03/2017,Transport,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,DVLA,650.00,0.00,Vehicle tax,Not Elsewhere Classified,389999
