Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,NHS ENGLAND,7000017873,"£75,814.35",LOCAL ENHANCED SERVICE Q2,
Department of Health,03F,30/01/2016,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010006660,"£70,259.00",QUARTER 2 CQUIN PAYMENT ,
Department of Health,03F,30/01/2016,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010006876,"£3,149,389.59",JANUARY 2015/16 BLOCK CONTRACT PAYMENT MENTAL HEALTH & THERAPY SERVICES,
Department of Health,03F,30/01/2016,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210020890,"£14,216,667.00",2015/16 BLOCK CONTRACT JANUARY,
Department of Health,03F,30/01/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012387,"£801,432.00",A&E CORE CONTRACT EXCLUDING CQUINS JANUARY 2016,
Department of Health,03F,30/01/2016,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012407,"£30,484.00",HART FUNDING & A&E CONTRACT JANUARY 2016,
Department of Health,03F,30/01/2016,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012459,"£55,103.00",NHS111 CONTRACT JANUARY 2016,
Department of Health,03F,30/01/2016,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810012488,"£118,422.33",PTS CONTRACT JANUARY 2016,
Department of Health,03F,30/01/2016,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4124054,"£48,058.00",ACUTE SERVICES NCA MONTH 7 FREEZE/N8 2015/16,
Department of Health,03F,30/01/2016,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS YORKSHIRE AND HUMBER CS,7312405214,"£275,642.00","BASELINE 15/16 MONTH 10, 14/15 SLA LESS 5% ON ADMIN",
Department of Health,03F,30/01/2016,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312405234,"£52,233.00",GP IT MONTH 10 ,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,932031,"£29,501.41","NON PTS SERVICE, PATHOLOGY FEE 01/12/2015",
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULCQ2015M1M6,"£53,952.31",CQUIN RECONCILIATION APRIL - SEPTEMBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF201510,"£523,796.00",1/12 ESTIMATED ANNUAL CONTRACT VALUE JANUARY 2015 SPIRE HULL,
Department of Health,03F,30/01/2016,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-STAR (HULL),420152016,"£26,895.00",SUPPLY OF SERVICES,
Department of Health,03F,30/01/2016,Cont Care- Adult Joint Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000221783,"£489,101.99",CONTINUING HEALTH RECHARGES DECEMBER 2015,
Department of Health,03F,30/01/2016,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,10002221623,"£52,576.80",FNC RECHARGES 07/12/2015  - 03/01/2016,
