No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,"Stage 2 - Exclusion COLLINS, MCCONAGHY",Stage 2 - Total,Stage 3 - Transfer KNIGHT-MCQUILLAN,Stage 3 - Total,Stage 4 - Transfer HOLMES,Stage 4 - Total,Stage 5 - Transfer COLE,Stage 5 - Total,Stage 6 - Transfer KING,Stage 6 - Total,,,,,,,
1,ARCHIBALD,,SINN FÉIN,Excluded - Stage 6,994.00,16.00,1010.00,0.00,1010.00,4.30,1014.30,0.00,1014.30,1.54,1015.84,,,,,,,
2,COLE,,DUP,Elected - Stage 3,892.00,171.00,1063.00,64.66,1127.66,0.00,1127.66,-30.66,1097.00,0.00,1097.00,,,,,,,
3,COLLINS,,TUV,Excluded - Stage 1,550.00,-550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
4,HOLMES,,UUP,Elected - Stage 2,880.00,260.00,1140.00,0.00,1140.00,-43.00,1097.00,0.00,1097.00,0.00,1097.00,,,,,,,
5,KING,,UUP,Elected - Stage 1,1127.00,0.00,1127.00,0.00,1127.00,0.00,1127.00,0.00,1127.00,-30.00,1097.00,,,,,,,
6,KNIGHT - McQUILLAN,,DUP,Elected - Stage 2,1025.00,141.00,1166.00,-69.00,1097.00,0.00,1097.00,0.00,1097.00,0.00,1097.00,,,,,,,
7,LOFTUS,,SDLP,Elected - Stage 6,875.00,106.00,981.00,3.66,984.66,38.70,1023.36,6.71,1030.07,27.72,1057.79,,,,,,,
8,McCONAGHY,,ALLIANCE,Excluded - Stage 1,235.00,-235.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
Non transferable,,,,,,91.00,91.00,0.68,91.68,0.00,91.68,23.95,115.63,0.74,116.37,,,,,,,
Totals,,,,,6578.00,,6578.00,,6578.00,,6578.00,,6578.00,,6578.00,,,,,,,
